
 ;spi/dat   06-FEB-2014 AT 10:48:02   apca_doc.dat
 ;          FILE#         ANGLE      DIST/MIR         GROUP

    1 4    1.00000       1.40625       146.026       3.00000     
    2 4    2.00000       0.00000       140.196       3.00000     
    3 4    3.00000       106.875       148.240       3.00000     
    4 4    4.00000       99.8438       145.654       3.00000     
    5 4    5.00000       28.1250       146.990       3.00000     
    6 4    6.00000       146.250       150.796       3.00000     
    7 4    7.00000       213.750       146.925       3.00000     
    8 4    8.00000       322.031       141.674       3.00000     
    9 4    9.00000       61.8750       152.185       3.00000     
   10 4   10.0000       35.1563       147.776       3.00000     
   11 4   11.0000       345.938       129.353       2.00000     
   12 4   12.0000       217.969       134.023       2.00000     
   13 4   13.0000       101.250       133.791       2.00000     
   14 4   14.0000       139.219       135.796       2.00000     
   15 4   15.0000       191.250       139.450       2.00000     
   16 4   16.0000       284.063       137.832       2.00000     
   17 4   17.0000       180.000       131.597       2.00000     
   18 4   18.0000       208.125       132.982       2.00000     
   19 4   19.0000       0.00000       120.617       2.00000     
   20 4   20.0000       23.9063       130.911       2.00000     
   21 4   21.0000       0.00000       148.703       3.00000     
   22 4   22.0000       348.750       143.976       3.00000     
   23 4   23.0000       206.719       144.720       3.00000     
   24 4   24.0000       268.594       147.161       3.00000     
   25 4   25.0000       126.563       146.089       3.00000     
   26 4   26.0000       101.250       146.734       3.00000     
   27 4   27.0000       47.8125       145.592       3.00000     
   28 4   28.0000       246.094       143.950       3.00000     
   29 4   29.0000       161.719       144.332       3.00000     
   30 4   30.0000       303.750       146.703       3.00000     
   31 4   31.0000       239.063       125.152       5.00000     
   32 4   32.0000       0.00000       95.3284       8.00000     
   33 4   33.0000       120.938       124.171       5.00000     
   34 4   34.0000       0.00000       119.380       5.00000     
   35 4   35.0000       143.438       95.3446       8.00000     
   36 4   36.0000       357.188       121.921       5.00000     
   37 4   37.0000       92.8125       124.879       5.00000     
   38 4   38.0000       246.094       122.963       5.00000     
   39 4   39.0000       174.375       97.0140       8.00000     
   40 4   40.0000       151.875       126.006       5.00000     
   41 4   41.0000       267.188       128.571       1.00000     
   42 4   42.0000       92.8125       124.830       1.00000     
   43 4   43.0000       0.00000       126.193       1.00000     
   44 4   44.0000       153.281       134.578       1.00000     
   45 4   45.0000       149.063       126.733       1.00000     
   46 4   46.0000       94.2188       134.139       1.00000     
   47 4   47.0000       161.719       128.848       1.00000     
   48 4   48.0000       143.438       130.629       1.00000     
   49 4   49.0000       66.0938       132.619       1.00000     
   50 4   50.0000       94.2188       138.908       1.00000     
   51 4   51.0000       143.438       145.013       6.00000     
   52 4   52.0000       33.7500       145.084       6.00000     
   53 4   53.0000       133.594       143.607       6.00000     
   54 4   54.0000       354.375       151.727       6.00000     
   55 4   55.0000       170.156       149.453       6.00000     
   56 4   56.0000       45.0000       143.981       6.00000     
   57 4   57.0000       198.281       146.781       6.00000     
   58 4   58.0000       340.313       147.394       6.00000     
   59 4   59.0000       120.938       150.722       6.00000     
   60 4   60.0000       139.219       148.733       6.00000     
   61 4   61.0000       341.719       117.448       7.00000     
   62 4   62.0000       317.813       120.429       7.00000     
   63 4   63.0000       194.063       114.447       7.00000     
   64 4   64.0000       73.1250       116.859       4.00000     
   65 4   65.0000       210.938       123.266       4.00000     
   66 4   66.0000       9.84375       115.726       4.00000     
   67 4   67.0000       227.813       121.058       4.00000     
   68 4   68.0000       80.1563       116.632       7.00000     
   69 4   69.0000       0.00000       110.212       4.00000     
   70 4   70.0000       0.00000       110.027       7.00000     
   71 4   71.0000       315.000       154.685       6.00000     
   72 4   72.0000       133.594       151.099       6.00000     
   73 4   73.0000       56.2500       142.431       6.00000     
   74 4   74.0000       262.969       141.972       6.00000     
   75 4   75.0000       35.1563       144.356       6.00000     
   76 4   76.0000       130.781       150.025       6.00000     
   77 4   77.0000       39.3750       151.962       6.00000     
   78 4   78.0000       237.656       146.581       6.00000     
   79 4   79.0000       0.00000       135.406       6.00000     
   80 4   80.0000       52.0313       141.525       6.00000     
