
 ;spi/dat   06-FEB-2014 AT 12:07:23   apra_doc.dat

 ;          FILE#         ANGLE      DIST/MIR         GROUP

    1 4    1.00000       184.219       206.346       1.00000     
    2 4    2.00000       181.406       190.892       1.00000     
    3 4    3.00000       288.281       206.955       1.00000     
    4 4    4.00000       282.656       200.158       1.00000     
    5 4    5.00000       209.531       194.257       1.00000     
    6 4    6.00000       329.063       202.678       1.00000     
    7 4    7.00000       36.5625       193.827       1.00000     
    8 4    8.00000       144.844       199.356       1.00000     
    9 4    9.00000       244.688       203.878       1.00000     
   10 4   10.0000       216.563       198.515       1.00000     
   11 4   11.0000       337.500       199.510       1.00000     
   12 4   12.0000       208.125       205.893       1.00000     
   13 4   13.0000       92.8125       198.615       1.00000     
   14 4   14.0000       130.781       195.769       1.00000     
   15 4   15.0000       184.219       210.480       1.00000     
   16 4   16.0000       274.219       205.630       1.00000     
   17 4   17.0000       171.563       200.852       1.00000     
   18 4   18.0000       199.688       196.278       1.00000     
   19 4   19.0000       351.563       187.111       1.00000     
   20 4   20.0000       15.4688       198.725       1.00000     
   21 4   21.0000       182.813       193.845       1.00000     
   22 4   22.0000       170.156       189.314       1.00000     
   23 4   23.0000       29.5313       193.395       1.00000     
   24 4   24.0000       88.5938       191.131       1.00000     
   25 4   25.0000       309.375       195.172       1.00000     
   26 4   26.0000       284.063       197.199       1.00000     
   27 4   27.0000       230.625       183.483       1.00000     
   28 4   28.0000       67.5000       186.188       1.00000     
   29 4   29.0000       344.531       188.714       1.00000     
   30 4   30.0000       125.156       190.992       1.00000     
   31 4   31.0000       278.438       187.200       1.00000     
   32 4   32.0000       57.6563       188.494       1.00000     
   33 4   33.0000       160.313       188.062       1.00000     
   34 4   34.0000       39.3750       187.308       1.00000     
   35 4   35.0000       199.688       186.142       1.00000     
   36 4   36.0000       36.5625       189.878       1.00000     
   37 4   37.0000       130.781       190.533       1.00000     
   38 4   38.0000       285.469       186.063       1.00000     
   39 4   39.0000       232.031       188.206       1.00000     
   40 4   40.0000       191.250       188.792       1.00000     
   41 4   41.0000       36.5625       212.803       1.00000     
   42 4   42.0000       223.594       208.888       1.00000     
   43 4   43.0000       129.375       200.471       1.00000     
   44 4   44.0000       284.063       213.883       1.00000     
   45 4   45.0000       278.438       211.527       1.00000     
   46 4   46.0000       223.594       216.546       1.00000     
   47 4   47.0000       292.500       212.534       1.00000     
   48 4   48.0000       272.813       204.558       1.00000     
   49 4   49.0000       195.469       213.360       1.00000     
   50 4   50.0000       226.406       224.695       1.00000     
   51 4   51.0000       315.000       215.422       1.00000     
   52 4   52.0000       205.313       213.777       1.00000     
   53 4   53.0000       303.750       210.577       1.00000     
   54 4   54.0000       165.938       219.498       1.00000     
   55 4   55.0000       340.313       219.686       1.00000     
   56 4   56.0000       215.156       208.974       1.00000     
   57 4   57.0000       8.43750       216.228       1.00000     
   58 4   58.0000       150.469       216.719       1.00000     
   59 4   59.0000       293.906       215.678       1.00000     
   60 4   60.0000       309.375       225.791       1.00000     
   61 4   61.0000       22.5000       214.468       1.00000     
   62 4   62.0000       358.594       213.143       1.00000     
   63 4   63.0000       236.250       209.238       1.00000     
   64 4   64.0000       209.531       210.434       1.00000     
   65 4   65.0000       350.156       211.797       1.00000     
   66 4   66.0000       147.656       208.304       1.00000     
   67 4   67.0000       5.62500       214.449       1.00000     
   68 4   68.0000       122.344       211.891       1.00000     
   69 4   69.0000       137.813       201.809       1.00000     
   70 4   70.0000       42.1875       201.214       1.00000     
   71 4   71.0000       123.750       215.125       1.00000     
   72 4   72.0000       306.563       206.690       1.00000     
   73 4   73.0000       227.813       204.029       1.00000     
   74 4   74.0000       71.7188       204.378       1.00000     
   75 4   75.0000       206.719       205.630       1.00000     
   76 4   76.0000       300.938       208.050       1.00000     
   77 4   77.0000       210.938       210.783       1.00000     
   78 4   78.0000       49.2188       203.859       1.00000     
   79 4   79.0000       170.156       197.571       1.00000     
   80 4   80.0000       223.594       202.439       1.00000     
