
 ;spi/dat   10-FEB-2014 AT 11:48:09   apscc_ali_doc.dat

 ;          EXP#,         REF#,         SX,           SY,           SZ,           PEAK

    1 6   1.00000       1.00000       5.00000      -5.00000       0.00000       3.02014     
    1 6   1.00000       2.00000       5.00000      -5.00000       0.00000       2.98485     
    1 6   1.00000       3.00000       5.00000       5.00000       0.00000       3.00672     
    1 6   1.00000       4.00000       5.00000      -5.00000       0.00000       3.01680     
    1 6   1.00000       5.00000       5.00000      -5.00000       0.00000       3.00290     
    1 6   1.00000       6.00000       5.00000      -5.00000       0.00000       2.97304     
    1 6   1.00000       7.00000       5.00000      -5.00000       0.00000       2.95150     
    1 6   1.00000       8.00000       5.00000      -5.00000       0.00000       2.93057     
    1 6   1.00000       9.00000       5.00000      -5.00000       0.00000       2.91307     
    1 6   1.00000       10.0000      -5.00000      -5.00000       0.00000       2.92231     
    2 6   2.00000       1.00000      -5.00000      -5.00000       0.00000       3.04979     
    2 6   2.00000       2.00000      -5.00000       5.00000       0.00000       3.02131     
    2 6   2.00000       3.00000      -5.00000      -5.00000       0.00000       3.04134     
    2 6   2.00000       4.00000       5.00000      -5.00000       0.00000       3.05838     
    2 6   2.00000       5.00000      -5.00000       5.00000       0.00000       3.04657     
    2 6   2.00000       6.00000      -5.00000       5.00000       0.00000       3.01578     
    2 6   2.00000       7.00000      -5.00000       5.00000       0.00000       2.98333     
    2 6   2.00000       8.00000      -5.00000      -5.00000       0.00000       2.97558     
    2 6   2.00000       9.00000      -5.00000      -5.00000       0.00000       2.95924     
    2 6   2.00000       10.0000      -5.00000       5.00000       0.00000       2.95522     
    3 6   3.00000       1.00000       5.00000       5.00000       0.00000       2.90254     
    3 6   3.00000       2.00000       5.00000       5.00000       0.00000       2.87436     
    3 6   3.00000       3.00000       5.00000      -5.00000       0.00000       2.89860     
    3 6   3.00000       4.00000       5.00000       5.00000       0.00000       2.91453     
    3 6   3.00000       5.00000       5.00000      -5.00000       0.00000       2.88425     
    3 6   3.00000       6.00000      -5.00000       5.00000       0.00000       2.87575     
    3 6   3.00000       7.00000       5.00000       5.00000       0.00000       2.84851     
    3 6   3.00000       8.00000       5.00000       5.00000       0.00000       2.83624     
    3 6   3.00000       9.00000      -5.00000      -5.00000       0.00000       2.80532     
    3 6   3.00000       10.0000      -5.00000       5.00000       0.00000       2.81623     
    4 6   4.00000       1.00000      -5.00000       5.00000       0.00000       2.98653     
    4 6   4.00000       2.00000      -5.00000       5.00000       0.00000       2.96380     
    4 6   4.00000       3.00000       5.00000       5.00000       0.00000       2.98228     
    4 6   4.00000       4.00000      -5.00000       5.00000       0.00000       3.00051     
    4 6   4.00000       5.00000      -5.00000      -5.00000       0.00000       2.97628     
    4 6   4.00000       6.00000      -5.00000       5.00000       0.00000       2.97025     
    4 6   4.00000       7.00000      -5.00000       5.00000       0.00000       2.93439     
    4 6   4.00000       8.00000      -5.00000       5.00000       0.00000       2.93144     
    4 6   4.00000       9.00000       5.00000      -5.00000       0.00000       2.88797     
    4 6   4.00000       10.0000      -5.00000       5.00000       0.00000       2.90561     
    5 6   5.00000       1.00000      -5.00000       5.00000       0.00000       2.96088     
    5 6   5.00000       2.00000      -5.00000       5.00000       0.00000       2.93681     
    5 6   5.00000       3.00000       5.00000      -5.00000       0.00000       2.96281     
    5 6   5.00000       4.00000       5.00000      -5.00000       0.00000       2.96773     
    5 6   5.00000       5.00000      -5.00000      -5.00000       0.00000       2.94352     
    5 6   5.00000       6.00000       5.00000      -5.00000       0.00000       2.93211     
    5 6   5.00000       7.00000       5.00000       5.00000       0.00000       2.90191     
    5 6   5.00000       8.00000       5.00000      -5.00000       0.00000       2.87744     
    5 6   5.00000       9.00000       5.00000       5.00000       0.00000       2.85844     
    5 6   5.00000       10.0000      -5.00000       5.00000       0.00000       2.86390     
