 ;spi/dat   07-FEB-2014 AT 14:33:16   apsr_doc_05.dat
    1 3   45.3074     -0.145943      0.108727     
    2 3   45.2421      1.934171E-02  2.098975E-02 
    3 3   151.174      9.911025E-02  0.119704     
    4 3   144.090      1.153493E-02  0.149617     
    5 3   72.2297      6.851798E-02  0.217042     
    6 3   191.925     -4.714441E-02 -3.444833E-02 
    7 3   260.598      4.321527E-02  4.140496E-03 
    8 3   7.62418     -2.397567E-02  8.778632E-02 
    9 3   107.018     -3.217757E-02  0.134623     
   10 3   80.0959      2.351910E-02  0.138714     
   11 3   321.442      0.165417      0.242288     
   12 3   192.827      0.252198      0.145004     
   13 3   77.4373      0.106752      0.252743     
   14 3   115.460      0.184770      0.240285     
   15 3   169.119      0.167829      0.272206     
   16 3   258.489      0.248795      0.185026     
   17 3   156.137      8.555615E-02  0.250287     
   18 3   183.992      0.229052      0.350677     
   19 3   335.772      0.201250      0.177899     
   20 3   0.00000      0.142437      0.238686     
   21 3   46.2347      5.913205E-02  0.149650     
   22 3   33.0646      6.583464E-02  8.250004E-02 
   23 3   252.768      0.161481     -3.563123E-02 
   24 3   312.489      0.136523      2.472512E-02 
   25 3   171.716      0.122881      9.396681E-02 
   26 3   146.478      5.744316E-02  9.256113E-02 
   27 3   92.8234     -9.786233E-02  4.883136E-02 
   28 3   289.583      9.024698E-02 -0.101647     
   29 3   207.245      0.279202      9.941927E-02 
   30 3   348.773      2.092046E-02  2.890563E-02 
   31 3   263.008      0.339343      0.229264     
   32 3   42.7081      0.312856      0.334168     
   33 3   145.581      0.113700      0.232736     
   34 3   24.5680      4.542911E-02  0.235020     
   35 3   186.349      0.319173      0.166473     
   36 3   20.5821      0.187245      0.226323     
   37 3   116.307      0.117212      0.244853     
   38 3   270.665      0.143153      9.127840E-02 
   39 3   215.859      0.253582      0.236317     
   40 3   175.943      0.194722      0.276981     
   41 3   259.784     -2.487993E-02  1.555157E-02 
   42 3   86.4319     -0.103847      9.510642E-02 
   43 3   352.793     -6.800127E-02  3.125748E-02 
   44 3   146.928      4.953623E-03  0.151966     
   45 3   142.278      0.181666      0.222208     
   46 3   85.3665     -1.009345E-02  0.119344     
   47 3   155.517      9.485992E-02  0.124355     
   48 3   136.344     -0.138839      7.209575E-02 
   49 3   57.7163      0.228355      0.271356     
   50 3   89.0688      8.988857E-03  0.136349     
   51 3   298.764      0.340571      0.284001     
   52 3   190.133      0.353334      0.328149     
   53 3   288.581      0.267854      0.194411     
   54 3   150.159      0.252679      0.375738     
   55 3   324.089      0.216437      0.294627     
   56 3   199.540      0.484765      0.346882     
   57 3   352.861      0.122792      0.214939     
   58 3   135.273      0.135980      0.353272     
   59 3   278.228      0.214426      0.227595     
   60 3   294.307      0.245263      0.216064     
   61 3   245.982      0.117240      1.414345E-02 
   62 3   221.421      1.525748E-02 -4.746921E-03 
   63 3   99.4213      0.114625      4.046056E-02 
   64 3   71.9025      7.857382E-02  0.239336     
   65 3   210.596     -0.155614      1.355515E-02 
   66 3   9.52795     -0.102175      9.866285E-02 
   67 3   228.347      7.028261E-02  8.829333E-02 
   68 3   345.572      6.123483E-02  0.114980     
   69 3  0.316711     -3.977180E-02  5.928624E-02 
   70 3   264.799      0.289562      0.131128     
   71 3   107.828      6.482649E-02  0.363637     
   72 3   291.355      0.351201      0.178729     
   73 3   213.006      0.292980      0.297244     
   74 3   56.9649      0.241745      0.238816     
   75 3   191.914      0.249226      0.389168     
   76 3   287.589      0.310781      0.205612     
   77 3   195.846      0.353759      0.384848     
   78 3   34.6053      0.228376      0.214077     
   79 3   155.930      0.282538      0.417775     
   80 3   207.708      0.395898      0.325790     
