 ;           NUMBER OF PEAKS
 ;       1 1   103.000    
 ;   X          Y          Z
    1 3   154.000       42.0000       1.32185     
    2 3   353.000       48.0000       1.39292     
    3 3   402.000       48.0000       1.28684     
    4 3   40.0000       51.0000       1.46516     
    5 3   308.000       54.0000       1.29686     
    6 3   434.000       60.0000       1.32394     
    7 3   399.000       70.0000       1.30267     
    8 3   155.000       71.0000       1.32263     
    9 3   228.000       81.0000       1.30138     
   10 3   474.000       82.0000       1.31742     
   11 3   156.000       87.0000       1.28825     
   12 3   282.000       91.0000       1.36218     
   13 3   65.0000       92.0000       1.37811     
   14 3   42.0000       99.0000       1.44382     
   15 3   227.000       109.000       1.35942     
   16 3   106.000       112.000       1.33945     
   17 3   476.000       112.000       1.32566     
   18 3   456.000       114.000       1.29424     
   19 3   289.000       117.000       1.34812     
   20 3   190.000       118.000       1.29265     
   21 3   406.000       119.000       1.30599     
   22 3   314.000       120.000       1.27006     
   23 3   369.000       139.000       1.33323     
   24 3   416.000       139.000       1.29087     
   25 3   479.000       148.000       1.41487     
   26 3   252.000       150.000       1.23344     
   27 3   37.0000       153.000       1.50101     
   28 3   226.000       156.000       1.42213     
   29 3   283.000       176.000       1.39881     
   30 3   476.000       183.000       1.42736     
   31 3   191.000       194.000       1.41093     
   32 3   84.0000       197.000       1.33938     
   33 3   372.000       198.000       1.29531     
   34 3   212.000       214.000       1.37400     
   35 3   477.000       216.000       1.56311     
   36 3   310.000       222.000       1.26017     
   37 3   455.000       226.000       1.28843     
   38 3   431.000       228.000       1.38246     
   39 3   190.000       241.000       1.30489     
   40 3   369.000       244.000       1.27444     
   41 3   435.000       264.000       1.33974     
   42 3   372.000       271.000       1.35006     
   43 3   421.000       274.000       1.28160     
   44 3   42.0000       279.000       1.40213     
   45 3   404.000       279.000       1.34816     
   46 3   226.000       287.000       1.37335     
   47 3   105.000       290.000       1.35666     
   48 3   308.000       297.000       1.22765     
   49 3   41.0000       302.000       1.36499     
   50 3   126.000       308.000       1.28065     
   51 3   368.000       318.000       1.28838     
   52 3   109.000       320.000       1.33193     
   53 3   310.000       322.000       1.27203     
   54 3   107.000       344.000       1.34196     
   55 3   368.000       346.000       1.35881     
   56 3   285.000       347.000       1.36433     
   57 3   317.000       348.000       1.32633     
   58 3   40.0000       354.000       1.34616     
   59 3   283.000       361.000       1.33252     
   60 3   353.000       364.000       1.34359     
   61 3   390.000       366.000       1.29034     
   62 3   434.000       366.000       1.32384     
   63 3   190.000       370.000       1.34542     
   64 3   59.0000       371.000       1.40333     
   65 3   226.000       374.000       1.36990     
   66 3   107.000       378.000       1.34753     
   67 3   281.000       398.000       1.32568     
   68 3   63.0000       409.000       1.33538     
   69 3   187.000       414.000       1.34057     
   70 3   40.0000       417.000       1.43405     
   71 3   400.000       420.000       1.28841     
   72 3   279.000       431.000       1.36548     
   73 3   107.000       433.000       1.33911     
   74 3   70.0000       435.000       1.34926     
   75 3   353.000       436.000       1.25924     
   76 3   400.000       439.000       1.24383     
   77 3   215.000       452.000       1.33196     
   78 3   285.000       464.000       1.43552     
   79 3   226.000       470.000       1.36947     
   80 3   160.000       475.000       1.35421     
   81 3   352.000       484.000       1.34372     
   82 3   472.000       484.000       1.36433     
   83 3   227.000       488.000       1.37315     
   84 3   189.000       495.000       1.31642     
   85 3   41.0000       501.000       1.46958     
   86 3   66.0000       501.000       1.39945     
   87 3   371.000       501.000       1.29238     
   88 3   148.000       504.000       1.30607     
   89 3   167.000       506.000       1.41566     
   90 3   351.000       509.000       1.36996     
   91 3   189.000       511.000       1.33404     
   92 3   476.000       512.000       1.32376     
   93 3   106.000       520.000       1.35379     
   94 3   229.000       520.000       1.35563     
   95 3   283.000       522.000       1.38176     
   96 3   435.000       524.000       1.30326     
   97 3   126.000       526.000       1.27939     
   98 3   89.0000       537.000       1.31774     
   99 3   228.000       541.000       1.37226     
  100 3   356.000       543.000       1.33879     
  101 3   162.000       547.000       1.29314     
  102 3   400.000       556.000       1.30827     
  103 3   129.000       561.000       1.35009     
