 ;spi/dat   31-MAY-2013 AT 13:29:30   clcla_selt_001.dat
 ; THRESHOLD LEVEL:  64.00 CLASS:   1
 ; KEY,     ID,        INDEX
    1 2   51.0000       0.00000     
    2 2   52.0000       0.00000     
    3 2   53.0000       0.00000     
    4 2   54.0000       0.00000     
    5 2   55.0000       0.00000     
    6 2   56.0000       0.00000     
    7 2   57.0000       0.00000     
    8 2   58.0000       0.00000     
    9 2   59.0000       0.00000     
   10 2   60.0000      0.747080     
   11 2   71.0000       0.00000     
   12 2   72.0000       0.00000     
   13 2   73.0000       0.00000     
   14 2   74.0000       0.00000     
   15 2   75.0000       0.00000     
   16 2   76.0000       0.00000     
   17 2   77.0000       0.00000     
   18 2   78.0000       0.00000     
   19 2   79.0000       0.00000     
   20 2   80.0000       23.6660     
   21 2   41.0000       0.00000     
   22 2   42.0000       0.00000     
   23 2   43.0000       0.00000     
   24 2   44.0000       0.00000     
   25 2   45.0000       0.00000     
   26 2   46.0000       0.00000     
   27 2   47.0000       0.00000     
   28 2   48.0000       0.00000     
   29 2   49.0000       0.00000     
   30 2   50.0000      0.416205     
   31 2   61.0000       0.00000     
   32 2   62.0000       0.00000     
   33 2   63.0000       0.00000     
   34 2   64.0000       0.00000     
   35 2   65.0000       0.00000     
   36 2   66.0000       0.00000     
   37 2   67.0000       0.00000     
   38 2   68.0000       0.00000     
   39 2   69.0000       0.00000     
   40 2   70.0000       100.000     
