 ;spi/dat   31-MAY-2013 AT 14:39:29   clhc_den_doc.dat
 ; KEY,    CLASS,      HEIGHT        ID
    1 3   77.0000       0.00000       77.0000     
    2 3   74.0000       1.30162       74.0000     
    3 3   73.0000       3.12575       73.0000     
    4 3   80.0000       5.64607       80.0000     
    5 3   76.0000       6.90357       76.0000     
    6 3   72.0000       1.79777       72.0000     
    7 3   71.0000       12.1169       71.0000     
    8 3   78.0000       3.07965       78.0000     
    9 3   75.0000       6.87681       75.0000     
   10 3   79.0000       55.0631       79.0000     
   11 3   58.0000      0.840652       58.0000     
   12 3   56.0000       1.75370       56.0000     
   13 3   51.0000       2.45077       51.0000     
   14 3   52.0000       3.30005       52.0000     
   15 3   57.0000       5.28823       57.0000     
   16 3   59.0000       6.38985       59.0000     
   17 3   60.0000       9.17518       60.0000     
   18 3   55.0000       2.32287       55.0000     
   19 3   54.0000       3.55513       54.0000     
   20 3   53.0000       84.0909       53.0000     
   21 3   48.0000       2.99871       48.0000     
   22 3   42.0000       4.25346       42.0000     
   23 3   47.0000      0.100577       47.0000     
   24 3   44.0000      0.323530       44.0000     
   25 3   45.0000       1.72269       45.0000     
   26 3   49.0000       7.29603       49.0000     
   27 3   43.0000       8.19536       43.0000     
   28 3   50.0000       11.2470       50.0000     
   29 3   46.0000       5.49563       46.0000     
   30 3   41.0000       52.4428       41.0000     
   31 3   68.0000       4.69280       68.0000     
   32 3   63.0000       8.13156       63.0000     
   33 3   66.0000       2.56201       66.0000     
   34 3   64.0000       4.09018       64.0000     
   35 3   70.0000       1.81568       70.0000     
   36 3   69.0000       4.55917       69.0000     
   37 3   67.0000      0.285878       67.0000     
   38 3   61.0000      0.592466       61.0000     
   39 3   62.0000       1.80310       62.0000     
   40 3   65.0000       100.000       65.0000     
   41 3   29.0000       5.96047       29.0000     
   42 3   21.0000       8.67047       21.0000     
   43 3   30.0000       1.40377       30.0000     
   44 3   28.0000       2.68176       28.0000     
   45 3   25.0000      0.635845       25.0000     
   46 3   22.0000       3.64754       22.0000     
   47 3   24.0000       5.81970       24.0000     
   48 3   26.0000       2.21614       26.0000     
   49 3   23.0000       12.0319       23.0000     
   50 3   27.0000       53.5254       27.0000     
   51 3   7.00000       1.77961       7.00000     
   52 3   5.00000       6.10680       5.00000     
   53 3   6.00000       7.51113       6.00000     
   54 3   8.00000       1.66620       8.00000     
   55 3   4.00000       1.96152       4.00000     
   56 3   3.00000       3.34171       3.00000     
   57 3   9.00000       1.54118       9.00000     
   58 3   1.00000       12.0148       1.00000     
   59 3   10.0000       2.90771       10.0000     
   60 3   2.00000       74.9673       2.00000     
   61 3   20.0000       2.41598       20.0000     
   62 3   13.0000       4.54006       13.0000     
   63 3   17.0000       1.40461       17.0000     
   64 3   15.0000       6.74036       15.0000     
   65 3   16.0000       3.71388       16.0000     
   66 3   14.0000       8.29854       14.0000     
   67 3   18.0000       2.05861       18.0000     
   68 3   12.0000       2.92746       12.0000     
   69 3   19.0000       9.83277       19.0000     
   70 3   11.0000       50.9494       11.0000     
   71 3   39.0000       2.70183       39.0000     
   72 3   32.0000       3.98869       32.0000     
   73 3   34.0000       7.85601       34.0000     
   74 3   33.0000       1.26255       33.0000     
   75 3   31.0000       3.17135       31.0000     
   76 3   36.0000       9.10028       36.0000     
   77 3   38.0000       2.44747       38.0000     
   78 3   35.0000       3.20111       35.0000     
   79 3   40.0000       1.13923       40.0000     
   80 3   37.0000       100.000       37.0000     
