
 ;spi/dat  18-FEB-2013 AT 14:46  clhe_doc_01.dat

 ; THRESHOLD LEVEL:  64.00 CLASS:   1

 ; KEY,     ID,        INDEX
    1 2   80.000        1.96     
    2 2   75.000        8.57     
    3 2   77.000        1.94     
    4 2   72.000       10.66     
    5 2   78.000        1.95     
    6 2   71.000        4.66     
    7 2   79.000        6.28     
    8 2   73.000       12.01     
    9 2   76.000       19.12     
   10 2   74.000       58.18     
   11 2   58.000        0.94     
   12 2   51.000        1.74     
   13 2   54.000        4.68     
   14 2   59.000        7.55     
   15 2   60.000        1.89     
   16 2   55.000       10.55     
   17 2   57.000       14.75     
   18 2   52.000       18.34     
   19 2   56.000        8.90     
   20 2   53.000       84.84     
