 ;spi/dat   31-MAY-2013 AT 14:39:30   clhe_sel_002.dat
 ; THRESHOLD LEVEL:  64.00 CLASS:   2
 ; KEY,     ID,        INDEX
    1 2   21.0000       0.00000     
    2 2   22.0000       0.00000     
    3 2   23.0000       0.00000     
    4 2   24.0000       0.00000     
    5 2   25.0000       0.00000     
    6 2   26.0000       0.00000     
    7 2   27.0000       0.00000     
    8 2   28.0000       0.00000     
    9 2   29.0000       0.00000     
   10 2   30.0000      0.100799     
   11 2   1.00000       0.00000     
   12 2   2.00000       0.00000     
   13 2   3.00000       0.00000     
   14 2   4.00000       0.00000     
   15 2   5.00000       0.00000     
   16 2   6.00000       0.00000     
   17 2   7.00000       0.00000     
   18 2   8.00000       0.00000     
   19 2   9.00000       0.00000     
   20 2   10.0000       18.0295     
   21 2   11.0000       0.00000     
   22 2   12.0000       0.00000     
   23 2   13.0000       0.00000     
   24 2   14.0000       0.00000     
   25 2   15.0000       0.00000     
   26 2   16.0000       0.00000     
   27 2   17.0000       0.00000     
   28 2   18.0000       0.00000     
   29 2   19.0000       0.00000     
   30 2   20.0000       0.00000     
   31 2   31.0000       0.00000     
   32 2   32.0000       0.00000     
   33 2   33.0000       0.00000     
   34 2   34.0000       0.00000     
   35 2   35.0000       0.00000     
   36 2   36.0000       0.00000     
   37 2   37.0000       0.00000     
   38 2   38.0000       0.00000     
   39 2   39.0000       0.00000     
   40 2   40.0000       100.000     
