 ;spi/mrf   19-AUG-2013 AT 09:29:41   power/flipctf1955.mrf
    1 4   1.00000       0.00000       0.00000      0.110432     
    2 4   1.00000      1.515151E-03  1.090037E-03  0.115119     
    3 4   1.00000      3.030303E-03  2.180074E-03  0.129166     
    4 4   1.00000      4.545454E-03  3.270111E-03  0.152520     
    5 4   1.00000      6.060606E-03  4.360148E-03  0.185069     
    6 4   1.00000      7.575758E-03  5.450185E-03  0.226616     
    7 4   1.00000      9.090909E-03  6.540222E-03  0.276833     
    8 4   1.00000      1.060606E-02  7.630259E-03  0.335209     
    9 4   1.00000      1.212121E-02  8.720295E-03  0.400986     
   10 4   1.00000      1.363636E-02  9.810331E-03  0.473088     
   11 4   1.00000      1.515152E-02  1.090037E-02  0.550053     
   12 4   1.00000      1.666667E-02  1.199041E-02  0.629957     
   13 4   1.00000      1.818182E-02  1.308045E-02  0.710355     
   14 4   1.00000      1.969697E-02  1.417048E-02  0.788239     
   15 4   1.00000      2.121212E-02  1.526052E-02  0.860023     
   16 4   1.00000      2.272727E-02  1.635055E-02  0.921576     
   17 4   1.00000      2.424242E-02  1.744059E-02  0.968307     
   18 4   1.00000      2.575758E-02  1.853063E-02  0.995322     
   19 4   1.00000      2.727273E-02  1.962067E-02  0.997665     
   20 4   1.00000      2.878788E-02  2.071070E-02  0.970649     
   21 4   1.00000      3.030303E-02  2.180074E-02  0.910272     
   22 4   1.00000      3.181818E-02  2.289078E-02  0.813729     
   23 4   1.00000      3.333334E-02  2.398082E-02  0.679957     
   24 4   1.00000      3.484849E-02  2.507086E-02  0.510218     
   25 4   1.00000      3.636364E-02  2.616089E-02  0.308619     
   26 4   1.00000      3.787879E-02  2.725093E-02  8.252015E-02 
   27 4  -1.00000      3.939394E-02  2.834096E-02 -0.157287     
   28 4  -1.00000      4.090909E-02  2.943100E-02 -0.396710     
   29 4  -1.00000      4.242424E-02  3.052104E-02 -0.618903     
   30 4  -1.00000      4.393939E-02  3.161107E-02 -0.805305     
   31 4  -1.00000      4.545455E-02  3.270112E-02 -0.937182     
   32 4  -1.00000      4.696970E-02  3.379115E-02 -0.997645     
   33 4  -1.00000      4.848485E-02  3.488119E-02 -0.974009     
   34 4  -1.00000      5.000000E-02  3.597122E-02 -0.860247     
   35 4  -1.00000      5.151515E-02  3.706126E-02 -0.659214     
   36 4  -1.00000      5.303030E-02  3.815130E-02 -0.384227     
   37 4  -1.00000      5.454545E-02  3.924133E-02 -5.950826E-02 
   38 4   1.00000      5.606060E-02  4.033137E-02  0.280879     
   39 4   1.00000      5.757576E-02  4.142141E-02  0.595900     
   40 4   1.00000      5.909091E-02  4.251144E-02  0.842271     
   41 4   1.00000      6.060606E-02  4.360148E-02  0.980698     
   42 4   1.00000      6.212121E-02  4.469152E-02  0.982909     
   43 4   1.00000      6.363636E-02  4.578156E-02  0.838372     
   44 4   1.00000      6.515151E-02  4.687159E-02  0.559272     
   45 4   1.00000      6.666667E-02  4.796163E-02  0.182285     
   46 4  -1.00000      6.818182E-02  4.905167E-02 -0.234116     
   47 4  -1.00000      6.969697E-02  5.014171E-02 -0.617330     
   48 4  -1.00000      7.121212E-02  5.123174E-02 -0.892922     
   49 4  -1.00000      7.272727E-02  5.232178E-02 -0.999817     
   50 4  -1.00000      7.424243E-02  5.341182E-02 -0.905539     
   51 4  -1.00000      7.575758E-02  5.450185E-02 -0.617809     
   52 4  -1.00000      7.727273E-02  5.559189E-02 -0.188705     
   53 4   1.00000      7.878788E-02  5.668193E-02  0.291388     
   54 4   1.00000      8.030303E-02  5.777196E-02  0.710782     
   55 4   1.00000      8.181818E-02  5.886200E-02  0.962195     
   56 4   1.00000      8.333334E-02  5.995205E-02  0.971833     
   57 4   1.00000      8.484849E-02  6.104208E-02  0.724102     
   58 4   1.00000      8.636364E-02  6.213212E-02  0.273630     
   59 4  -1.00000      8.787879E-02  6.322215E-02 -0.261729     
   60 4  -1.00000      8.939394E-02  6.431219E-02 -0.728538     
   61 4  -1.00000      9.090909E-02  6.540222E-02 -0.981274     
   62 4  -1.00000      9.242424E-02  6.649226E-02 -0.930009     
   63 4  -1.00000      9.393939E-02  6.758229E-02 -0.576835     
   64 4  -1.00000      9.545454E-02  6.867233E-02 -2.585881E-02 
   65 4   1.00000      9.696969E-02  6.976236E-02  0.541758     
   66 4   1.00000      9.848485E-02  7.085241E-02  0.924725     
   67 4   1.00000      0.100000      7.194245E-02  0.974413     
   68 4   1.00000      0.101515      7.303238E-02  0.657513     
   69 4   1.00000      0.103030      7.412230E-02  8.144560E-02 
   70 4  -1.00000      0.104545      7.521223E-02 -0.534428     
   71 4  -1.00000      0.106061      7.630288E-02 -0.938616     
   72 4  -1.00000      0.107576      7.739280E-02 -0.951737     
   73 4  -1.00000      0.109091      7.848273E-02 -0.552454     
   74 4   1.00000      0.110606      7.957266E-02  9.747522E-02 
   75 4   1.00000      0.112121      8.066259E-02  0.710317     
   76 4   1.00000      0.113636      8.175252E-02  0.996870     
   77 4   1.00000      0.115152      8.284317E-02  0.806875     
   78 4   1.00000      0.116667      8.393309E-02  0.216641     
   79 4  -1.00000      0.118182      8.502302E-02 -0.489470     
   80 4  -1.00000      0.119697      8.611295E-02 -0.949211     
   81 4  -1.00000      0.121212      8.720288E-02 -0.909573     
   82 4  -1.00000      0.122727      8.829281E-02 -0.374879     
   83 4   1.00000      0.124242      8.938274E-02  0.373805     
   84 4   1.00000      0.125758      9.047338E-02  0.916744     
   85 4   1.00000      0.127273      9.156331E-02  0.930445     
   86 4   1.00000      0.128788      9.265324E-02  0.389540     
   87 4  -1.00000      0.130303      9.374316E-02 -0.393764     
   88 4  -1.00000      0.131818      9.483309E-02 -0.938738     
   89 4  -1.00000      0.133333      9.592302E-02 -0.890774     
   90 4  -1.00000      0.134848      9.701295E-02 -0.262950     
   91 4   1.00000      0.136364      9.810360E-02  0.544879     
   92 4   1.00000      0.137879      9.919353E-02  0.989812     
   93 4   1.00000      0.139394      0.100283      0.752998     
   94 4  -1.00000      0.140909      0.101373     -1.779981E-02 
   95 4  -1.00000      0.142424      0.102463     -0.781809     
   96 4  -1.00000      0.143939      0.103553     -0.976786     
   97 4  -1.00000      0.145455      0.104644     -0.440746     
   98 4   1.00000      0.146970      0.105734      0.436225     
   99 4   1.00000      0.148485      0.106824      0.979624     
  100 4   1.00000      0.150000      0.107914      0.748953     
  101 4  -1.00000      0.151515      0.109004     -8.927092E-02 
  102 4  -1.00000      0.153030      0.110094     -0.859664     
  103 4  -1.00000      0.154545      0.111183     -0.913748     
  104 4  -1.00000      0.156061      0.112274     -0.187399     
  105 4   1.00000      0.157576      0.113364      0.706637     
  106 4   1.00000      0.159091      0.114454      0.980751     
  107 4   1.00000      0.160606      0.115544      0.373111     
  108 4  -1.00000      0.162121      0.116634     -0.580136     
  109 4  -1.00000      0.163636      0.117724     -0.998279     
  110 4  -1.00000      0.165152      0.118814     -0.472561     
  111 4   1.00000      0.166667      0.119904      0.511609     
  112 4   1.00000      0.168182      0.120994      0.999988     
  113 4   1.00000      0.169697      0.122084      0.495210     
  114 4  -1.00000      0.171212      0.123174     -0.513402     
  115 4  -1.00000      0.172727      0.124264     -0.999392     
  116 4  -1.00000      0.174242      0.125354     -0.444003     
  117 4   1.00000      0.175758      0.126445      0.585198     
  118 4   1.00000      0.177273      0.127535      0.988949     
  119 4   1.00000      0.178788      0.128624      0.312853     
  120 4  -1.00000      0.180303      0.129714     -0.713806     
  121 4  -1.00000      0.181818      0.130804     -0.940555     
  122 4  -1.00000      0.183333      0.131894     -9.241487E-02 
  123 4   1.00000      0.184848      0.132984      0.866671     
  124 4   1.00000      0.186364      0.134075      0.809195     
  125 4  -1.00000      0.187879      0.135165     -0.215146     
  126 4  -1.00000      0.189394      0.136255     -0.982930     
  127 4  -1.00000      0.190909      0.137345     -0.546026     
  128 4   1.00000      0.192424      0.138435      0.572781     
  129 4   1.00000      0.193939      0.139524      0.972303     
  130 4   1.00000      0.195455      0.140615      0.128457     
  131 4  -1.00000      0.196970      0.141705     -0.885033     
  132 4  -1.00000      0.198485      0.142795     -0.738173     
  133 4   1.00000      0.200000      0.143885      0.392687     
  134 4   1.00000      0.201515      0.144975      0.997116     
  135 4   1.00000      0.203030      0.146065      0.239956     
  136 4  -1.00000      0.204545      0.147155     -0.851813     
  137 4  -1.00000      0.206061      0.148245     -0.752021     
  138 4   1.00000      0.207576      0.149335      0.416134     
  139 4   1.00000      0.209091      0.150425      0.989075     
  140 4   1.00000      0.210606      0.151515      0.123707     
  141 4  -1.00000      0.212121      0.152605     -0.926153     
  142 4  -1.00000      0.213636      0.153695     -0.597323     
  143 4   1.00000      0.215152      0.154786      0.633793     
  144 4   1.00000      0.216667      0.155876      0.899785     
  145 4  -1.00000      0.218182      0.156965     -0.223902     
  146 4  -1.00000      0.219697      0.158055     -0.999956     
  147 4  -1.00000      0.221212      0.159145     -0.196502     
  148 4   1.00000      0.222727      0.160235      0.922713     
  149 4   1.00000      0.224242      0.161325      0.551737     
  150 4  -1.00000      0.225758      0.162416     -0.722144     
  151 4  -1.00000      0.227273      0.163506     -0.804091     
  152 4   1.00000      0.228788      0.164596      0.457905     
  153 4   1.00000      0.230303      0.165686      0.948004     
  154 4  -1.00000      0.231818      0.166776     -0.180342     
  155 4  -1.00000      0.233333      0.167865     -0.998847     
  156 4  -1.00000      0.234848      0.168955     -7.600667E-02 
  157 4   1.00000      0.236364      0.170046      0.981820     
  158 4   1.00000      0.237879      0.171136      0.292291     
  159 4  -1.00000      0.239394      0.172226     -0.923735     
  160 4  -1.00000      0.240909      0.173316     -0.462064     
  161 4   1.00000      0.242424      0.174406      0.848139     
  162 4   1.00000      0.243939      0.175496      0.586856     
  163 4  -1.00000      0.245455      0.176586     -0.773276     
  164 4  -1.00000      0.246970      0.177676     -0.672235     
  165 4   1.00000      0.248485      0.178766      0.711994     
  166 4   1.00000      0.250000      0.179856      0.724628     
  167 4  -1.00000      0.251515      0.180946     -0.672396     
  168 4  -1.00000      0.253030      0.182036     -0.749292     
  169 4   1.00000      0.254545      0.183126      0.658864     
  170 4   1.00000      0.256061      0.184217      0.749165     
  171 4  -1.00000      0.257576      0.185306     -0.672725     
  172 4  -1.00000      0.259091      0.186396     -0.724194     
  173 4   1.00000      0.260606      0.187486      0.712576     
  174 4   1.00000      0.262121      0.188576      0.671490     
  175 4  -1.00000      0.263636      0.189666     -0.773991     
  176 4  -1.00000      0.265152      0.190757     -0.585878     
  177 4   1.00000      0.266667      0.191847      0.848802     
  178 4   1.00000      0.268182      0.192937      0.460917     
  179 4  -1.00000      0.269697      0.194027     -0.924210     
  180 4  -1.00000      0.271212      0.195117     -0.291205     
  181 4   1.00000      0.272727      0.196206      0.981999     
  182 4   1.00000      0.274242      0.197296      7.532822E-02 
  183 4  -1.00000      0.275758      0.198387     -0.998830     
  184 4   1.00000      0.277273      0.199477      0.180301     
  185 4   1.00000      0.278788      0.200567      0.948184     
  186 4  -1.00000      0.280303      0.201657     -0.456907     
  187 4  -1.00000      0.281818      0.202747     -0.805201     
  188 4   1.00000      0.283333      0.203837      0.720279     
  189 4   1.00000      0.284848      0.204927      0.554747     
  190 4  -1.00000      0.286364      0.206017     -0.920910     
  191 4  -1.00000      0.287879      0.207107     -0.202231     
  192 4   1.00000      0.289394      0.208197      0.999997     
  193 4  -1.00000      0.290909      0.209287     -0.215536     
  194 4  -1.00000      0.292424      0.210377     -0.904188     
  195 4   1.00000      0.293939      0.211467      0.624503     
  196 4   1.00000      0.295455      0.212558      0.608356     
  197 4  -1.00000      0.296970      0.213647     -0.920030     
  198 4  -1.00000      0.298485      0.214737     -0.141690     
  199 4   1.00000      0.300000      0.215827      0.991896     
  200 4  -1.00000      0.301515      0.216917     -0.394935     
  201 4  -1.00000      0.303030      0.218007     -0.768872     
  202 4   1.00000      0.304545      0.219097      0.836305     
  203 4   1.00000      0.306061      0.220188      0.270989     
  204 4  -1.00000      0.307576      0.221278     -0.999181     
  205 4   1.00000      0.309091      0.222368      0.356473     
  206 4   1.00000      0.310606      0.223458      0.766449     
  207 4  -1.00000      0.312121      0.224547     -0.862206     
  208 4  -1.00000      0.313636      0.225637     -0.179062     
  209 4   1.00000      0.315152      0.226728      0.983808     
  210 4  -1.00000      0.316667      0.227818     -0.522195     
  211 4  -1.00000      0.318182      0.228908     -0.599658     
  212 4   1.00000      0.319697      0.229998      0.967469     
  213 4  -1.00000      0.321212      0.231088     -0.140134     
  214 4  -1.00000      0.322727      0.232178     -0.854610     
  215 4   1.00000      0.324242      0.233268      0.819420     
  216 4   1.00000      0.325758      0.234358      0.185844     
  217 4  -1.00000      0.327273      0.235448     -0.970018     
  218 4   1.00000      0.328788      0.236538      0.634205     
  219 4   1.00000      0.330303      0.237628      0.419907     
  220 4  -1.00000      0.331818      0.238718     -0.999658     
  221 4   1.00000      0.333333      0.239808      0.474732     
  222 4   1.00000      0.334848      0.240898      0.563531     
  223 4  -1.00000      0.336364      0.241988     -0.993716     
  224 4   1.00000      0.337879      0.243078      0.373987     
  225 4   1.00000      0.339394      0.244168      0.631160     
  226 4  -1.00000      0.340909      0.245258     -0.985647     
  227 4   1.00000      0.342424      0.246348      0.345545     
  228 4   1.00000      0.343939      0.247438      0.633888     
  229 4  -1.00000      0.345455      0.248529     -0.989326     
  230 4   1.00000      0.346970      0.249619      0.392314     
  231 4   1.00000      0.348485      0.250709      0.572379     
  232 4  -1.00000      0.350000      0.251799     -0.999114     
  233 4   1.00000      0.351515      0.252889      0.509079     
  234 4   1.00000      0.353030      0.253978      0.436373     
  235 4  -1.00000      0.354545      0.255068     -0.989858     
  236 4   1.00000      0.356061      0.256159      0.678393     
  237 4   1.00000      0.357576      0.257249      0.211607     
  238 4  -1.00000      0.359091      0.258339     -0.918049     
  239 4   1.00000      0.360606      0.259429      0.861163     
  240 4  -1.00000      0.362121      0.260519     -0.105328     
  241 4  -1.00000      0.363636      0.261609     -0.729523     
  242 4   1.00000      0.365152      0.262699      0.987067     
  243 4  -1.00000      0.366667      0.263789     -0.483368     
  244 4  -1.00000      0.368182      0.264879     -0.381932     
  245 4   1.00000      0.369697      0.265969      0.957823     
