 ;        NORM-FREQ      ANGST         FSC      |SQRT(FSC)| |SQRT(2FSC/(FSC+1))|
    3 5  1.111111E-02   360.000      0.999927      0.999964      0.999982     
    4 5  1.666667E-02   240.000      0.999907      0.999953      0.999977     
    5 5  2.222222E-02   180.000      0.998867      0.999433      0.999717     
    6 5  2.777778E-02   144.000      0.994372      0.997182      0.998588     
    7 5  3.333334E-02   120.000      0.998141      0.999070      0.999535     
    8 5  3.888889E-02   102.857      0.996270      0.998133      0.999065     
    9 5  4.444445E-02   90.0000      0.995120      0.997557      0.998776     
   10 5  5.000000E-02   80.0000      0.994275      0.997133      0.998564     
   11 5  5.555556E-02   72.0000      0.991369      0.995675      0.997831     
   12 5  6.111111E-02   65.4545      0.982962      0.991444      0.995695     
   13 5  6.666667E-02   60.0000      0.988352      0.994159      0.997067     
   14 5  7.222223E-02   55.3846      0.983984      0.991960      0.995956     
   15 5  7.777778E-02   51.4286      0.987362      0.993661      0.996815     
   16 5  8.333334E-02   48.0000      0.991426      0.995704      0.997845     
   17 5  8.888889E-02   45.0000      0.989522      0.994747      0.997363     
   18 5  9.444445E-02   42.3529      0.988868      0.994418      0.997197     
   19 5  0.100000       40.0000      0.992387      0.996186      0.998088     
   20 5  0.105556       37.8947      0.993019      0.996503      0.998247     
   21 5  0.111111       36.0000      0.991461      0.995721      0.997854     
   22 5  0.116667       34.2857      0.991976      0.995980      0.997984     
   23 5  0.122222       32.7273      0.989210      0.994591      0.997284     
   24 5  0.127778       31.3043      0.987330      0.993645      0.996807     
   25 5  0.133333       30.0000      0.986991      0.993474      0.996721     
   26 5  0.138889       28.8000      0.984245      0.992091      0.996022     
   27 5  0.144444       27.6923      0.978697      0.989291      0.994602     
   28 5  0.150000       26.6667      0.967689      0.983712      0.991756     
   29 5  0.155556       25.7143      0.947020      0.973150      0.986301     
   30 5  0.161111       24.8276      0.931809      0.965303      0.982192     
   31 5  0.166667       24.0000      0.902158      0.949820      0.973942     
   32 5  0.172222       23.2258      0.859156      0.926906      0.961375     
   33 5  0.177778       22.5000      0.807796      0.898775      0.945347     
   34 5  0.183333       21.8182      0.791863      0.889867      0.940129     
