 ;        NORM-FREQ      ANGST         FSC      |SQRT(FSC)| |SQRT(2FSC/(FSC+1))|
    3 5  1.111111E-02   360.000      0.999973      0.999986      0.999993     
    4 5  1.666667E-02   240.000      0.999955      0.999977      0.999989     
    5 5  2.222222E-02   180.000      0.999265      0.999632      0.999816     
    6 5  2.777778E-02   144.000      0.996552      0.998275      0.999136     
    7 5  3.333334E-02   120.000      0.998606      0.999303      0.999651     
    8 5  3.888889E-02   102.857      0.997492      0.998745      0.999372     
    9 5  4.444445E-02   90.0000      0.995828      0.997912      0.998954     
   10 5  5.000000E-02   80.0000      0.995743      0.997869      0.998933     
   11 5  5.555556E-02   72.0000      0.994664      0.997329      0.998662     
   12 5  6.111111E-02   65.4545      0.990665      0.995321      0.997653     
   13 5  6.666667E-02   60.0000      0.991753      0.995868      0.997928     
   14 5  7.222223E-02   55.3846      0.989387      0.994679      0.997329     
   15 5  7.777778E-02   51.4286      0.991677      0.995830      0.997908     
   16 5  8.333334E-02   48.0000      0.994529      0.997261      0.998628     
   17 5  8.888889E-02   45.0000      0.992762      0.996374      0.998182     
   18 5  9.444445E-02   42.3529      0.992850      0.996418      0.998204     
   19 5  0.100000       40.0000      0.994891      0.997442      0.998719     
   20 5  0.105556       37.8947      0.995286      0.997640      0.998818     
   21 5  0.111111       36.0000      0.994420      0.997206      0.998600     
   22 5  0.116667       34.2857      0.994737      0.997365      0.998680     
   23 5  0.122222       32.7273      0.992868      0.996428      0.998209     
   24 5  0.127778       31.3043      0.991775      0.995879      0.997933     
   25 5  0.133333       30.0000      0.991473      0.995728      0.997857     
   26 5  0.138889       28.8000      0.989733      0.994853      0.997417     
   27 5  0.144444       27.6923      0.986836      0.993396      0.996682     
   28 5  0.150000       26.6667      0.980336      0.990119      0.995023     
   29 5  0.155556       25.7143      0.967069      0.983397      0.991594     
   30 5  0.161111       24.8276      0.954864      0.977171      0.988388     
   31 5  0.166667       24.0000      0.936390      0.967673      0.983438     
   32 5  0.172222       23.2258      0.906013      0.951847      0.975033     
   33 5  0.177778       22.5000      0.873175      0.934439      0.965554     
   34 5  0.183333       21.8182      0.864651      0.929866      0.963023     
   35 5  0.188889       21.1765      0.887041      0.941828      0.969608     
   36 5  0.194444       20.5714      0.892603      0.944777      0.971213     
   37 5  0.200000       20.0000      0.902831      0.950174      0.974133     
   38 5  0.205556       19.4595      0.900549      0.948973      0.973485     
   39 5  0.211111       18.9474      0.878695      0.937387      0.967177     
   40 5  0.216667       18.4615      0.865196      0.930159      0.963186     
   41 5  0.222222       18.0000      0.828366      0.910146      0.951907     
   42 5  0.227778       17.5610      0.819974      0.905524      0.949254     
   43 5  0.233333       17.1429      0.794030      0.891084      0.940846     
   44 5  0.238889       16.7442      0.786679      0.886949      0.938405     
   45 5  0.244444       16.3636      0.770495      0.877778      0.932937     
   46 5  0.250000       16.0000      0.737027      0.858503      0.921199     
