 ;  FROM IMAGE FILE: rib_avg
 ;  LISTING OF FILE VALUES ------
 ;     SLICE:     1   ROW:    34
    1 4 -5.811877E-02   1.00000       34.0000       1.00000     
    2 4 -6.043660E-02   2.00000       34.0000       1.00000     
    3 4 -6.430472E-02   3.00000       34.0000       1.00000     
    4 4 -7.120959E-02   4.00000       34.0000       1.00000     
    5 4 -7.760262E-02   5.00000       34.0000       1.00000     
    6 4 -8.460959E-02   6.00000       34.0000       1.00000     
    7 4 -8.629227E-02   7.00000       34.0000       1.00000     
    8 4 -8.366991E-02   8.00000       34.0000       1.00000     
    9 4 -8.640794E-02   9.00000       34.0000       1.00000     
   10 4 -7.506055E-02   10.0000       34.0000       1.00000     
   11 4 -3.879314E-02   11.0000       34.0000       1.00000     
   12 4  2.937272E-03   12.0000       34.0000       1.00000     
   13 4  2.661445E-02   13.0000       34.0000       1.00000     
   14 4  2.955440E-02   14.0000       34.0000       1.00000     
   15 4  2.043319E-02   15.0000       34.0000       1.00000     
   16 4  1.143927E-02   16.0000       34.0000       1.00000     
   17 4  8.496914E-03   17.0000       34.0000       1.00000     
   18 4  1.380388E-02   18.0000       34.0000       1.00000     
   19 4  2.501069E-02   19.0000       34.0000       1.00000     
   20 4  3.564443E-02   20.0000       34.0000       1.00000     
   21 4  3.709389E-02   21.0000       34.0000       1.00000     
   22 4  3.583301E-02   22.0000       34.0000       1.00000     
   23 4  4.024838E-02   23.0000       34.0000       1.00000     
   24 4  4.460701E-02   24.0000       34.0000       1.00000     
   25 4  4.054470E-02   25.0000       34.0000       1.00000     
   26 4  3.794833E-02   26.0000       34.0000       1.00000     
   27 4  3.725283E-02   27.0000       34.0000       1.00000     
   28 4  3.486779E-02   28.0000       34.0000       1.00000     
   29 4  3.144843E-02   29.0000       34.0000       1.00000     
   30 4  2.936049E-02   30.0000       34.0000       1.00000     
   31 4  2.324412E-02   31.0000       34.0000       1.00000     
   32 4  1.554836E-02   32.0000       34.0000       1.00000     
   33 4  1.135644E-02   33.0000       34.0000       1.00000     
   34 4  1.159290E-02   34.0000       34.0000       1.00000     
   35 4  1.034699E-02   35.0000       34.0000       1.00000     
   36 4  8.971408E-03   36.0000       34.0000       1.00000     
   37 4  9.191319E-03   37.0000       34.0000       1.00000     
   38 4  1.246985E-02   38.0000       34.0000       1.00000     
   39 4  1.549173E-02   39.0000       34.0000       1.00000     
   40 4  1.453828E-02   40.0000       34.0000       1.00000     
   41 4  1.182083E-03   41.0000       34.0000       1.00000     
   42 4 -1.161089E-02   42.0000       34.0000       1.00000     
   43 4 -2.350047E-02   43.0000       34.0000       1.00000     
   44 4 -2.008550E-02   44.0000       34.0000       1.00000     
   45 4 -8.748833E-03   45.0000       34.0000       1.00000     
   46 4  1.838580E-04   46.0000       34.0000       1.00000     
   47 4  2.340738E-03   47.0000       34.0000       1.00000     
   48 4 -7.115636E-03   48.0000       34.0000       1.00000     
   49 4 -2.287731E-02   49.0000       34.0000       1.00000     
   50 4 -3.797480E-02   50.0000       34.0000       1.00000     
   51 4 -5.557899E-02   51.0000       34.0000       1.00000     
   52 4 -6.274424E-02   52.0000       34.0000       1.00000     
   53 4 -6.074928E-02   53.0000       34.0000       1.00000     
   54 4 -6.284211E-02   54.0000       34.0000       1.00000     
   55 4 -6.400948E-02   55.0000       34.0000       1.00000     
   56 4 -6.432711E-02   56.0000       34.0000       1.00000     
   57 4 -6.292546E-02   57.0000       34.0000       1.00000     
   58 4 -6.144268E-02   58.0000       34.0000       1.00000     
   59 4 -6.085451E-02   59.0000       34.0000       1.00000     
   60 4 -5.715840E-02   60.0000       34.0000       1.00000     
   61 4 -5.376855E-02   61.0000       34.0000       1.00000     
   62 4 -5.596801E-02   62.0000       34.0000       1.00000     
   63 4 -5.912795E-02   63.0000       34.0000       1.00000     
   64 4 -5.928120E-02   64.0000       34.0000       1.00000     
 ;     SLICE:     1   ROW:    35
   65 4 -6.439774E-02   1.00000       35.0000       1.00000     
   66 4 -6.927875E-02   2.00000       35.0000       1.00000     
   67 4 -6.933349E-02   3.00000       35.0000       1.00000     
   68 4 -6.948761E-02   4.00000       35.0000       1.00000     
   69 4 -7.261921E-02   5.00000       35.0000       1.00000     
   70 4 -8.078976E-02   6.00000       35.0000       1.00000     
   71 4 -8.442766E-02   7.00000       35.0000       1.00000     
   72 4 -8.374906E-02   8.00000       35.0000       1.00000     
   73 4 -8.906768E-02   9.00000       35.0000       1.00000     
   74 4 -7.803459E-02   10.0000       35.0000       1.00000     
