
 ;spi/dat   22-MAY-2013 AT 13:35:55   li_d_doc_w.dat
 ;  FROM IMAGE FILE: rib_avg
 ;  LISTING OF FILE VALUES ------
 ;     SLICE:     1   ROW:    34
    1 4  1.159290E-02   34.0000       34.0000       1.00000     
    2 4  1.034699E-02   35.0000       34.0000       1.00000     
    3 4  8.971408E-03   36.0000       34.0000       1.00000     
    4 4  9.191319E-03   37.0000       34.0000       1.00000     
    5 4  1.246985E-02   38.0000       34.0000       1.00000     
    6 4  1.549173E-02   39.0000       34.0000       1.00000     
    7 4  1.453828E-02   40.0000       34.0000       1.00000     
    8 4  1.182083E-03   41.0000       34.0000       1.00000     
    9 4 -1.161089E-02   42.0000       34.0000       1.00000     
   10 4 -2.350047E-02   43.0000       34.0000       1.00000     
   11 4 -2.008550E-02   44.0000       34.0000       1.00000     
   12 4 -8.748833E-03   45.0000       34.0000       1.00000     
 ;     SLICE:     1   ROW:    35
   13 4  2.586045E-02   34.0000       35.0000       1.00000     
   14 4  2.826964E-02   35.0000       35.0000       1.00000     
   15 4  2.383228E-02   36.0000       35.0000       1.00000     
   16 4  2.074078E-02   37.0000       35.0000       1.00000     
   17 4  2.430210E-02   38.0000       35.0000       1.00000     
   18 4  2.579975E-02   39.0000       35.0000       1.00000     
   19 4  2.024191E-02   40.0000       35.0000       1.00000     
   20 4  6.476335E-03   41.0000       35.0000       1.00000     
   21 4 -8.368118E-03   42.0000       35.0000       1.00000     
   22 4 -1.633913E-02   43.0000       35.0000       1.00000     
   23 4 -1.425422E-02   44.0000       35.0000       1.00000     
   24 4 -5.001619E-03   45.0000       35.0000       1.00000     
 ;     SLICE:     1   ROW:    36
   25 4  3.527262E-02   34.0000       36.0000       1.00000     
   26 4  3.780135E-02   35.0000       36.0000       1.00000     
   27 4  3.299737E-02   36.0000       36.0000       1.00000     
   28 4  3.103083E-02   37.0000       36.0000       1.00000     
   29 4  3.304605E-02   38.0000       36.0000       1.00000     
   30 4  3.057927E-02   39.0000       36.0000       1.00000     
   31 4  2.133953E-02   40.0000       36.0000       1.00000     
   32 4  1.168639E-02   41.0000       36.0000       1.00000     
   33 4  6.161682E-03   42.0000       36.0000       1.00000     
   34 4  1.931075E-03   43.0000       36.0000       1.00000     
   35 4 -1.119837E-03   44.0000       36.0000       1.00000     
   36 4  4.406124E-04   45.0000       36.0000       1.00000     
