
 ;spi/dat   19-FEB-2014 AT 08:32:08   mk3_a.dat

 ;          PHI          THETA         PSI
    1 3   178.701       61.0849       270.110     
    2 3   178.674       59.0854       270.163     
    3 3   178.645       57.0859       270.218     
    4 3   178.613       55.0865       270.275     
    5 3   178.578       53.0871       270.336     
    6 3   178.538       51.0877       270.400     
    7 3   178.495       49.0884       270.467     
    8 3   178.447       47.0891       270.539     
    9 3   178.394       45.0899       270.615     
   10 3   178.335       43.0907       270.698     
   11 3   178.270       41.0916       270.786     
   12 3   178.196       39.0925       270.882     
   13 3   178.114       37.0936       270.986     
   14 3   178.022       35.0947       271.100     
   15 3   177.917       33.0959       271.227     
   16 3   177.798       31.0973       271.368     
   17 3   177.661       29.0989       271.526     
   18 3   177.503       27.1007       271.705     
   19 3   177.319       25.1027       271.910     
   20 3   177.101       23.1051       272.148     
   21 3   176.841       21.1079       272.429     
   22 3   176.525       19.1112       272.766     
   23 3   176.133       17.1153       273.178     
   24 3   175.636       15.1205       273.695     
   25 3   174.987       13.1271       274.365     
   26 3   174.102       11.1361       275.269     
   27 3   172.830       9.14898       276.562     
   28 3   170.849       7.16893       278.562     
   29 3   167.361       5.20406       282.070     
   30 3   159.715       3.28175       289.736     
   31 3   133.480       1.56732       315.991     
   32 3   50.9900       1.46357       38.5008     
   33 3   21.2803       3.13473       68.2303     
   34 3   13.0283       5.05074       76.5022     
   35 3   9.35401       7.01373       80.1964     
   36 3   7.29433       8.99298       82.2760     
   37 3   5.98123       10.9797       83.6091     
   38 3   5.07292       12.9705       84.5375     
   39 3   4.40828       14.9637       85.2223     
   40 3   3.90158       16.9584       85.7492     
   41 3   3.50304       18.9543       86.1681     
   42 3   3.18180       20.9509       86.5098     
   43 3   2.91774       22.9480       86.7944     
   44 3   2.69715       24.9457       87.0358     
   45 3   2.51038       26.9436       87.2434     
   46 3   2.35047       28.9418       87.4244     
   47 3   2.21224       30.9402       87.5839     
   48 3   2.09175       32.9388       87.7259     
   49 3   1.98601       34.9375       87.8533     
   50 3   1.89262       36.9364       87.9686     
   51 3   1.80973       38.9353       88.0737     
   52 3   1.73582       40.9344       88.1701     
   53 3   1.66966       42.9335       88.2590     
   54 3   1.61024       44.9327       88.3415     
   55 3   1.55674       46.9319       88.4184     
   56 3   1.50845       48.9312       88.4905     
   57 3   1.46480       50.9305       88.5583     
   58 3   1.42530       52.9299       88.6223     
