
 ;spi/dat   19-FEB-2014 AT 08:32:08   mk3_e.dat

 ;           X             Y            Z           ERR/PT
    1 4  -224.779      -386.124       9.13668       2.07688     
    2 4  -235.612       43.6973       6.92008      0.263288     
    3 4  -273.130       310.799       3.18315      0.288600     
    4 4   74.5432      -362.427      -2.70418      0.854157     
    5 4   30.0648      -5.90012      -3.91485       1.53162     
    6 4  -11.4287       357.455      -1.25913       1.42926     
    7 4   363.647      -339.538      -3.45555       1.89387     
    8 4   276.694       382.034      -7.90706      0.957220     

 ;           TOTAL_ERRORR
 ;       1 1   1.32699    
