 ;spi/dat   19-FEB-2014 AT 10:00:20   mk_corr_doc.dat
 ; FOR IMAGE SERIES: mk_corr_doc

 ; VIEW    SCALE         THETA          PSI          XSHIFT        YSHIFT
    1 5  0.609436      -59.6090      -30.3286      -84.8246       190.289     
    2 5  0.610263      -58.5660      -32.0173      -87.5156       188.239     
    3 5  0.617290      -57.4910      -32.9224      -90.2563       189.552     
    4 5  0.628392      -56.3840      -33.0935      -91.9546       192.784     
    5 5  0.637303      -55.2440      -33.4667      -92.7882       197.136     
    6 5  0.653844      -54.0700      -34.9762      -98.9975       198.583     
    7 5  0.661330      -52.8630      -35.5221      -101.078       200.034     
    8 5  0.668335      -51.6210      -35.8796      -102.345       201.944     
    9 5  0.689187      -50.3450      -36.9334      -106.757       205.824     
   10 5  0.696306      -49.0330      -37.2308      -107.111       207.262     
   11 5  0.726154      -47.6870      -40.1000      -116.023       210.915     
   12 5  0.752158      -46.3050      -37.9727      -113.396       223.799     
   13 5  0.759833      -44.8890      -38.8199      -114.814       225.781     
   14 5  0.770622      -43.4360      -39.3176      -115.420       229.922     
   15 5  0.780966      -41.9490      -39.3032      -114.476       233.834     
   16 5  0.801393      -40.4260      -39.4953      -116.472       240.852     
   17 5  0.812563      -38.8690      -40.4731      -119.153       243.667     
   18 5  0.822744      -37.2780      -41.4605      -123.867       245.656     
   19 5  0.835347      -35.6530      -41.5583      -125.639       247.844     
   20 5  0.852252      -33.9940      -41.6201      -126.847       253.999     
   21 5  0.857400      -32.3040      -42.3802      -129.596       254.031     
   22 5  0.867877      -30.5820      -43.0583      -132.216       256.725     
   23 5  0.878327      -28.8300      -43.2452      -133.739       259.365     
   24 5  0.890200      -27.0490      -43.2909      -134.339       263.324     
   25 5  0.903003      -25.2400      -43.7105      -136.412       267.101     
   26 5  0.917965      -23.4040      -43.9297      -137.429       272.774     
   27 5  0.923275      -21.5440      -44.3801      -138.949       274.520     
   28 5  0.937301      -19.6610      -45.0739      -141.925       278.581     
   29 5  0.945533      -17.7560      -44.8917      -140.542       283.220     
   30 5  0.953499      -15.8320      -45.0041      -140.384       285.947     
   31 5  0.964720      -13.8900      -45.6726      -144.240       288.565     
   32 5  0.970224      -11.9330      -45.7604      -143.359       290.614     
   33 5  0.978313      -9.96360      -45.9974      -144.209       293.505     
   34 5  0.981523      -7.98300      -45.5336      -140.593       297.283     
   35 5  0.991837      -5.99390      -45.6529      -140.991       301.202     
   36 5  0.994258      -3.99880      -45.7895      -140.761       302.552     
   37 5  0.997512      -2.00000      -46.4216      -142.383       303.883     
   38 5  0.999946       0.00000      -46.5337      -141.391       306.710     
   39 5   1.00447       2.00000      -46.5643      -140.696       308.822     
   40 5   1.00456       3.99880      -46.9740      -141.864       309.278     
   41 5   1.00689       5.99390      -46.5378      -138.612       311.774     
   42 5   1.00621       7.98300      -46.7112      -138.028       311.911     
   43 5   1.00789       9.96360      -46.5707      -136.092       314.350     
   44 5   1.00038       11.9330      -46.4602      -133.145       314.080     
   45 5   1.00192       13.8900      -46.6498      -133.562       316.160     
   46 5   1.00746       15.8320      -46.5108      -132.194       318.691     
   47 5   1.00609       17.7560      -46.4026      -130.131       320.115     
   48 5  0.998688       19.6610      -46.2504      -127.158       320.202     
   49 5  0.997695       21.5440      -46.4744      -126.596       320.926     
   50 5  0.991811       23.4040      -46.5039      -124.853       320.608     
   51 5  0.979153       25.2400      -45.7470      -118.658       319.299     
   52 5  0.978227       27.0490      -45.7905      -118.489       319.539     
   53 5  0.966739       28.8300      -45.9287      -117.417       315.577     
   54 5  0.954256       30.5820      -46.1343      -116.827       311.431     
   55 5  0.943927       32.3040      -45.7530      -113.323       309.611     
   56 5  0.935169       33.9940      -45.3758      -110.779       308.529     
   57 5  0.928957       35.6530      -45.2981      -109.819       306.491     
   58 5  0.923169       37.2780      -45.4570      -110.521       303.802     
   59 5  0.909898       38.8690      -44.7210      -107.007       299.734     
   60 5  0.902645       40.4260      -44.6982      -106.638       296.818     
   61 5  0.891907       41.9490      -44.4521      -104.696       293.061     
   62 5  0.879924       43.4360      -44.3578      -103.247       289.216     
   63 5  0.872905       44.8890      -44.2358      -101.614       288.007     
   64 5  0.864068       46.3050      -43.6932      -96.0355       288.671     
   65 5  0.855343       47.6870      -43.2317      -94.9351       284.607     
   66 5  0.844691       49.0330      -43.6201      -98.9411       277.641     
   67 5  0.837501       50.3450      -43.1038      -96.7912       275.616     
   68 5  0.829414       51.6210      -43.1713      -97.7138       272.071     
   69 5  0.822827       52.8630      -42.6984      -96.0946       269.465     
   70 5  0.812845       54.0700      -42.1725      -93.0380       266.282     
   71 5  0.806829       55.2440      -41.3911      -91.0050       265.484     
   72 5  0.798108       56.3840      -41.6310      -91.8307       261.690     
   73 5  0.790372       57.4910      -40.7768      -83.5016       264.306     
   74 5  0.778993       58.5660      -40.4841      -109.728       250.019     
   75 5  0.759444       59.6090      -39.8172      -143.275       219.266     
