 ;spi/dat 19-FEB-2014  mk_err_per_view_doc.dat
 ;    ERROR_PER_VIEW
    1 1   6.14815     
    2 1   8.21762     
    3 1   7.67480     
    4 1   7.19106     
    5 1   5.68894     
    6 1   5.57215     
    7 1   5.94078     
    8 1   6.00771     
    9 1   3.37659     
   10 1   3.40590     
   11 1   4.35486     
   12 1   6.95675     
   13 1   6.38517     
   14 1   6.28540     
   15 1   5.06744     
   16 1   4.75625     
   17 1   4.80146     
   18 1   4.72759     
   19 1   4.11346     
   20 1   3.95518     
   21 1   3.42741     
   22 1   3.02402     
   23 1   2.56969     
   24 1   2.64910     
   25 1   2.48914     
   26 1   2.75333     
   27 1   3.02055     
   28 1   2.74796     
   29 1   2.73916     
   30 1   2.82391     
   31 1   2.71626     
   32 1   3.29411     
   33 1   3.59427     
   34 1   3.88041     
   35 1   3.53165     
   36 1   4.01666     
   37 1   3.78059     
   38 1   4.59332     
   39 1   4.40424     
   40 1   4.90702     
   41 1   5.14042     
   42 1   5.26356     
   43 1   4.68881     
   44 1   4.30724     
   45 1   3.75811     
   46 1   3.77200     
   47 1   3.56676     
   48 1   2.96380     
   49 1   3.19638     
   50 1   3.08584     
   51 1   2.64952     
   52 1   2.82785     
   53 1   2.05945     
   54 1   1.64987     
   55 1   1.67606     
   56 1   1.92460     
   57 1   1.74189     
   58 1   1.54034     
   59 1   1.05352     
   60 1   1.40626     
   61 1   1.81358     
   62 1   2.50658     
   63 1   2.66356     
   64 1   3.19950     
   65 1   3.66174     
   66 1   3.62660     
   67 1   4.08794     
   68 1   4.07209     
   69 1   4.74697     
   70 1   5.12112     
   71 1   5.76357     
   72 1   6.02261     
   73 1   6.44065     
   74 1   6.84782     
   75 1   7.32052     
 ;     TOTAL_ERROR
 ;  1 1   4.36650    
