 ;spi/dat   21-JAN-2014 AT 14:29:35   nk_ctfed_pw_avg_doc.dat
 ;         CONTENTS:  ROTATIONAL AVERAGE
 ;         AVERAGE       RADIUS      SPATIAL-FREQ
    1 3  3.325838E-03   1.00000      2.000000E-03 
    2 3  3.325838E-03   2.00000      4.000000E-03 
    3 3  3.325839E-03   3.00000      6.000000E-03 
    4 3  5.276819E-03   4.00000      8.000000E-03 
    5 3  1.522413E-02   5.00000      1.000000E-02 
    6 3  1.535157E-02   6.00000      1.200000E-02 
    7 3  1.437874E-02   7.00000      1.400000E-02 
    8 3  1.260738E-02   8.00000      1.600000E-02 
    9 3  1.083810E-02   9.00000      1.800000E-02 
   10 3  9.839761E-03   10.0000      2.000000E-02 
   11 3  9.586014E-03   11.0000      2.200000E-02 
   12 3  9.814012E-03   12.0000      2.400000E-02 
   13 3  9.853277E-03   13.0000      2.600000E-02 
   14 3  1.002011E-02   14.0000      2.800000E-02 
   15 3  1.001258E-02   15.0000      3.000000E-02 
   16 3  1.018660E-02   16.0000      3.200000E-02 
   17 3  1.018723E-02   17.0000      3.400000E-02 
   18 3  1.031257E-02   18.0000      3.600000E-02 
   19 3  1.032910E-02   19.0000      3.800000E-02 
   20 3  1.026891E-02   20.0000      4.000000E-02 
   21 3  1.015797E-02   21.0000      4.200000E-02 
   22 3  9.989124E-03   22.0000      4.400000E-02 
   23 3  9.768906E-03   23.0000      4.600000E-02 
   24 3  9.583383E-03   24.0000      4.800000E-02 
   25 3  9.212489E-03   25.0000      5.000000E-02 
   26 3  8.782481E-03   26.0000      5.200000E-02 
   27 3  8.268449E-03   27.0000      5.400000E-02 
   28 3  7.666930E-03   28.0000      5.600000E-02 
   29 3  6.978370E-03   29.0000      5.800000E-02 
   30 3  6.378892E-03   30.0000      6.000000E-02 
   31 3  5.764592E-03   31.0000      6.200000E-02 
   32 3  5.303545E-03   32.0000      6.400000E-02 
   33 3  4.910144E-03   33.0000      6.600000E-02 
   34 3  4.749198E-03   34.0000      6.800000E-02 
   35 3  4.771806E-03   35.0000      7.000000E-02 
   36 3  4.945110E-03   36.0000      7.200000E-02 
   37 3  5.198251E-03   37.0000      7.400000E-02 
   38 3  5.519306E-03   38.0000      7.600000E-02 
   39 3  5.790988E-03   39.0000      7.800000E-02 
   40 3  5.973172E-03   40.0000      8.000000E-02 
   41 3  6.076809E-03   41.0000      8.200000E-02 
   42 3  6.058884E-03   42.0000      8.400000E-02 
   43 3  5.889496E-03   43.0000      8.600000E-02 
   44 3  5.576647E-03   44.0000      8.800000E-02 
   45 3  5.242495E-03   45.0000      9.000000E-02 
   46 3  4.922098E-03   46.0000      9.200000E-02 
   47 3  4.674776E-03   47.0000      9.400000E-02 
   48 3  4.513962E-03   48.0000      9.600000E-02 
   49 3  4.515757E-03   49.0000      9.800000E-02 
   50 3  4.671774E-03   50.0000      0.100000     
   51 3  4.893007E-03   51.0000      0.102000     
   52 3  5.109878E-03   52.0000      0.104000     
   53 3  5.241954E-03   53.0000      0.106000     
   54 3  5.246285E-03   54.0000      0.108000     
   55 3  5.137533E-03   55.0000      0.110000     
   56 3  4.909467E-03   56.0000      0.112000     
   57 3  4.666555E-03   57.0000      0.114000     
   58 3  4.471748E-03   58.0000      0.116000     
   59 3  4.379860E-03   59.0000      0.118000     
   60 3  4.438426E-03   60.0000      0.120000     
   61 3  4.574930E-03   61.0000      0.122000     
   62 3  4.728640E-03   62.0000      0.124000     
   63 3  4.842227E-03   63.0000      0.126000     
   64 3  4.826624E-03   64.0000      0.128000     
   65 3  4.693964E-03   65.0000      0.130000     
   66 3  4.516945E-03   66.0000      0.132000     
   67 3  4.340941E-03   67.0000      0.134000     
   68 3  4.271190E-03   68.0000      0.136000     
   69 3  4.295684E-03   69.0000      0.138000     
   70 3  4.431967E-03   70.0000      0.140000     
   71 3  4.561467E-03   71.0000      0.142000     
   72 3  4.586098E-03   72.0000      0.144000     
   73 3  4.529639E-03   73.0000      0.146000     
   74 3  4.373424E-03   74.0000      0.148000     
   75 3  4.238891E-03   75.0000      0.150000     
   76 3  4.164779E-03   76.0000      0.152000     
   77 3  4.223459E-03   77.0000      0.154000     
   78 3  4.325643E-03   78.0000      0.156000     
   79 3  4.395444E-03   79.0000      0.158000     
   80 3  4.388838E-03   80.0000      0.160000     
   81 3  4.290601E-03   81.0000      0.162000     
   82 3  4.164767E-03   82.0000      0.164000     
   83 3  4.096576E-03   83.0000      0.166000     
   84 3  4.133402E-03   84.0000      0.168000     
   85 3  4.188200E-03   85.0000      0.170000     
   86 3  4.253718E-03   86.0000      0.172000     
   87 3  4.239371E-03   87.0000      0.174000     
   88 3  4.167441E-03   88.0000      0.176000     
   89 3  4.057010E-03   89.0000      0.178000     
   90 3  4.027422E-03   90.0000      0.180000     
   91 3  4.084141E-03   91.0000      0.182000     
   92 3  4.155093E-03   92.0000      0.184000     
   93 3  4.148293E-03   93.0000      0.186000     
   94 3  4.090239E-03   94.0000      0.188000     
   95 3  4.016345E-03   95.0000      0.190000     
   96 3  3.971636E-03   96.0000      0.192000     
   97 3  3.986075E-03   97.0000      0.194000     
   98 3  4.044064E-03   98.0000      0.196000     
   99 3  4.055228E-03   99.0000      0.198000     
  100 3  3.982167E-03   100.000      0.200000     
  101 3  3.930451E-03   101.000      0.202000     
  102 3  3.910206E-03   102.000      0.204000     
  103 3  3.930686E-03   103.000      0.206000     
  104 3  3.951488E-03   104.000      0.208000     
  105 3  3.936292E-03   105.000      0.210000     
  106 3  3.893153E-03   106.000      0.212000     
  107 3  3.872085E-03   107.000      0.214000     
  108 3  3.867857E-03   108.000      0.216000     
  109 3  3.898636E-03   109.000      0.218000     
  110 3  3.886237E-03   110.000      0.220000     
  111 3  3.852963E-03   111.000      0.222000     
  112 3  3.824586E-03   112.000      0.224000     
  113 3  3.811822E-03   113.000      0.226000     
  114 3  3.828180E-03   114.000      0.228000     
  115 3  3.818889E-03   115.000      0.230000     
  116 3  3.784853E-03   116.000      0.232000     
  117 3  3.771073E-03   117.000      0.234000     
  118 3  3.780430E-03   118.000      0.236000     
  119 3  3.755162E-03   119.000      0.238000     
  120 3  3.752332E-03   120.000      0.240000     
  121 3  3.721778E-03   121.000      0.242000     
  122 3  3.706900E-03   122.000      0.244000     
  123 3  3.712159E-03   123.000      0.246000     
  124 3  3.700851E-03   124.000      0.248000     
  125 3  3.689800E-03   125.000      0.250000     
  126 3  3.671717E-03   126.000      0.252000     
  127 3  3.663235E-03   127.000      0.254000     
  128 3  3.658741E-03   128.000      0.256000     
  129 3  3.647730E-03   129.000      0.258000     
  130 3  3.636296E-03   130.000      0.260000     
  131 3  3.613864E-03   131.000      0.262000     
  132 3  3.607659E-03   132.000      0.264000     
  133 3  3.605701E-03   133.000      0.266000     
  134 3  3.589020E-03   134.000      0.268000     
  135 3  3.584263E-03   135.000      0.270000     
  136 3  3.582062E-03   136.000      0.272000     
  137 3  3.561237E-03   137.000      0.274000     
  138 3  3.537213E-03   138.000      0.276000     
  139 3  3.553826E-03   139.000      0.278000     
  140 3  3.542720E-03   140.000      0.280000     
  141 3  3.526565E-03   141.000      0.282000     
  142 3  3.513962E-03   142.000      0.284000     
  143 3  3.500959E-03   143.000      0.286000     
  144 3  3.506059E-03   144.000      0.288000     
  145 3  3.485395E-03   145.000      0.290000     
  146 3  3.480792E-03   146.000      0.292000     
  147 3  3.472375E-03   147.000      0.294000     
  148 3  3.458865E-03   148.000      0.296000     
  149 3  3.456585E-03   149.000      0.298000     
  150 3  3.445352E-03   150.000      0.300000     
  151 3  3.423660E-03   151.000      0.302000     
  152 3  3.420126E-03   152.000      0.304000     
  153 3  3.413500E-03   153.000      0.306000     
  154 3  3.413586E-03   154.000      0.308000     
  155 3  3.398831E-03   155.000      0.310000     
  156 3  3.378432E-03   156.000      0.312000     
  157 3  3.384122E-03   157.000      0.314000     
  158 3  3.372067E-03   158.000      0.316000     
  159 3  3.373862E-03   159.000      0.318000     
  160 3  3.359511E-03   160.000      0.320000     
  161 3  3.349474E-03   161.000      0.322000     
  162 3  3.346809E-03   162.000      0.324000     
  163 3  3.324105E-03   163.000      0.326000     
  164 3  3.311373E-03   164.000      0.328000     
  165 3  3.315145E-03   165.000      0.330000     
  166 3  3.314332E-03   166.000      0.332000     
  167 3  3.297299E-03   167.000      0.334000     
  168 3  3.290414E-03   168.000      0.336000     
  169 3  3.294778E-03   169.000      0.338000     
  170 3  3.285388E-03   170.000      0.340000     
  171 3  3.273248E-03   171.000      0.342000     
  172 3  3.276933E-03   172.000      0.344000     
  173 3  3.252761E-03   173.000      0.346000     
  174 3  3.241793E-03   174.000      0.348000     
  175 3  3.250035E-03   175.000      0.350000     
  176 3  3.241245E-03   176.000      0.352000     
  177 3  3.226162E-03   177.000      0.354000     
  178 3  3.217420E-03   178.000      0.356000     
  179 3  3.207162E-03   179.000      0.358000     
  180 3  3.199092E-03   180.000      0.360000     
  181 3  3.199755E-03   181.000      0.362000     
  182 3  3.196372E-03   182.000      0.364000     
  183 3  3.184327E-03   183.000      0.366000     
  184 3  3.180159E-03   184.000      0.368000     
  185 3  3.168370E-03   185.000      0.370000     
  186 3  3.162067E-03   186.000      0.372000     
  187 3  3.164201E-03   187.000      0.374000     
  188 3  3.159093E-03   188.000      0.376000     
  189 3  3.141198E-03   189.000      0.378000     
  190 3  3.135264E-03   190.000      0.380000     
  191 3  3.126688E-03   191.000      0.382000     
  192 3  3.123420E-03   192.000      0.384000     
  193 3  3.126383E-03   193.000      0.386000     
  194 3  3.111442E-03   194.000      0.388000     
  195 3  3.112326E-03   195.000      0.390000     
  196 3  3.109683E-03   196.000      0.392000     
  197 3  3.089059E-03   197.000      0.394000     
  198 3  3.079199E-03   198.000      0.396000     
  199 3  3.080794E-03   199.000      0.398000     
  200 3  3.079607E-03   200.000      0.400000     
  201 3  3.077807E-03   201.000      0.402000     
  202 3  3.072396E-03   202.000      0.404000     
  203 3  3.052851E-03   203.000      0.406000     
  204 3  3.044904E-03   204.000      0.408000     
  205 3  3.044036E-03   205.000      0.410000     
  206 3  3.041603E-03   206.000      0.412000     
  207 3  3.035646E-03   207.000      0.414000     
  208 3  3.027240E-03   208.000      0.416000     
  209 3  3.020155E-03   209.000      0.418000     
  210 3  3.023589E-03   210.000      0.420000     
  211 3  3.013640E-03   211.000      0.422000     
  212 3  3.011508E-03   212.000      0.424000     
  213 3  3.003659E-03   213.000      0.426000     
  214 3  2.998709E-03   214.000      0.428000     
  215 3  3.004732E-03   215.000      0.430000     
  216 3  3.005095E-03   216.000      0.432000     
  217 3  2.994295E-03   217.000      0.434000     
  218 3  2.980260E-03   218.000      0.436000     
  219 3  2.972969E-03   219.000      0.438000     
  220 3  2.978784E-03   220.000      0.440000     
  221 3  2.974421E-03   221.000      0.442000     
  222 3  2.964430E-03   222.000      0.444000     
  223 3  2.969678E-03   223.000      0.446000     
  224 3  2.965692E-03   224.000      0.448000     
  225 3  2.953455E-03   225.000      0.450000     
  226 3  2.954796E-03   226.000      0.452000     
  227 3  2.950052E-03   227.000      0.454000     
  228 3  2.945099E-03   228.000      0.456000     
  229 3  2.933355E-03   229.000      0.458000     
  230 3  2.934844E-03   230.000      0.460000     
  231 3  2.930287E-03   231.000      0.462000     
  232 3  2.925944E-03   232.000      0.464000     
  233 3  2.921612E-03   233.000      0.466000     
  234 3  2.915755E-03   234.000      0.468000     
  235 3  2.917370E-03   235.000      0.470000     
  236 3  2.905794E-03   236.000      0.472000     
  237 3  2.912543E-03   237.000      0.474000     
  238 3  2.909394E-03   238.000      0.476000     
  239 3  2.898724E-03   239.000      0.478000     
  240 3  2.897334E-03   240.000      0.480000     
  241 3  2.901607E-03   241.000      0.482000     
  242 3  2.890005E-03   242.000      0.484000     
  243 3  2.889513E-03   243.000      0.486000     
  244 3  2.893846E-03   244.000      0.488000     
  245 3  2.894162E-03   245.000      0.490000     
  246 3  2.890830E-03   246.000      0.492000     
  247 3  2.879325E-03   247.000      0.494000     
  248 3  2.875651E-03   248.000      0.496000     
  249 3  2.877147E-03   249.000      0.498000     
  250 3  2.872784E-03   250.000      0.500000     
