 ;spi/dat   15-JAN-2014 AT 10:36:14   rf_doc.dat
 ;        NORM-FREQ      DPH           FRC          FRCCRIT        PIXELS
    3 5  2.666667E-03   12.0383      0.950254       1.00000       4.00000     
    4 5  4.000000E-03   61.5636      0.246922       1.00000       4.00000     
    5 5  5.333333E-03   120.230     -0.258397      0.866025       12.0000     
    7 5  8.000000E-03   104.955     -9.474145E-02  0.750000       16.0000     
    8 5  9.333333E-03   78.3181      0.319592       1.00000       8.00000     
    9 5  1.066667E-02   70.0828      0.401749      0.866025       12.0000     
   10 5  1.200000E-02   109.540      1.044623E-02  0.866025       12.0000     
   11 5  1.333333E-02   131.642     -0.222259      0.670820       20.0000     
   12 5  1.466667E-02   132.088     -0.549840      0.866025       12.0000     
   13 5  1.600000E-02   109.318     -0.191724      0.670820       20.0000     
   14 5  1.733333E-02   104.335      0.262985      0.612372       24.0000     
   15 5  1.866667E-02   89.6874      0.276570      0.612372       24.0000     
   16 5  2.000000E-02   78.3261      0.291554      0.750000       16.0000     
   17 5  2.133333E-02   117.350     -4.821012E-02  0.566947       28.0000     
   18 5  2.266667E-02   111.199     -5.092051E-02  0.566947       28.0000     
   19 5  2.400000E-02   106.607      6.776635E-02  0.500000       36.0000     
   20 5  2.533333E-02   77.6632      0.383258      0.750000       16.0000     
   21 5  2.666667E-02   104.277     -2.797236E-02  0.474342       40.0000     
   22 5  2.800000E-02   87.5174      0.208726      0.612372       24.0000     
   23 5  2.933333E-02   97.5163      1.329789E-02  0.452267       44.0000     
   24 5  3.066667E-02   97.3398      0.124316      0.500000       36.0000     
   25 5  3.200000E-02   99.0883      1.912367E-02  0.452267       44.0000     
   26 5  3.333334E-02   99.7046     -1.396455E-02  0.612372       24.0000     
   27 5  3.466666E-02   117.435     -0.249768      0.433013       48.0000     
   28 5  3.600000E-02   106.550      4.614203E-04  0.474342       40.0000     
   29 5  3.733333E-02   123.790     -0.228025      0.474342       40.0000     
   30 5  3.866667E-02   122.241     -0.309900      0.474342       40.0000     
   31 5  4.000000E-02   100.224      3.905301E-02  0.416025       52.0000     
   32 5  4.133333E-02   105.560     -4.561474E-02  0.416025       52.0000     
   33 5  4.266667E-02   105.753      2.793894E-02  0.416025       52.0000     
   34 5  4.400000E-02   91.6001      0.150321      0.433013       48.0000     
   35 5  4.533333E-02   93.7288      0.146011      0.400892       56.0000     
   36 5  4.666667E-02   94.8822      0.169506      0.433013       48.0000     
   37 5  4.800000E-02   110.244     -6.129808E-02  0.387298       60.0000     
   38 5  4.933333E-02   114.562     -0.196001      0.387298       60.0000     
   39 5  5.066667E-02   107.397      3.000644E-02  0.416025       52.0000     
   40 5  5.200000E-02   72.1479      0.483470      0.400892       56.0000     
   41 5  5.333333E-02   101.466      1.144172E-02  0.353553       72.0000     
   42 5  5.466667E-02   85.9666      0.258092      0.353553       72.0000     
   43 5  5.600000E-02   112.970     -9.996819E-02  0.387298       60.0000     
   44 5  5.733333E-02   109.923     -6.240631E-02  0.363803       68.0000     
   45 5  5.866667E-02   99.6964      0.142934      0.363803       68.0000     
   46 5  6.000000E-02   100.367      1.159028E-02  0.363803       68.0000     
   47 5  6.133333E-02   91.9486      0.182190      0.363803       68.0000     
   48 5  6.266667E-02   117.278     -0.134058      0.353553       72.0000     
   49 5  6.400000E-02   104.917     -5.419411E-02  0.335410       80.0000     
   50 5  6.533334E-02   99.9436      9.907282E-02  0.375000       64.0000     
   51 5  6.666667E-02   107.209     -9.238842E-02  0.300000       100.000     
   52 5  6.800000E-02   102.690      6.695106E-02  0.344124       76.0000     
   53 5  6.933333E-02   101.283     -2.901420E-02  0.327327       84.0000     
   54 5  7.066666E-02   103.390      3.467899E-02  0.353553       72.0000     
   55 5  7.200000E-02   99.4265      0.125654      0.319801       88.0000     
   56 5  7.333333E-02   104.654     -2.033660E-02  0.319801       88.0000     
   57 5  7.466666E-02   99.3783      3.326581E-02  0.327327       84.0000     
   58 5  7.600000E-02   105.677     -5.190986E-02  0.300000       100.000     
   59 5  7.733333E-02   101.570     -1.909764E-02  0.300000       100.000     
   60 5  7.866666E-02   109.840     -0.144204      0.375000       64.0000     
   61 5  8.000000E-02   107.340     -0.107164      0.283473       112.000     
   62 5  8.133333E-02   113.227     -0.165092      0.319801       88.0000     
   63 5  8.266667E-02   98.7653      7.979787E-03  0.294174       104.000     
   64 5  8.400000E-02   92.7382      0.105587      0.319801       88.0000     
   65 5  8.533333E-02   104.667      4.182914E-02  0.300000       100.000     
   66 5  8.666667E-02   93.6617      0.144355      0.288675       108.000     
   67 5  8.800000E-02   103.380     -3.946000E-02  0.300000       100.000     
   68 5  8.933333E-02   99.3125      0.100558      0.283473       112.000     
   69 5  9.066667E-02   106.227     -0.100927      0.294174       104.000     
   70 5  9.200000E-02   99.8254      0.128876      0.306186       96.0000     
   71 5  9.333333E-02   104.783      5.195217E-02  0.278543       116.000     
   72 5  9.466667E-02   102.334      1.124356E-02  0.288675       108.000     
   73 5  9.600000E-02   98.7116      0.100278      0.269408       124.000     
   74 5  9.733333E-02   99.5192      3.987028E-02  0.319801       88.0000     
   75 5  9.866667E-02   114.108     -0.128493      0.257248       136.000     
   76 5  0.100000       108.703     -5.467089E-02  0.273861       120.000     
   77 5  0.101333       101.687     -3.671562E-02  0.278543       116.000     
   78 5  0.102667       110.020     -9.628358E-02  0.261116       132.000     
   79 5  0.104000       102.359      2.037718E-02  0.278543       116.000     
   80 5  0.105333       115.275     -0.110343      0.278543       116.000     
   81 5  0.106667       108.108     -5.304589E-02  0.278543       116.000     
   82 5  0.108000       105.222     -6.994884E-02  0.257248       136.000     
   83 5  0.109333       111.240     -8.668239E-02  0.265165       128.000     
   84 5  0.110667       104.590     -4.510522E-02  0.265165       128.000     
   85 5  0.112000       109.534     -7.750715E-02  0.261116       132.000     
   86 5  0.113333       115.637     -0.208811      0.261116       132.000     
   87 5  0.114667       93.0062      0.149052      0.261116       132.000     
   88 5  0.116000       91.5801      0.176755      0.257248       136.000     
   89 5  0.117333       103.850     -1.123712E-02  0.250000       144.000     
   90 5  0.118667       107.680     -9.667586E-02  0.265165       128.000     
   91 5  0.120000       111.743     -0.136437      0.253546       140.000     
   92 5  0.121333       105.415     -7.027337E-02  0.240192       156.000     
   93 5  0.122667       105.012     -4.907526E-02  0.246598       148.000     
   94 5  0.124000       110.164     -0.113042      0.257248       136.000     
   95 5  0.125333       106.352      2.919492E-02  0.250000       144.000     
   96 5  0.126667       110.919     -0.127456      0.243332       152.000     
   97 5  0.128000       94.2678      0.116521      0.237171       160.000     
   98 5  0.129333       99.1721      9.787521E-02  0.257248       136.000     
   99 5  0.130667       99.3040      6.900567E-02  0.234261       164.000     
  100 5  0.132000       102.479     -3.265172E-02  0.261116       132.000     
  101 5  0.133333       106.291      8.640032E-03  0.234261       164.000     
  102 5  0.134667       99.5319      2.742607E-02  0.226133       176.000     
  103 5  0.136000       100.714      1.054373E-02  0.231455       168.000     
  104 5  0.137333       94.5823      6.815273E-02  0.273861       120.000     
  105 5  0.138667       96.6583      5.340200E-02  0.223607       180.000     
  106 5  0.140000       108.210     -5.642354E-02  0.234261       164.000     
  107 5  0.141333       105.506     -3.139512E-02  0.234261       164.000     
  108 5  0.142667       106.370     -3.408392E-02  0.226133       176.000     
  109 5  0.144000       105.085     -3.386288E-02  0.237171       160.000     
  110 5  0.145333       101.682      6.286029E-02  0.221163       184.000     
  111 5  0.146667       103.085     -1.919333E-02  0.234261       164.000     
  112 5  0.148000       101.480      4.761857E-02  0.223607       180.000     
  113 5  0.149333       97.7262      7.381981E-02  0.214286       196.000     
  114 5  0.150667       107.717     -9.636045E-02  0.253546       140.000     
  115 5  0.152000       98.2026      4.124526E-02  0.218797       188.000     
  116 5  0.153333       94.0143      9.981165E-02  0.221163       184.000     
  117 5  0.154667       101.112      2.051829E-03  0.226133       176.000     
  118 5  0.156000       110.820     -0.140135      0.226133       176.000     
  119 5  0.157333       105.799     -4.340515E-02  0.214286       196.000     
  120 5  0.158667       102.617     -2.721034E-02  0.218797       188.000     
  121 5  0.160000       104.860     -3.719637E-02  0.223607       180.000     
  122 5  0.161333       107.154     -5.772293E-02  0.216506       192.000     
  123 5  0.162667       98.9469      8.731253E-02  0.212132       200.000     
  124 5  0.164000       104.196     -3.160483E-02  0.231455       168.000     
  125 5  0.165333       101.125      5.619255E-02  0.214286       196.000     
  126 5  0.166667       105.645      2.654702E-02  0.218797       188.000     
  127 5  0.168000       108.818     -4.286666E-02  0.198680       228.000     
  128 5  0.169333       105.355     -3.635503E-02  0.221163       184.000     
  129 5  0.170667       110.179     -0.105801      0.204124       216.000     
  130 5  0.172000       99.3604      7.447990E-02  0.212132       200.000     
  131 5  0.173333       109.064     -0.131909      0.216506       192.000     
  132 5  0.174667       100.672      6.863144E-02  0.208013       208.000     
  133 5  0.176000       108.278     -8.226624E-02  0.210042       204.000     
  134 5  0.177333       103.283      1.234755E-02  0.214286       196.000     
  135 5  0.178667       98.9196      5.989906E-02  0.210042       204.000     
  136 5  0.180000       94.5253      7.666145E-02  0.200446       224.000     
  137 5  0.181333       106.111     -4.246962E-02  0.196960       232.000     
  138 5  0.182667       103.593     -5.488461E-02  0.221163       184.000     
  139 5  0.184000       100.180      6.829539E-02  0.195283       236.000     
  140 5  0.185333       106.621     -3.731987E-02  0.210042       204.000     
  141 5  0.186667       104.338     -3.061478E-02  0.202260       220.000     
