 ;spi/dat   15-JAN-2014 AT 10:53:45   rfsn_doc.dat
 ; RADIUS NORM.RAD        SSNR         NVALS       VARIANCE
    1 4   0.00000      4.906233E+06   1.00000           Inf 
    3 4  2.666667E-03   29.1377       2.00000       31.1056     
    4 4  4.000000E-03  0.618748       2.00000       2.20405     
    5 4  5.333333E-03   0.00000       6.00000       1.09545     
    7 4  8.000000E-03   0.00000       8.00000       1.06904     
    8 4  9.333333E-03  0.933075       4.00000       2.02774     
    9 4  1.066667E-02   1.33679       6.00000       2.18305     
   10 4  1.200000E-02  1.986468E-02   6.00000       1.11703     
   11 4  1.333333E-02   0.00000       10.0000       1.05409     
   12 4  1.466667E-02   0.00000       6.00000       1.09545     
   13 4  1.600000E-02   0.00000       10.0000       1.05409     
   14 4  1.733333E-02  0.704957       12.0000       1.63529     
   15 4  1.866667E-02  0.760886       12.0000       1.67441     
   16 4  2.000000E-02  0.822798       8.00000       1.76642     
   17 4  2.133333E-02   0.00000       14.0000       1.03775     
   18 4  2.266667E-02   0.00000       14.0000       1.03775     
   19 4  2.400000E-02  0.145367       18.0000       1.16957     
   20 4  2.533333E-02   1.16830       8.00000       2.00206     
   21 4  2.666667E-02   0.00000       20.0000       1.02598     
   22 4  2.800000E-02  0.527477       12.0000       1.50568     
   23 4  2.933333E-02  2.621937E-02   22.0000       1.05004     
   24 4  3.066667E-02  0.275088       18.0000       1.28289     
   25 4  3.200000E-02  3.898871E-02   22.0000       1.06272     
   26 4  3.333334E-02   0.00000       12.0000       1.04447     
   27 4  3.466666E-02   0.00000       24.0000       1.02151     
   28 4  3.600000E-02  9.218454E-04   20.0000       1.02692     
   29 4  3.733333E-02   0.00000       20.0000       1.02598     
   30 4  3.866667E-02   0.00000       20.0000       1.02598     
   31 4  4.000000E-02  7.986689E-02   26.0000       1.09835     
   32 4  4.133333E-02   0.00000       26.0000       1.01980     
   33 4  4.266667E-02  5.748224E-02   26.0000       1.07689     
   34 4  4.400000E-02  0.344726       24.0000       1.32969     
   35 4  4.533333E-02  0.330826       28.0000       1.31425     
   36 4  4.666667E-02  0.406646       24.0000       1.37816     
