 ;spi/mrf   21-JAN-2013 AT 16:39:14   power/roo1955.mrf
 ;         CONTENTS:  ROTATIONAL AVERAGE
 ;         AVERAGE       RADIUS      SPATIAL-FREQ
    1 3  8.376596E-04   1.00000      2.000000E-03 
    2 3  1.546434E-03   2.00000      4.000000E-03 
    3 3  1.181195E-03   3.00000      6.000000E-03 
    4 3  9.488361E-04   4.00000      8.000000E-03 
    5 3  9.060802E-04   5.00000      1.000000E-02 
    6 3  8.620238E-04   6.00000      1.200000E-02 
    7 3  8.013852E-04   7.00000      1.400000E-02 
    8 3  7.486750E-04   8.00000      1.600000E-02 
    9 3  6.896321E-04   9.00000      1.800000E-02 
   10 3  6.854084E-04   10.0000      2.000000E-02 
   11 3  6.696734E-04   11.0000      2.200000E-02 
   12 3  6.561764E-04   12.0000      2.400000E-02 
   13 3  6.481050E-04   13.0000      2.600000E-02 
   14 3  6.436875E-04   14.0000      2.800000E-02 
   15 3  6.397899E-04   15.0000      3.000000E-02 
   16 3  6.322576E-04   16.0000      3.200000E-02 
   17 3  6.334798E-04   17.0000      3.400000E-02 
   18 3  6.284099E-04   18.0000      3.600000E-02 
   19 3  6.342936E-04   19.0000      3.800000E-02 
   20 3  6.320095E-04   20.0000      4.000000E-02 
   21 3  6.287927E-04   21.0000      4.200000E-02 
   22 3  6.381687E-04   22.0000      4.400000E-02 
   23 3  6.443783E-04   23.0000      4.600000E-02 
   24 3  6.457748E-04   24.0000      4.800000E-02 
   25 3  6.424354E-04   25.0000      5.000000E-02 
   26 3  6.375179E-04   26.0000      5.200000E-02 
   27 3  6.334485E-04   27.0000      5.400000E-02 
   28 3  6.223808E-04   28.0000      5.600000E-02 
   29 3  6.061362E-04   29.0000      5.800000E-02 
   30 3  5.895480E-04   30.0000      6.000000E-02 
   31 3  5.692922E-04   31.0000      6.200000E-02 
   32 3  5.481219E-04   32.0000      6.400000E-02 
   33 3  5.214806E-04   33.0000      6.600000E-02 
   34 3  4.896236E-04   34.0000      6.800000E-02 
   35 3  4.559882E-04   35.0000      7.000000E-02 
   36 3  4.234053E-04   36.0000      7.200000E-02 
   37 3  3.891793E-04   37.0000      7.400000E-02 
   38 3  3.619432E-04   38.0000      7.600000E-02 
   39 3  3.392696E-04   39.0000      7.800000E-02 
   40 3  3.269232E-04   40.0000      8.000000E-02 
   41 3  3.202180E-04   41.0000      8.200000E-02 
   42 3  3.264975E-04   42.0000      8.400000E-02 
   43 3  3.375788E-04   43.0000      8.600000E-02 
   44 3  3.530663E-04   44.0000      8.800000E-02 
   45 3  3.674055E-04   45.0000      9.000000E-02 
   46 3  3.841751E-04   46.0000      9.200000E-02 
   47 3  3.982219E-04   47.0000      9.400000E-02 
   48 3  4.068807E-04   48.0000      9.600000E-02 
   49 3  4.105659E-04   49.0000      9.800000E-02 
   50 3  4.071834E-04   50.0000      0.100000     
   51 3  4.008571E-04   51.0000      0.102000     
   52 3  3.878037E-04   52.0000      0.104000     
   53 3  3.700544E-04   53.0000      0.106000     
   54 3  3.505506E-04   54.0000      0.108000     
   55 3  3.324322E-04   55.0000      0.110000     
   56 3  3.182989E-04   56.0000      0.112000     
   57 3  3.094060E-04   57.0000      0.114000     
   58 3  3.068336E-04   58.0000      0.116000     
   59 3  3.108239E-04   59.0000      0.118000     
   60 3  3.221777E-04   60.0000      0.120000     
   61 3  3.321963E-04   61.0000      0.122000     
   62 3  3.457018E-04   62.0000      0.124000     
   63 3  3.510736E-04   63.0000      0.126000     
   64 3  3.539252E-04   64.0000      0.128000     
   65 3  3.487756E-04   65.0000      0.130000     
   66 3  3.419373E-04   66.0000      0.132000     
   67 3  3.300043E-04   67.0000      0.134000     
   68 3  3.158224E-04   68.0000      0.136000     
   69 3  3.038198E-04   69.0000      0.138000     
   70 3  2.970440E-04   70.0000      0.140000     
   71 3  2.966229E-04   71.0000      0.142000     
   72 3  3.009132E-04   72.0000      0.144000     
   73 3  3.090232E-04   73.0000      0.146000     
   74 3  3.158526E-04   74.0000      0.148000     
   75 3  3.201661E-04   75.0000      0.150000     
   76 3  3.228279E-04   76.0000      0.152000     
   77 3  3.197181E-04   77.0000      0.154000     
   78 3  3.119193E-04   78.0000      0.156000     
   79 3  3.025139E-04   79.0000      0.158000     
   80 3  2.937543E-04   80.0000      0.160000     
   81 3  2.885498E-04   81.0000      0.162000     
   82 3  2.870765E-04   82.0000      0.164000     
   83 3  2.920079E-04   83.0000      0.166000     
   84 3  2.969823E-04   84.0000      0.168000     
   85 3  3.019341E-04   85.0000      0.170000     
   86 3  3.039433E-04   86.0000      0.172000     
   87 3  3.007884E-04   87.0000      0.174000     
   88 3  2.937103E-04   88.0000      0.176000     
   89 3  2.867956E-04   89.0000      0.178000     
   90 3  2.815276E-04   90.0000      0.180000     
   91 3  2.797342E-04   91.0000      0.182000     
   92 3  2.801307E-04   92.0000      0.184000     
   93 3  2.851043E-04   93.0000      0.186000     
   94 3  2.894388E-04   94.0000      0.188000     
   95 3  2.889245E-04   95.0000      0.190000     
   96 3  2.879893E-04   96.0000      0.192000     
   97 3  2.817426E-04   97.0000      0.194000     
   98 3  2.759444E-04   98.0000      0.196000     
   99 3  2.720230E-04   99.0000      0.198000     
  100 3  2.711913E-04   100.000      0.200000     
  101 3  2.731700E-04   101.000      0.202000     
  102 3  2.768062E-04   102.000      0.204000     
  103 3  2.787616E-04   103.000      0.206000     
  104 3  2.761355E-04   104.000      0.208000     
  105 3  2.732048E-04   105.000      0.210000     
  106 3  2.690571E-04   106.000      0.212000     
  107 3  2.652734E-04   107.000      0.214000     
  108 3  2.649301E-04   108.000      0.216000     
  109 3  2.658581E-04   109.000      0.218000     
  110 3  2.662027E-04   110.000      0.220000     
  111 3  2.678282E-04   111.000      0.222000     
  112 3  2.650553E-04   112.000      0.224000     
  113 3  2.619572E-04   113.000      0.226000     
  114 3  2.592973E-04   114.000      0.228000     
  115 3  2.579520E-04   115.000      0.230000     
  116 3  2.576698E-04   116.000      0.232000     
  117 3  2.584123E-04   117.000      0.234000     
  118 3  2.581732E-04   118.000      0.236000     
  119 3  2.579000E-04   119.000      0.238000     
  120 3  2.557616E-04   120.000      0.240000     
  121 3  2.531612E-04   121.000      0.242000     
  122 3  2.523364E-04   122.000      0.244000     
  123 3  2.510903E-04   123.000      0.246000     
  124 3  2.512217E-04   124.000      0.248000     
  125 3  2.520510E-04   125.000      0.250000     
  126 3  2.504354E-04   126.000      0.252000     
  127 3  2.486287E-04   127.000      0.254000     
  128 3  2.475030E-04   128.000      0.256000     
  129 3  2.457858E-04   129.000      0.258000     
  130 3  2.453176E-04   130.000      0.260000     
  131 3  2.456618E-04   131.000      0.262000     
  132 3  2.446751E-04   132.000      0.264000     
  133 3  2.430855E-04   133.000      0.266000     
  134 3  2.416763E-04   134.000      0.268000     
  135 3  2.403255E-04   135.000      0.270000     
  136 3  2.394930E-04   136.000      0.272000     
  137 3  2.392524E-04   137.000      0.274000     
  138 3  2.383095E-04   138.000      0.276000     
  139 3  2.377315E-04   139.000      0.278000     
  140 3  2.362221E-04   140.000      0.280000     
  141 3  2.348831E-04   141.000      0.282000     
  142 3  2.342065E-04   142.000      0.284000     
  143 3  2.344814E-04   143.000      0.286000     
  144 3  2.336458E-04   144.000      0.288000     
  145 3  2.326305E-04   145.000      0.290000     
  146 3  2.310010E-04   146.000      0.292000     
  147 3  2.296430E-04   147.000      0.294000     
  148 3  2.292156E-04   148.000      0.296000     
  149 3  2.287427E-04   149.000      0.298000     
  150 3  2.280329E-04   150.000      0.300000     
  151 3  2.273372E-04   151.000      0.302000     
  152 3  2.263380E-04   152.000      0.304000     
  153 3  2.249517E-04   153.000      0.306000     
  154 3  2.244998E-04   154.000      0.308000     
  155 3  2.243156E-04   155.000      0.310000     
  156 3  2.230973E-04   156.000      0.312000     
  157 3  2.223315E-04   157.000      0.314000     
  158 3  2.211659E-04   158.000      0.316000     
  159 3  2.206421E-04   159.000      0.318000     
  160 3  2.205571E-04   160.000      0.320000     
  161 3  2.192772E-04   161.000      0.322000     
  162 3  2.180042E-04   162.000      0.324000     
  163 3  2.181302E-04   163.000      0.326000     
  164 3  2.178800E-04   164.000      0.328000     
  165 3  2.164868E-04   165.000      0.330000     
  166 3  2.158784E-04   166.000      0.332000     
  167 3  2.155064E-04   167.000      0.334000     
  168 3  2.143668E-04   168.000      0.336000     
  169 3  2.131252E-04   169.000      0.338000     
  170 3  2.119236E-04   170.000      0.340000     
  171 3  2.118648E-04   171.000      0.342000     
  172 3  2.113320E-04   172.000      0.344000     
  173 3  2.101409E-04   173.000      0.346000     
  174 3  2.099254E-04   174.000      0.348000     
  175 3  2.089301E-04   175.000      0.350000     
  176 3  2.076779E-04   176.000      0.352000     
  177 3  2.078332E-04   177.000      0.354000     
  178 3  2.077630E-04   178.000      0.356000     
  179 3  2.066247E-04   179.000      0.358000     
  180 3  2.058135E-04   180.000      0.360000     
  181 3  2.047881E-04   181.000      0.362000     
  182 3  2.044759E-04   182.000      0.364000     
  183 3  2.040806E-04   183.000      0.366000     
  184 3  2.036764E-04   184.000      0.368000     
  185 3  2.027793E-04   185.000      0.370000     
  186 3  2.020551E-04   186.000      0.372000     
  187 3  2.017588E-04   187.000      0.374000     
  188 3  2.008959E-04   188.000      0.376000     
  189 3  2.002525E-04   189.000      0.378000     
  190 3  1.997792E-04   190.000      0.380000     
  191 3  1.990058E-04   191.000      0.382000     
  192 3  1.989661E-04   192.000      0.384000     
  193 3  1.981086E-04   193.000      0.386000     
  194 3  1.971107E-04   194.000      0.388000     
  195 3  1.963404E-04   195.000      0.390000     
  196 3  1.964176E-04   196.000      0.392000     
  197 3  1.959561E-04   197.000      0.394000     
  198 3  1.952366E-04   198.000      0.396000     
  199 3  1.943303E-04   199.000      0.398000     
  200 3  1.943359E-04   200.000      0.400000     
  201 3  1.932529E-04   201.000      0.402000     
  202 3  1.923927E-04   202.000      0.404000     
  203 3  1.920973E-04   203.000      0.406000     
  204 3  1.914333E-04   204.000      0.408000     
  205 3  1.917388E-04   205.000      0.410000     
  206 3  1.911216E-04   206.000      0.412000     
  207 3  1.902342E-04   207.000      0.414000     
  208 3  1.901667E-04   208.000      0.416000     
  209 3  1.892466E-04   209.000      0.418000     
  210 3  1.886163E-04   210.000      0.420000     
  211 3  1.883603E-04   211.000      0.422000     
  212 3  1.882603E-04   212.000      0.424000     
  213 3  1.872180E-04   213.000      0.426000     
  214 3  1.868220E-04   214.000      0.428000     
  215 3  1.862250E-04   215.000      0.430000     
  216 3  1.860433E-04   216.000      0.432000     
  217 3  1.854558E-04   217.000      0.434000     
  218 3  1.848210E-04   218.000      0.436000     
  219 3  1.843035E-04   219.000      0.438000     
  220 3  1.845499E-04   220.000      0.440000     
  221 3  1.844086E-04   221.000      0.442000     
  222 3  1.836676E-04   222.000      0.444000     
  223 3  1.825287E-04   223.000      0.446000     
  224 3  1.821082E-04   224.000      0.448000     
  225 3  1.819689E-04   225.000      0.450000     
  226 3  1.817363E-04   226.000      0.452000     
  227 3  1.814615E-04   227.000      0.454000     
  228 3  1.810065E-04   228.000      0.456000     
  229 3  1.809570E-04   229.000      0.458000     
  230 3  1.800532E-04   230.000      0.460000     
  231 3  1.805185E-04   231.000      0.462000     
  232 3  1.800021E-04   232.000      0.464000     
  233 3  1.790705E-04   233.000      0.466000     
  234 3  1.788398E-04   234.000      0.468000     
  235 3  1.785970E-04   235.000      0.470000     
  236 3  1.786885E-04   236.000      0.472000     
  237 3  1.784344E-04   237.000      0.474000     
  238 3  1.776131E-04   238.000      0.476000     
  239 3  1.771916E-04   239.000      0.478000     
  240 3  1.765535E-04   240.000      0.480000     
  241 3  1.767596E-04   241.000      0.482000     
  242 3  1.763398E-04   242.000      0.484000     
  243 3  1.757011E-04   243.000      0.486000     
  244 3  1.757211E-04   244.000      0.488000     
  245 3  1.758287E-04   245.000      0.490000     
  246 3  1.758276E-04   246.000      0.492000     
  247 3  1.752137E-04   247.000      0.494000     
  248 3  1.750935E-04   248.000      0.496000     
  249 3  1.746553E-04   249.000      0.498000     
  250 3  1.744612E-04   250.000      0.500000     
