
 ;spi/dat   29-MAY-2013 AT 14:47:06   rosd_doc.dat
 ;         CONTENTS:  ROTATIONAL AVERAGE
 ;         AVERAGE       RADIUS      SPATIAL-FREQ

    1 3 -0.691471       1.00000      1.250000E-02 
    2 3 -0.653673       2.00000      2.500000E-02 
    3 3 -0.567011       3.00000      3.750000E-02 
    4 3 -0.428701       4.00000      5.000000E-02 
    5 3 -0.252498       5.00000      6.250000E-02 
    6 3 -7.508330E-02   6.00000      7.500000E-02 
    7 3  8.536498E-02   7.00000      8.750000E-02 
    8 3  0.179058       8.00000      0.100000     
    9 3  0.221749       9.00000      0.112500     
   10 3  0.222148       10.0000      0.125000     
   11 3  0.185400       11.0000      0.137500     
   12 3  0.151457       12.0000      0.150000     
   13 3  0.105706       13.0000      0.162500     
   14 3  6.404372E-02   14.0000      0.175000     
   15 3  2.273946E-02   15.0000      0.187500     
   16 3  7.668911E-04   16.0000      0.200000     
   17 3 -1.637282E-02   17.0000      0.212500     
   18 3  1.668074E-02   18.0000      0.225000     
   19 3  6.177448E-02   19.0000      0.237500     
   20 3  0.114988       20.0000      0.250000     
   21 3  0.150113       21.0000      0.262500     
   22 3  0.155491       22.0000      0.275000     
   23 3  0.114498       23.0000      0.287500     
   24 3  7.900561E-02   24.0000      0.300000     
   25 3  4.445384E-02   25.0000      0.312500     
   26 3  4.406296E-02   26.0000      0.325000     
   27 3  6.456826E-02   27.0000      0.337500     
   28 3  8.334622E-02   28.0000      0.350000     
   29 3  9.126109E-02   29.0000      0.362500     
   30 3  6.736028E-02   30.0000      0.375000     
   31 3  3.180587E-02   31.0000      0.387500     
   32 3 -9.069152E-03   32.0000      0.400000     
   33 3 -4.023081E-02   33.0000      0.412500     
   34 3 -5.862391E-02   34.0000      0.425000     
   35 3 -6.827170E-02   35.0000      0.437500     
   36 3 -7.303230E-02   36.0000      0.450000     
   37 3 -7.543681E-02   37.0000      0.462500     
   38 3 -7.204986E-02   38.0000      0.475000     
   39 3 -5.977422E-02   39.0000      0.487500     
   40 3 -4.742740E-02   40.0000      0.500000     
