 ;
 ;pam/dat   21-JAN-2010 AT 03:07   sav_align_data_doc.dat
 ;                  PSI,        THE,         PHI,         REF#,       EXP#,     CUM. {INPLANE,    SX,         SY},        NPROJ,        DIFF,       CCROT,      INPLANE,        SX,         SY,         MIR-CC
         1   15   0.0000       266.00       293.18       4788.0       1.0000       292.96       4.7338      0.77667       25.000       0.0000       2188.1       359.66       0.0000       0.0000     -4.52631E-02 
         2   15   0.0000       230.00       42.341       1754.0       2.0000       209.93      -3.0879      -1.4520       27.000       0.0000       1787.0      0.48476     -0.24319       0.0000     -3.69277E-02 
         3   15   0.0000       50.000       10.585       1742.0       3.0000       280.10       1.8009      -6.8632       24.000       0.0000       1911.4     -0.15820     -8.15463E-02   0.0000      3.89556E-02 
         4   15   0.0000       82.000       138.27       4357.0       4.0000       178.30      0.60114       6.6592       24.000       0.0000       1463.6     -0.18299     -9.89013E-02  0.12056      2.95780E-02 
         5   15   0.0000       88.000       281.05       4960.0       5.0000       287.83      -2.0049     -0.67889       24.000       0.0000       1794.2      0.14750       0.0000       0.0000      3.57509E-02 
         6   15   0.0000       246.00       264.96       3048.0       6.0000       352.19      -7.1062      -1.4461       24.000       0.0000       2014.8     -0.16060     -0.14841       0.0000     -4.11458E-02 
         7   15   0.0000       76.000       116.50       3821.0       7.0000       35.551      -5.0477      -8.3307       27.000       0.0000       2437.0       0.0000     -0.12139      0.10070      4.80773E-02 
         8   15   0.0000       14.000       8.5690       126.00       8.0000       7.1643     -0.23534      -1.3209       25.000       0.0000       1994.6      0.17750       0.0000      0.12588      3.89868E-02 
         9   15   0.0000       80.000       122.69       4173.0       9.0000       171.95       2.2012       4.6907       26.000       0.0000       2084.3     -0.14644     -0.11795       0.0000      4.24934E-02 
        10   15   0.0000       234.00       242.43       2111.0       10.000       343.33      -8.5036      -9.2062       25.000       0.0000       1854.6     -5.32714E-02 -7.68005E-02   0.0000     -3.82381E-02 
        11   15   0.0000       86.000       347.77       4815.0       11.000       16.442       2.4283       1.4174       25.000       0.0000       2262.4      0.19228       0.0000       0.0000      4.50447E-02 
        12   15   0.0000       220.00       268.35       1206.0       12.000       287.01      -6.9920      -4.4552       25.000       2.0711       1835.6      0.57652     -0.24414     -0.13778     -3.81253E-02 
        13   15   0.0000       236.00       243.18       2258.0       13.000       205.57      -5.6197      -1.2117       25.000       0.0000       2021.1      5.94554E-02 -0.15096       0.0000     -4.21842E-02 
        15   15   0.0000       220.00       255.72       1202.0       15.000       263.04       7.3467       1.3100       26.000       0.0000       1934.3       0.0000     -6.76364E-02   0.0000     -3.89767E-02 
        16   15   0.0000       252.00       228.64       3532.0       16.000       224.53      -3.0096       1.2661       27.000       0.0000       1846.0      0.16308     -5.25053E-02  8.52952E-02 -3.91077E-02 
        17   15   0.0000       242.00       261.33       2725.0       17.000       330.17      -10.283       3.2415       24.000       2.0315       2216.6       359.40     -0.21747       0.0000     -4.56039E-02 
        18   15   0.0000       58.000       121.56       2357.0       18.000       236.77      -2.5017      -9.5652       24.000       0.0000       2018.6     -0.22342     -0.16616       0.0000      4.06041E-02 
        19   15   0.0000       16.000       344.90       213.00       19.000       75.960      0.91277      0.60450       24.000       0.0000       1504.8      0.16479      7.12022E-02  9.99777E-02  3.10922E-02 
        20   15   0.0000       218.00       277.35       1096.0       20.000       158.26      -9.5196      -2.3718       24.000       0.0000       1922.6       0.0000     -5.01432E-02   0.0000     -4.02009E-02 
 ; 
 ; %BIG-ANGDIF, AVG-ANGDIF, AVG-CCROT, %WORSE, AVG-WORSE, AVG-BETTER
 ;  2 6  0.13986      0.39930       2094.9       43.776       2062.6       2120.1    
