 ;tst/tst   01-APR-2013 AT 14:07   ang_doc.dat
 ;            PSI,       THETA,         PHI
    1 3   0.00000       30.0000       150.000     
    2 3   0.00000       18.4522       174.133     
    3 3   0.00000       21.1377       121.310     
    4 3   0.00000       38.3751       127.605     
    5 3   0.00000       44.9437       152.173     
    6 3   0.00000       35.9593       175.531     
    7 3   0.00000       14.8709       226.936     
    8 3   0.00000       2.99398       62.5943     
    9 3   0.00000       20.6350       78.3797     
   10 3   0.00000       36.6683       95.0273     
