
 ;tst/tst   12-FEB-2014 AT 08  sav_angvoea_83.tst
 ;           PSI,         THETA,          PHI
    1 3   0.00000       0.00000       0.00000     
    2 3   0.00000       15.0000       0.00000     
    3 3   0.00000       15.0000       71.9800     
    4 3   0.00000       15.0000       143.960     
    5 3   0.00000       15.0000       215.940     
    6 3   0.00000       15.0000       287.920     
    7 3   0.00000       30.0000       0.00000     
    8 3   0.00000       30.0000       35.9900     
    9 3   0.00000       30.0000       71.9800     
   10 3   0.00000       30.0000       107.970     
   11 3   0.00000       30.0000       143.960     
   12 3   0.00000       30.0000       179.950     
   13 3   0.00000       30.0000       215.940     
   14 3   0.00000       30.0000       251.930     
   15 3   0.00000       30.0000       287.920     
   16 3   0.00000       30.0000       323.910     
   17 3   0.00000       45.0000       0.00000     
   18 3   0.00000       45.0000       23.9933     
   19 3   0.00000       45.0000       47.9867     
   20 3   0.00000       45.0000       71.9800     
   21 3   0.00000       45.0000       95.9733     
   22 3   0.00000       45.0000       119.967     
   23 3   0.00000       45.0000       143.960     
   24 3   0.00000       45.0000       167.953     
   25 3   0.00000       45.0000       191.947     
   26 3   0.00000       45.0000       215.940     
   27 3   0.00000       45.0000       239.933     
   28 3   0.00000       45.0000       263.927     
   29 3   0.00000       45.0000       287.920     
   30 3   0.00000       45.0000       311.913     
   31 3   0.00000       45.0000       335.907     
   32 3   0.00000       60.0000       0.00000     
   33 3   0.00000       60.0000       18.9421     
   34 3   0.00000       60.0000       37.8842     
   35 3   0.00000       60.0000       56.8263     
   36 3   0.00000       60.0000       75.7684     
   37 3   0.00000       60.0000       94.7105     
   38 3   0.00000       60.0000       113.653     
   39 3   0.00000       60.0000       132.595     
   40 3   0.00000       60.0000       151.537     
   41 3   0.00000       60.0000       170.479     
   42 3   0.00000       60.0000       189.421     
   43 3   0.00000       60.0000       208.363     
   44 3   0.00000       60.0000       227.305     
   45 3   0.00000       60.0000       246.247     
   46 3   0.00000       60.0000       265.189     
   47 3   0.00000       60.0000       284.132     
   48 3   0.00000       60.0000       303.074     
   49 3   0.00000       60.0000       322.016     
   50 3   0.00000       60.0000       340.958     
   51 3   0.00000       75.0000       0.00000     
   52 3   0.00000       75.0000       16.3591     
   53 3   0.00000       75.0000       32.7182     
   54 3   0.00000       75.0000       49.0773     
   55 3   0.00000       75.0000       65.4364     
   56 3   0.00000       75.0000       81.7955     
   57 3   0.00000       75.0000       98.1545     
   58 3   0.00000       75.0000       114.514     
   59 3   0.00000       75.0000       130.873     
   60 3   0.00000       75.0000       147.232     
   61 3   0.00000       75.0000       163.591     
   62 3   0.00000       75.0000       179.950     
   63 3   0.00000       75.0000       196.309     
   64 3   0.00000       75.0000       212.668     
   65 3   0.00000       75.0000       229.027     
   66 3   0.00000       75.0000       245.386     
   67 3   0.00000       75.0000       261.745     
   68 3   0.00000       75.0000       278.105     
   69 3   0.00000       75.0000       294.464     
   70 3   0.00000       75.0000       310.823     
   71 3   0.00000       75.0000       327.182     
   72 3   0.00000       75.0000       343.541     
   73 3   0.00000       90.0000       0.00000     
   74 3   0.00000       90.0000       16.3591     
   75 3   0.00000       90.0000       32.7182     
   76 3   0.00000       90.0000       49.0773     
   77 3   0.00000       90.0000       65.4364     
   78 3   0.00000       90.0000       81.7955     
   79 3   0.00000       90.0000       98.1545     
   80 3   0.00000       90.0000       114.514     
   81 3   0.00000       90.0000       130.873     
   82 3   0.00000       90.0000       147.232     
   83 3   0.00000       90.0000       163.591     
   84 3   0.00000       90.0000       179.950     
