 ; KEY    PHI,     THETA,       PSI            
 ;
   1 3   0.0000    0.0000      0.000
   2 3   0.0000    2.0000      0.000
   3 3   0.0000    2.0000     71.980
   4 3   0.0000    2.0000    143.960
   5 3   0.0000    2.0000    215.940
   6 3   0.0000    2.0000    287.920
   7 3   0.0000    4.0000      0.000
   8 3   0.0000    4.0000     32.718
   9 3   0.0000    4.0000     65.436
  10 3   0.0000    4.0000     98.155
  11 3   0.0000    4.0000    130.870
  12 3   0.0000    4.0000    163.590
  13 3   0.0000    4.0000    196.310
  14 3   0.0000    4.0000    229.030
  15 3   0.0000    4.0000    261.750
  16 3   0.0000    4.0000    294.460
  17 3   0.0000    4.0000    327.180
  18 3   0.0000    6.0000      0.000
  19 3   0.0000    6.0000     21.171
  20 3   0.0000    6.0000     42.341
