
 ;spi/dat  31-JAN-2014 AT 11:23  sav_bpw2_ang_doc.dat

 ;           PSI,         THETA,          PHI
    1 3   0.00000      -75.0000       0.00000     
    2 3   0.00000      -60.0000       0.00000     
    3 3   0.00000      -45.0000       0.00000     
    4 3   0.00000      -30.0000       0.00000     
    5 3   0.00000      -15.0000       0.00000     
    6 3   0.00000       0.00000       0.00000     
    7 3   0.00000       15.0000       0.00000     
    8 3   0.00000       30.0000       0.00000     
    9 3   0.00000       45.0000       0.00000     
   10 3   0.00000       60.0000       0.00000     
   11 3   0.00000       75.0000       0.00000     
