 ;spi/dat   15-JAN-2014 AT 10:09:01   rf3_doc.dat
 ;        NORM-FREQ      DPH           FSC          FSCCRIT        VOXELS
    3 5  1.250000E-02  0.123592      0.996531       1.00000       4.00000     
    4 5  1.875000E-02  0.650418      0.999428       1.00000       4.00000     
    5 5  2.500000E-02   12.9587      0.971638      0.866025       12.0000     
    7 5  3.750000E-02   56.3476      0.600034      0.750000       16.0000     
    8 5  4.375000E-02   10.4886      0.914611       1.00000       8.00000     
    9 5  5.000000E-02   72.6673      0.312643      0.750000       16.0000     
   10 5  5.625000E-02   72.5653      0.192770       1.00000       8.00000     
   11 5  6.250000E-02   95.5323      0.400356      0.670820       20.0000     
   12 5  6.875000E-02   85.5541      0.205512      0.866025       12.0000     
   13 5  7.500000E-02   128.949     -0.468731      0.670820       20.0000     
   14 5  8.125000E-02   44.8122      0.692596      0.612372       24.0000     
   15 5  8.750000E-02   77.5280      0.341087      0.612372       24.0000     
   16 5  9.375000E-02   76.2786      0.276238      0.750000       16.0000     
   17 5  0.100000       58.4631      0.590864      0.500000       36.0000     
   18 5  0.106250       109.680      7.207586E-03  0.670820       20.0000     
   19 5  0.112500       109.635     -0.220685      0.500000       36.0000     
   20 5  0.118750       127.841     -0.491904      0.750000       16.0000     
   21 5  0.125000       104.545     -0.126002      0.474342       40.0000     
   22 5  0.131250       91.5914      0.272170      0.612372       24.0000     
   23 5  0.137500       103.776     -7.475280E-02  0.452267       44.0000     
   24 5  0.143750       141.915     -0.325209      0.500000       36.0000     
   25 5  0.150000       115.562     -0.229585      0.452267       44.0000     
   26 5  0.156250       124.511     -0.111864      0.566947       28.0000     
   27 5  0.162500       105.145      2.599907E-02  0.452267       44.0000     
   28 5  0.168750       128.039     -0.275815      0.474342       40.0000     
   29 5  0.175000       127.676     -0.236313      0.433013       48.0000     
   30 5  0.181250       131.911     -0.410658      0.530330       32.0000     
   31 5  0.187500       132.048     -0.297557      0.387298       60.0000     
   32 5  0.193750       100.380      4.845333E-02  0.452267       44.0000     
   33 5  0.200000       133.023     -0.343750      0.416025       52.0000     
   34 5  0.206250       98.5164      0.163404      0.433013       48.0000     
   35 5  0.212500       125.555      1.646268E-02  0.375000       64.0000     
   36 5  0.218750       145.549     -0.684730      0.433013       48.0000     
   37 5  0.225000       111.545      2.062268E-02  0.387298       60.0000     
   38 5  0.231250       138.324     -0.353441      0.416025       52.0000     
   39 5  0.237500       119.751     -5.606612E-02  0.344124       76.0000     
   40 5  0.243750       113.847      4.886770E-02  0.433013       48.0000     
   41 5  0.250000       99.7269      0.203885      0.335410       80.0000     
   42 5  0.256250       112.106     -5.015180E-02  0.433013       48.0000     
   43 5  0.262500       96.5452      0.244917      0.353553       72.0000     
   44 5  0.268750       133.404     -0.325018      0.400892       56.0000     
   45 5  0.275000       107.020      0.179103      0.327327       84.0000     
   46 5  0.281250       72.4980      0.575998      0.416025       52.0000     
   47 5  0.287500       108.128      8.222494E-02  0.344124       76.0000     
   48 5  0.293750       126.659     -0.233198      0.353553       72.0000     
   49 5  0.300000       120.318     -0.140176      0.306186       96.0000     
   50 5  0.306250       104.364      0.168151      0.375000       64.0000     
   51 5  0.312500       125.000     -0.126569      0.327327       84.0000     
   52 5  0.318750       99.4578      0.100545      0.344124       76.0000     
   53 5  0.325000       116.623     -3.684096E-02  0.312772       92.0000     
   54 5  0.331250       109.406      0.154335      0.375000       64.0000     
   55 5  0.337500       117.207     -0.137695      0.306186       96.0000     
   56 5  0.343750       124.938     -0.256810      0.335410       80.0000     
   57 5  0.350000       86.1720      0.365044      0.312772       92.0000     
   58 5  0.356250       80.7177      0.279059      0.327327       84.0000     
   59 5  0.362500       102.405      2.821412E-02  0.288675       108.000     
   60 5  0.368750       106.305      0.104349      0.327327       84.0000     
   61 5  0.375000       103.024      0.249034      0.312772       92.0000     
   62 5  0.381250       109.402      0.131961      0.319801       88.0000     
   63 5  0.387500       114.710      2.440684E-02  0.294174       104.000     
   64 5  0.393750       95.6911      0.182224      0.335410       80.0000     
   65 5  0.400000       101.116      0.163979      0.261116       132.000     
   66 5  0.406250       92.2364      0.404347      0.327327       84.0000     
   67 5  0.412500       101.695      0.178561      0.269408       124.000     
   68 5  0.418750       94.5202      0.280776      0.319801       88.0000     
   69 5  0.425000       105.716      7.876961E-02  0.265165       128.000     
   70 5  0.431250       91.2760      0.187284      0.319801       88.0000     
   71 5  0.437500       97.1874      0.223399      0.278543       116.000     
   72 5  0.443750       95.1561      0.227588      0.300000       100.000     
   73 5  0.450000       73.9050      0.492222      0.253546       140.000     
   74 5  0.456250       62.3008      0.577307      0.319801       88.0000     
   75 5  0.462500       69.3373      0.616178      0.257248       136.000     
   76 5  0.468750       104.114      0.179268      0.283473       112.000     
   77 5  0.475000       89.6560      0.246187      0.283473       112.000     
   78 5  0.481250       90.6597      0.342405      0.283473       112.000     
   79 5  0.487500       111.541      0.141296      0.253546       140.000     
   80 5  0.493750       64.3298      0.712309      0.288675       108.000     
   81 5  0.500000       87.4872      0.558710      0.269408       124.000     
