 ; SPIDER 'WA' Input Doc. File
 ; Converted From : dis001warpdata.dat  Date: 2011-04-11-14:28 
 ;-1  3  5.0   5.0   1.0 
 ; 
 ;              Location              Deviation
 ;           x       y    z         x      y    z
    1 6    78.0    78.0  1.0       0.0    0.0  0.0 
    2 6   295.0    78.0  1.0       0.0    0.0  0.0 
    3 6   512.0    78.0  1.0       0.0    0.0  0.0 
    4 6   729.0    78.0  1.0       0.0    0.0  0.0 
    5 6   946.0    78.0  1.0       0.0    0.0  0.0 
    6 6    78.0   300.0  1.0       0.0    0.0  0.0 
    7 6   295.0   300.0  1.0       0.0    5.0  0.0 
    8 6   512.0   300.0  1.0       0.0   -5.0  0.0 
    9 6   729.0   300.0  1.0       0.0    5.0  0.0 
   10 6   946.0   300.0  1.0       0.0    0.0  0.0 
   11 6    78.0   512.0  1.0       0.0    0.0  0.0 
   12 6   295.0   512.0  1.0       0.0    0.0  0.0 
   13 6   512.0   512.0  1.0      -25.0   0.0  0.0 
   14 6   729.0   512.0  1.0       0.0    0.0  0.0 
   15 6   946.0   512.0  1.0       0.0    0.0  0.0 
   16 6    78.0   729.0  1.0       0.0    0.0  0.0 
   17 6   295.0   729.0  1.0       0.0    0.0  0.0 
   18 6   512.0   729.0  1.0       0.0    0.0  0.0 
   19 6   729.0   729.0  1.0       0.0    0.0  0.0 
   20 6   946.0   729.0  1.0       0.0    0.0  0.0
   21 6    78.0   946.0  1.0       0.0    0.0  0.0 
   22 6   295.0   946.0  1.0       0.0    0.0  0.0 
   23 6   512.0   946.0  1.0       0.0    0.0  0.0 
   24 6   729.0   946.0  1.0       0.0    0.0  0.0 
   25 6   946.0   946.0  1.0       0.0    0.0  0.0 
