 ;spi/dat   23-JAN-2014 AT 10:09:30   snrf_doc.dat
    1 2   98.0001       1.00000     
    2 2   90.6059      0.998185     
    3 2   77.9621      0.994305     
    4 2   65.2521      0.988933     
    5 2   54.2798      0.982345     
    6 2   45.3562      0.974735     
    7 2   38.2497      0.966262     
    8 2   32.6088      0.957058     
    9 2   28.1081      0.947242     
   10 2   24.4853      0.936916     
   11 2   21.5387      0.926175     
   12 2   19.1165      0.915099     
   13 2   17.1045      0.903764     
   14 2   15.4166      0.892235     
   15 2   13.9875      0.880571     
   16 2   12.7671      0.868823     
   17 2   11.7166      0.857035     
   18 2   10.8057      0.845249     
   19 2   10.0105      0.833499     
   20 2   9.31196      0.821814     
   21 2   8.69480      0.810220     
   22 2   8.14660      0.798738     
   23 2   7.65726      0.787388     
   24 2   7.21843      0.776185     
   25 2   6.82321      0.765142     
   26 2   6.46585      0.754269     
   27 2   6.14151      0.743574     
   28 2   5.84611      0.733064     
   29 2   5.57618      0.722744     
   30 2   5.32878      0.712617     
   31 2   5.10136      0.702686     
   32 2   4.89174      0.692952     
   33 2   4.69804      0.683415     
   34 2   4.51860      0.674075     
   35 2   4.35200      0.664930     
   36 2   4.19698      0.655979     
   37 2   4.05243      0.647221     
   38 2   3.91739      0.638651     
   39 2   3.79100      0.630269     
   40 2   3.67249      0.622070     
   41 2   3.56119      0.614051     
   42 2   3.45648      0.606208     
   43 2   3.35782      0.598539     
   44 2   3.26474      0.591039     
   45 2   3.17679      0.583705     
   46 2   3.09357      0.576532     
   47 2   3.01474      0.569518     
   48 2   2.93996      0.562657     
   49 2   2.86895      0.555947     
   50 2   2.80143      0.549384     
   51 2   2.73718      0.542963     
   52 2   2.67596      0.536682     
   53 2   2.61757      0.530536     
   54 2   2.56183      0.524522     
   55 2   2.50857      0.518637     
   56 2   2.45764      0.512877     
   57 2   2.40888      0.507238     
   58 2   2.36217      0.501718     
   59 2   2.31738      0.496314     
   60 2   2.27441      0.491021     
   61 2   2.23314      0.485838     
   62 2   2.19348      0.480761     
   63 2   2.15535      0.475787     
   64 2   2.11865      0.470914     
   65 2   2.08331      0.466138     
   66 2   2.04926      0.461458     
   67 2   2.01643      0.456870     
   68 2   1.98476      0.452373     
   69 2   1.95419      0.447963     
   70 2   1.92466      0.443639     
   71 2   1.89613      0.439397     
   72 2   1.86854      0.435237     
   73 2   1.84185      0.431156     
   74 2   1.81601      0.427151     
   75 2   1.79100      0.423221     
   76 2   1.76676      0.419364     
   77 2   1.74328      0.415578     
   78 2   1.72050      0.411861     
   79 2   1.69840      0.408211     
   80 2   1.67695      0.404627     
   81 2   1.65613      0.401107     
   82 2   1.63591      0.397649     
   83 2   1.61625      0.394251     
   84 2   1.59715      0.390914     
   85 2   1.57857      0.387633     
   86 2   1.56050      0.384410     
   87 2   1.54291      0.381241     
   88 2   1.52579      0.378126     
   89 2   1.50911      0.375063     
   90 2   1.49287      0.372051     
   91 2   1.47704      0.369089     
   92 2   1.46161      0.366175     
   93 2   1.44657      0.363310     
   94 2   1.43189      0.360490     
   95 2   1.41758      0.357716     
   96 2   1.40360      0.354986     
   97 2   1.38996      0.352299     
   98 2   1.37664      0.349655     
   99 2   1.36363      0.347051     
  100 2   1.35092      0.344488     
  101 2   1.33850      0.341965     
  102 2   1.32636      0.339480     
  103 2   1.31449      0.337032     
  104 2   1.30288      0.334622     
  105 2   1.29152      0.332247     
  106 2   1.28040      0.329908     
  107 2   1.26953      0.327603     
  108 2   1.25888      0.325332     
  109 2   1.24846      0.323094     
  110 2   1.23825      0.320888     
  111 2   1.22824      0.318714     
  112 2   1.21845      0.316571     
  113 2   1.20885      0.314458     
  114 2   1.19943      0.312374     
  115 2   1.19021      0.310320     
  116 2   1.18116      0.308294     
  117 2   1.17229      0.306296     
  118 2   1.16359      0.304326     
  119 2   1.15505      0.302382     
  120 2   1.14667      0.300464     
  121 2   1.13845      0.298572     
  122 2   1.13038      0.296705     
  123 2   1.12246      0.294863     
  124 2   1.11468      0.293045     
  125 2   1.10704      0.291251     
  126 2   1.09954      0.289480     
  127 2   1.09216      0.287732     
  128 2   1.08492      0.286006     
    1 2   98.0001       1.00000     
    2 2   90.6059      0.998185     
    3 2   77.9621      0.994305     
    4 2   65.2521      0.988933     
    5 2   54.2798      0.982345     
    6 2   45.3562      0.974735     
    7 2   38.2497      0.966262     
    8 2   32.6088      0.957058     
    9 2   28.1081      0.947242     
   10 2   24.4853      0.936916     
   11 2   21.5387      0.926175     
   12 2   19.1165      0.915099     
   13 2   17.1045      0.903764     
   14 2   15.4166      0.892235     
   15 2   13.9875      0.880571     
   16 2   12.7671      0.868823     
   17 2   11.7166      0.857035     
   18 2   10.8057      0.845249     
   19 2   10.0105      0.833499     
   20 2   9.31196      0.821814     
   21 2   8.69480      0.810220     
   22 2   8.14660      0.798738     
   23 2   7.65726      0.787388     
   24 2   7.21843      0.776185     
   25 2   6.82321      0.765142     
   26 2   6.46585      0.754269     
   27 2   6.14151      0.743574     
   28 2   5.84611      0.733064     
   29 2   5.57618      0.722744     
   30 2   5.32878      0.712617     
   31 2   5.10136      0.702686     
   32 2   4.89174      0.692952     
   33 2   4.69804      0.683415     
   34 2   4.51860      0.674075     
   35 2   4.35200      0.664930     
   36 2   4.19698      0.655979     
   37 2   4.05243      0.647221     
   38 2   3.91739      0.638651     
   39 2   3.79100      0.630269     
   40 2   3.67249      0.622070     
   41 2   3.56119      0.614051     
   42 2   3.45648      0.606208     
   43 2   3.35782      0.598539     
   44 2   3.26474      0.591039     
   45 2   3.17679      0.583705     
   46 2   3.09357      0.576532     
   47 2   3.01474      0.569518     
   48 2   2.93996      0.562657     
   49 2   2.86895      0.555947     
   50 2   2.80143      0.549384     
   51 2   2.73718      0.542963     
   52 2   2.67596      0.536682     
   53 2   2.61757      0.530536     
   54 2   2.56183      0.524522     
   55 2   2.50857      0.518637     
   56 2   2.45764      0.512877     
   57 2   2.40888      0.507238     
   58 2   2.36217      0.501718     
   59 2   2.31738      0.496314     
   60 2   2.27441      0.491021     
   61 2   2.23314      0.485838     
   62 2   2.19348      0.480761     
   63 2   2.15535      0.475787     
   64 2   2.11865      0.470914     
   65 2   2.08331      0.466138     
   66 2   2.04926      0.461458     
   67 2   2.01643      0.456870     
   68 2   1.98476      0.452373     
   69 2   1.95419      0.447963     
   70 2   1.92466      0.443639     
   71 2   1.89613      0.439397     
   72 2   1.86854      0.435237     
   73 2   1.84185      0.431156     
   74 2   1.81601      0.427151     
   75 2   1.79100      0.423221     
   76 2   1.76676      0.419364     
   77 2   1.74328      0.415578     
   78 2   1.72050      0.411861     
   79 2   1.69840      0.408211     
   80 2   1.67695      0.404627     
   81 2   1.65613      0.401107     
   82 2   1.63591      0.397649     
   83 2   1.61625      0.394251     
   84 2   1.59715      0.390914     
   85 2   1.57857      0.387633     
   86 2   1.56050      0.384410     
   87 2   1.54291      0.381241     
   88 2   1.52579      0.378126     
   89 2   1.50911      0.375063     
   90 2   1.49287      0.372051     
   91 2   1.47704      0.369089     
   92 2   1.46161      0.366175     
   93 2   1.44657      0.363310     
   94 2   1.43189      0.360490     
   95 2   1.41758      0.357716     
   96 2   1.40360      0.354986     
   97 2   1.38996      0.352299     
   98 2   1.37664      0.349655     
   99 2   1.36363      0.347051     
  100 2   1.35092      0.344488     
  101 2   1.33850      0.341965     
  102 2   1.32636      0.339480     
  103 2   1.31449      0.337032     
  104 2   1.30288      0.334622     
  105 2   1.29152      0.332247     
  106 2   1.28040      0.329908     
  107 2   1.26953      0.327603     
  108 2   1.25888      0.325332     
  109 2   1.24846      0.323094     
  110 2   1.23825      0.320888     
  111 2   1.22824      0.318714     
  112 2   1.21845      0.316571     
  113 2   1.20885      0.314458     
  114 2   1.19943      0.312374     
  115 2   1.19021      0.310320     
  116 2   1.18116      0.308294     
  117 2   1.17229      0.306296     
  118 2   1.16359      0.304326     
  119 2   1.15505      0.302382     
  120 2   1.14667      0.300464     
  121 2   1.13845      0.298572     
  122 2   1.13038      0.296705     
  123 2   1.12246      0.294863     
  124 2   1.11468      0.293045     
  125 2   1.10704      0.291251     
  126 2   1.09954      0.289480     
  127 2   1.09216      0.287732     
  128 2   1.08492      0.286006     
