 ;    DENOISED VALUES
    1 1  3.061782E-02 
    2 1   1.23006     
    3 1  0.393836     
    4 1  0.178203     
    5 1  0.119674     
    6 1  5.457414E-02 
    7 1  6.157616E-02 
    8 1  5.375711E-02 
    9 1  4.325169E-02 
   10 1  2.647107E-02 
   11 1  1.397833E-02 
   12 1  1.464466E-02 
   13 1  1.890292E-02 
   14 1  2.078629E-02 
   15 1  1.931701E-02 
   16 1  2.372370E-02 
   17 1  1.783483E-02 
   18 1  2.673507E-02 
   19 1  2.506639E-02 
   20 1  2.595178E-02 
   21 1  1.889110E-02 
   22 1  2.177139E-02 
   23 1  2.768671E-02 
   24 1  2.457482E-02 
   25 1  2.013120E-02 
   26 1  3.319197E-02 
   27 1  2.768554E-02 
   28 1  3.041005E-02 
   29 1  3.953170E-02 
   30 1  3.023964E-02 
   31 1  4.171123E-02 
   32 1  5.061956E-02 
   33 1  5.232032E-02 
   34 1  5.772242E-02 
   35 1  6.302239E-02 
   36 1  6.330718E-02 
   37 1  6.551421E-02 
   38 1  6.611447E-02 
   39 1  8.192326E-02 
   40 1  8.293520E-02 
   41 1  8.352219E-02 
   42 1  8.946552E-02 
   43 1  8.226241E-02 
   44 1  0.100273     
   45 1  0.105978     
   46 1  0.114772     
   47 1  0.132113     
   48 1  0.135014     
   49 1  0.127292     
   50 1  0.140393     
   51 1  0.156131     
   52 1  0.143530     
   53 1  0.156264     
   54 1  0.155575     
   55 1  0.159240     
   56 1  0.149830     
   57 1  0.156330     
   58 1  0.168967     
   59 1  0.165961     
   60 1  0.171127     
   61 1  0.163852     
   62 1  0.170348     
   63 1  0.171116     
   64 1  0.186963     
   65 1  0.168640     
   66 1  0.154761     
   67 1  0.170150     
   68 1  0.172217     
   69 1  0.163520     
   70 1  0.169781     
   71 1  0.164041     
   72 1  0.155384     
   73 1  0.172781     
   74 1  0.159944     
   75 1  0.152549     
   76 1  0.159753     
   77 1  0.149443     
   78 1  0.159838     
   79 1  0.153459     
   80 1  0.172732     
   81 1  0.162633     
   82 1  0.150059     
   83 1  0.150549     
   84 1  0.163009     
   85 1  0.150820     
   86 1  0.150949     
   87 1  0.153527     
   88 1  0.146324     
   89 1  0.147197     
   90 1  0.137830     
   91 1  0.131431     
   92 1  0.142571     
   93 1  0.151879     
   94 1  0.152600     
   95 1  0.143221     
   96 1  0.134869     
   97 1  0.143358     
   98 1  0.137510     
   99 1  0.137842     
  100 1  0.132897     
  101 1  0.127383     
  102 1  0.127885     
  103 1  0.129637     
  104 1  0.136798     
  105 1  0.130504     
  106 1  0.127351     
  107 1  0.126085     
  108 1  0.122943     
  109 1  0.119485     
  110 1  0.115143     
  111 1  0.120227     
  112 1  0.113294     
  113 1  0.109054     
  114 1  0.104798     
  115 1  0.118387     
  116 1  0.105490     
  117 1  0.106005     
