 ;spi/dat   15-OCT-2015 AT 12:16:03   tfl_doc.dat
 ; KEY=RAD. TRANSFER   RAD(PIX^-1}
    1 2 -0.110432       0.00000     
    2 2 -0.123454      2.777778E-03 
    3 2 -0.162385      5.555556E-03 
    4 2 -0.226683      8.333334E-03 
    5 2 -0.315001      1.111111E-02 
    6 2 -0.424554      1.388889E-02 
    7 2 -0.550284      1.666667E-02 
    8 2 -0.683950      1.944445E-02 
    9 2 -0.813325      2.222222E-02 
   10 2 -0.921819      2.500000E-02 
   11 2 -0.988931      2.777778E-02 
   12 2 -0.992020      3.055556E-02 
   13 2 -0.909806      3.333334E-02 
   14 2 -0.727752      3.611111E-02 
   15 2 -0.444883      3.888889E-02 
   16 2 -8.074654E-02  4.166667E-02 
   17 2  0.319865      4.444445E-02 
   18 2  0.687629      4.722222E-02 
   19 2  0.938085      5.000000E-02 
   20 2  0.991391      5.277778E-02 
   21 2  0.800560      5.555556E-02 
   22 2  0.380902      5.833333E-02 
   23 2 -0.172026      6.111111E-02 
   24 2 -0.690907      6.388889E-02 
   25 2 -0.981624      6.666667E-02 
   26 2 -0.900342      6.944445E-02 
   27 2 -0.436873      7.222223E-02 
   28 2  0.240133      7.500000E-02 
   29 2  0.821086      7.777778E-02 
   30 2  0.990285      8.055556E-02 
   31 2  0.611634      8.333334E-02 
   32 2 -0.140749      8.611111E-02 
   33 2 -0.823035      8.888889E-02 
   34 2 -0.969499      9.166667E-02 
   35 2 -0.430757      9.444445E-02 
   36 2  0.442761      9.722222E-02 
   37 2  0.983492      0.100000     
   38 2  0.714866      0.102778     
   39 2 -0.184966      0.105556     
   40 2 -0.930086      0.108333     
   41 2 -0.790847      0.111111     
   42 2  0.148147      0.113889     
   43 2  0.944386      0.116667     
   44 2  0.712270      0.119444     
   45 2 -0.339648      0.122222     
   46 2 -0.998268      0.125000     
   47 2 -0.424274      0.127778     
   48 2  0.702885      0.130556     
   49 2  0.899419      0.133333     
   50 2 -0.150793      0.136111     
   51 2 -0.992380      0.138889     
   52 2 -0.363791      0.141667     
   53 2  0.828109      0.144444     
   54 2  0.711566      0.147222     
   55 2 -0.571623      0.150000     
