 ;spi/dat   30-JUN-2016 AT 10:29:21   tflis_doc.dat
 ;             DEFOCUS  RAD_FIRST_MIN(PIX)  RAD_FIRST_ZERO(PIX)
 ;     998 3   48600.0       22.0000       32.0000    
 ;  -------------------
 ;             DEFOCUS  RAD_FIRST_MIN(A)  RAD_FIRST_ZERO(A)
 ;     999 3   48600.0       43.8545       31.1226    
 ;  -------------------
 ;   TRANSFER:
 ;        RAD(1/PIX),    RAD(1/A),  STRAIGHT,     -STRAIGHT,      FLIPPED,      TRAPPED,     ENVELOPE,    DIFFRACTOGRAM
    1 8   0.00000       0.00000     -0.110432      0.110432       1.00000       1.00000       1.00000      1.219512E-02 
    2 8  2.777778E-03  1.036484E-03 -0.113691      0.113691       1.00000       1.00000       1.00000      1.292573E-02 
    3 8  5.555556E-03  2.072969E-03 -0.123463      0.123463       1.00000       1.00000       1.00000      1.524322E-02 
    4 8  8.333334E-03  3.109453E-03 -0.139723      0.139723       1.00000       1.00000       1.00000      1.952256E-02 
    5 8  1.111111E-02  4.145937E-03 -0.162423      0.162423       1.00000       1.00000       1.00000      2.638110E-02 
    6 8  1.388889E-02  5.182421E-03 -0.191480      0.191480       1.00000       1.00000       1.00000      3.666459E-02 
    7 8  1.666667E-02  6.218906E-03 -0.226765      0.226765       1.00000       1.00000       1.00000      5.142254E-02 
    8 8  1.944445E-02  7.255390E-03 -0.268082      0.268082       1.00000       1.00000       1.00000      7.186797E-02 
    9 8  2.222222E-02  8.291874E-03 -0.315144      0.315144       1.00000       1.00000       1.00000      9.931599E-02 
   10 8  2.500000E-02  9.328358E-03 -0.367553      0.367553       1.00000       1.00000       1.00000      0.135095     
   11 8  2.777778E-02  1.036484E-02 -0.424768      0.424768       1.00000       1.00000       1.00000      0.180428     
   12 8  3.055556E-02  1.140133E-02 -0.486077      0.486077       1.00000       1.00000       1.00000      0.236271     
   13 8  3.333334E-02  1.243781E-02 -0.550568      0.550568       1.00000       1.00000       1.00000      0.303126     
   14 8  3.611111E-02  1.347430E-02 -0.617103      0.617103       1.00000       1.00000       1.00000      0.380816     
   15 8  3.888889E-02  1.451078E-02 -0.684288      0.684288       1.00000       1.00000       1.00000      0.468250     
   16 8  4.166667E-02  1.554726E-02 -0.750460      0.750460       1.00000       1.00000       1.00000      0.563190     
   17 8  4.444445E-02  1.658375E-02 -0.813677      0.813677       1.00000       1.00000       1.00000      0.662070     
   18 8  4.722222E-02  1.762023E-02 -0.871720      0.871720       1.00000       1.00000       1.00000      0.759895     
   19 8  5.000000E-02  1.865672E-02 -0.922115      0.922115       1.00000       1.00000       1.00000      0.850297     
   20 8  5.277778E-02  1.969320E-02 -0.962177      0.962177       1.00000       1.00000       1.00000      0.925785     
   21 8  5.555556E-02  2.072969E-02 -0.989071      0.989071       1.00000       1.00000       1.00000      0.978261     
   22 8  5.833333E-02  2.176617E-02 -0.999909      0.999909       1.00000      0.999909       1.00000      0.999818     
   23 8  6.111111E-02  2.280265E-02 -0.991875      0.991875       1.00000      0.991875       1.00000      0.983816     
   24 8  6.388889E-02  2.383914E-02 -0.962379      0.962379       1.00000      0.962379       1.00000      0.926173     
   25 8  6.666667E-02  2.487562E-02 -0.909241      0.909241       1.00000      0.909241       1.00000      0.826719     
   26 8  6.944445E-02  2.591211E-02 -0.830903      0.830903       1.00000      0.830903       1.00000      0.690400     
   27 8  7.222223E-02  2.694859E-02 -0.726656      0.726656       1.00000      0.726656       1.00000      0.528029     
   28 8  7.500000E-02  2.798508E-02 -0.596871      0.596871       1.00000      0.596871       1.00000      0.356256     
   29 8  7.777778E-02  2.902156E-02 -0.443224      0.443224       1.00000      0.443224       1.00000      0.196448     
   30 8  8.055556E-02  3.005804E-02 -0.268880      0.268880       1.00000      0.268880       1.00000      7.229672E-02 
   31 8  8.333334E-02  3.109453E-02 -7.862851E-02  7.862851E-02   1.00000      7.862851E-02   1.00000      6.182442E-03 
   32 8  8.611111E-02  3.213101E-02  0.121071     -0.121071      -1.00000     -0.121071       1.00000      1.465824E-02 
   33 8  8.888889E-02  3.316750E-02  0.322155     -0.322155      -1.00000     -0.322155       1.00000      0.103784     
