 ;spi/dat   31-MAY-2013 AT 12:34:45   VM.dat
 ; KEY,    CLASS,      HEIGHT        ID
    1 3   47.0000      0.190477       47.0000     
    2 3   45.0000      0.394225       45.0000     
    3 3   44.0000       1.82524       44.0000     
    4 3   49.0000       2.30065       49.0000     
    5 3   48.0000       3.94403       48.0000     
    6 3   43.0000       6.04947       43.0000     
    7 3   50.0000       12.4789       50.0000     
    8 3   42.0000       3.81154       42.0000     
    9 3   41.0000       4.68598       41.0000     
   10 3   46.0000       36.3479       46.0000     
   11 3   68.0000       5.81212       68.0000     
   12 3   63.0000       8.80974       63.0000     
   13 3   69.0000       1.58476       69.0000     
   14 3   64.0000       2.25521       64.0000     
   15 3   66.0000       2.73512       66.0000     
   16 3   70.0000       4.01482       70.0000     
   17 3   67.0000      0.237352       67.0000     
   18 3   61.0000       1.02393       61.0000     
   19 3   62.0000       1.25472       62.0000     
   20 3   65.0000       56.7094       65.0000     
   21 3   25.0000       1.16655       25.0000     
   22 3   22.0000       1.40872       22.0000     
   23 3   30.0000       1.01071       30.0000     
   24 3   28.0000       4.41825       28.0000     
   25 3   29.0000       7.61416       29.0000     
   26 3   26.0000       1.65307       26.0000     
   27 3   23.0000       3.99702       23.0000     
   28 3   24.0000       10.0934       24.0000     
   29 3   27.0000       4.65953       27.0000     
   30 3   21.0000       28.5383       21.0000     
   31 3   8.00000       1.75509       8.00000     
   32 3   3.00000       2.16432       3.00000     
   33 3   9.00000       1.37760       9.00000     
   34 3   1.00000       1.42201       1.00000     
   35 3   4.00000       5.25327       4.00000     
   36 3   6.00000       6.72007       6.00000     
   37 3   10.0000       2.36576       10.0000     
   38 3   2.00000       5.05472       2.00000     
   39 3   7.00000       1.32731       7.00000     
   40 3   5.00000       100.000       5.00000     
   41 3   38.0000       1.77444       38.0000     
   42 3   35.0000       2.99416       35.0000     
   43 3   40.0000      0.942773       40.0000     
   44 3   37.0000       5.70682       37.0000     
   45 3   33.0000       1.81586       33.0000     
   46 3   31.0000       1.82170       31.0000     
   47 3   36.0000       9.28536       36.0000     
   48 3   39.0000       1.96929       39.0000     
   49 3   32.0000       4.75439       32.0000     
   50 3   34.0000       34.3532       34.0000     
   51 3   16.0000       3.51177       16.0000     
   52 3   14.0000       3.74875       14.0000     
   53 3   17.0000       1.30119       17.0000     
   54 3   15.0000       1.50418       15.0000     
   55 3   12.0000       2.83818       12.0000     
   56 3   20.0000       2.87925       20.0000     
   57 3   13.0000       5.97722       13.0000     
   58 3   11.0000       7.22256       11.0000     
   59 3   19.0000       2.19784       19.0000     
   60 3   18.0000       43.6663       18.0000     
   61 3   80.0000       2.94137       80.0000     
   62 3   78.0000       3.57208       78.0000     
   63 3   76.0000       4.74850       76.0000     
   64 3   77.0000       0.00000       77.0000     
   65 3   74.0000      0.506929       74.0000     
   66 3   73.0000       3.36934       73.0000     
   67 3   75.0000       5.72123       75.0000     
   68 3   79.0000       10.5013       79.0000     
   69 3   72.0000       2.95891       72.0000     
   70 3   71.0000       32.1062       71.0000     
   71 3   57.0000       1.43492       57.0000     
   72 3   56.0000       3.26410       56.0000     
   73 3   58.0000       1.22263       58.0000     
   74 3   51.0000       1.42954       51.0000     
   75 3   52.0000       3.48963       52.0000     
   76 3   60.0000       3.60682       60.0000     
   77 3   55.0000       1.71806       55.0000     
   78 3   54.0000       3.20738       54.0000     
   79 3   53.0000       8.01620       53.0000     
   80 3   59.0000       100.000       59.0000     
