 ;spi/dat  03-FEB-2014  vomq_summary_doc.dat
 ; Ref.  # OF IMAGES
    1 1   1.00000     
    2 1   1.00000     
    3 1   0.00000     
    4 1   2.00000     
    5 1   0.00000     
    6 1   3.00000     
    7 1   1.00000     
    8 1   0.00000     
    9 1   2.00000     
   10 1   3.00000     
   11 1   0.00000     
   12 1   0.00000     
   13 1   1.00000     
   14 1   1.00000     
   15 1   1.00000     
   16 1   1.00000     
   17 1   1.00000     
   18 1   1.00000     
   19 1   1.00000     
   20 1   1.00000     
   21 1   1.00000     
   22 1   0.00000     
   23 1   0.00000     
   24 1   1.00000     
   25 1   0.00000     
   26 1   1.00000     
   27 1   5.00000     
   28 1   5.00000     
   29 1   2.00000     
   30 1   3.00000     
   31 1   5.00000     
   32 1   0.00000     
   33 1   0.00000     
   34 1   2.00000     
   35 1   1.00000     
   36 1   2.00000     
   37 1   0.00000     
   38 1   0.00000     
   39 1   0.00000     
   40 1   1.00000     
   41 1   1.00000     
   42 1   1.00000     
   43 1   1.00000     
   44 1   1.00000     
   45 1   3.00000     
   46 1   7.00000     
   47 1   1.00000     
   48 1   3.00000     
   49 1   3.00000     
   50 1   0.00000     
   51 1   0.00000     
   52 1   3.00000     
   53 1   2.00000     
   54 1   3.00000     
   55 1   1.00000     
   56 1   1.00000     
   57 1   1.00000     
   58 1   0.00000     
   59 1   1.00000     
   60 1   0.00000     
   61 1   0.00000     
   62 1   0.00000     
   63 1   1.00000     
   64 1   0.00000     
   65 1   1.00000     
   66 1   2.00000     
   67 1   3.00000     
   68 1   2.00000     
   69 1   0.00000     
   70 1   0.00000     
   71 1   0.00000     
   72 1   0.00000     
   73 1   1.00000     
   74 1   2.00000     
   75 1   0.00000     
   76 1   0.00000     
   77 1   4.00000     
   78 1   0.00000     
   79 1   0.00000     
   80 1   0.00000     
   81 1   0.00000     
   82 1   1.00000     
   83 1   0.00000     
