 ;tst/tst   01-APR-2013 AT 12:41   vora_doc_84.dat
 ;            PSI,       THETA,         PHI
    1 3   150.000       30.0000       150.000     
    2 3   127.828       18.4522       174.133     
    3 3   248.035       21.1377       121.310     
    4 3   312.608       38.3751       127.605     
    5 3   4.20059       44.9437       152.173     
    6 3   56.3696       35.9593       175.531     
    7 3   76.9357       14.8709       226.936     
    8 3   272.594       2.99398       62.5943     
    9 3   288.380       20.6350       78.3797     
   10 3   305.027       36.6683       95.0273     
   11 3   323.114       49.5733       113.114     
   12 3   342.780       57.7508       132.780     
   13 3   3.42844       59.9112       153.428     
   14 3   23.8665       55.6665       173.866     
   15 3   43.0370       45.7588       193.037     
   16 3   60.6044       31.6439       210.604     
   17 3   39.2315       23.2837       266.565     
   18 3   11.3459       15.4239       313.846     
   19 3   330.785       18.4415       13.6501     
   20 3   316.266       28.9318       47.8680     
   21 3   315.727       40.8586       69.1667     
   22 3   320.759       52.2240       86.5422     
   23 3   328.850       62.0439       102.984     
   24 3   339.056       69.5234       119.634     
   25 3   350.722       73.9650       136.821     
   26 3   3.07236       74.8874       154.347     
   27 3   15.1925       72.1829       171.753     
   28 3   26.2210       66.1593       188.671     
   29 3   35.4640       57.4264       205.136     
   30 3   42.2083       46.7365       221.825     
   31 3   44.9973       34.9431       240.559     
   32 3   25.1082       36.0978       282.696     
   33 3   10.7600       30.9088       311.133     
   34 3   352.226       30.4658       343.550     
   35 3   336.817       34.9728       12.9881     
   36 3   328.102       42.6873       36.2399     
   37 3   324.898       51.8303       54.8629     
   38 3   325.475       61.2570       70.9860     
   39 3   328.762       70.2090       86.0722     
   40 3   334.180       78.0812       101.029     
   41 3   341.352       84.3190       116.370     
   42 3   349.874       88.4166       132.271     
   43 3   359.182       89.9899       148.582     
   44 3   8.55494       88.8769       164.931     
   45 3   17.2581       85.1931       180.921     
   46 3   24.6955       79.2912       196.356     
   47 3   30.4427       71.6623       211.353     
   48 3   34.1303       62.8557       226.364     
   49 3   35.2339       53.4635       242.222     
   50 3   32.7906       44.2046       260.277     
   51 3   19.0391       50.0288       290.935     
   52 3   9.41984       46.0935       311.568     
   53 3   358.080       45.0440       333.711     
   54 3   347.112       47.1109       355.525     
   55 3   338.370       51.8558       15.4066     
   56 3   332.553       58.4769       32.9279     
   57 3   329.515       66.1805       48.5335     
   58 3   328.872       74.3169       62.9433     
   59 3   330.302       82.3546       76.8448     
   60 3   333.603       89.8199       90.8103     
   61 3   338.635       96.2497       105.269     
   62 3   345.213       101.181       120.459     
   63 3   352.989       104.188       136.360     
   64 3   1.38049       104.969       152.668     
   65 3   9.64813       103.440       168.891     
   66 3   17.0854       99.7646       184.581     
   67 3   23.1872       94.2948       199.521     
   68 3   27.6704       87.4757       213.782     
   69 3   30.3780       79.7728       227.672     
   70 3   31.1592       71.6493       241.670     
   71 3   29.7755       63.5914       256.390     
   72 3   25.8713       56.1622       272.545     
   73 3   16.1021       64.3411       296.310     
   74 3   7.75371       60.9288       314.346     
   75 3   358.432       60.0372       333.138     
   76 3   349.314       61.8008       351.769     
   77 3   341.492       65.9597       9.41020     
   78 3   335.597       71.9869       25.7215     
   79 3   331.814       79.2775       40.8538     
   80 3   330.114       87.2601       55.2454     
   81 3   330.447       95.4120       69.4445     
   82 3   332.826       103.226       84.0220     
   83 3   337.307       110.167       99.5037     
   84 3   343.875       115.645       116.257     
