 ;tst/tst   01-APR-2013 AT 14:07   voras_doc_84.tst
 ;            PSI,       THETA,         PHI
    1 3   0.00000       30.0000       150.000     
    2 3   0.00000       18.4522       174.133     
    3 3   0.00000       21.1377       121.310     
    4 3   0.00000       38.3751       127.605     
    5 3   0.00000       44.9437       152.173     
    6 3   0.00000       35.9593       175.531     
    7 3   0.00000       14.8709       226.936     
    8 3   0.00000       2.99398       62.5943     
    9 3   0.00000       20.6350       78.3797     
   10 3   0.00000       36.6683       95.0273     
   11 3   0.00000       49.5733       113.114     
   12 3   0.00000       57.7508       132.780     
   13 3   0.00000       59.9112       153.428     
   14 3   0.00000       55.6665       173.866     
   15 3   0.00000       45.7588       193.037     
   16 3   0.00000       31.6439       210.604     
   17 3   0.00000       23.2837       266.565     
   18 3   0.00000       15.4239       313.846     
   19 3   0.00000       18.4415       13.6501     
   20 3   0.00000       28.9318       47.8680     
   21 3   0.00000       40.8586       69.1667     
   22 3   0.00000       52.2240       86.5422     
   23 3   0.00000       62.0439       102.984     
   24 3   0.00000       69.5234       119.634     
   25 3   0.00000       73.9650       136.821     
   26 3   0.00000       74.8874       154.347     
   27 3   0.00000       72.1829       171.753     
   28 3   0.00000       66.1593       188.671     
   29 3   0.00000       57.4264       205.136     
   30 3   0.00000       46.7365       221.825     
   31 3   0.00000       34.9431       240.559     
   32 3   0.00000       36.0978       282.696     
   33 3   0.00000       30.9088       311.133     
   34 3   0.00000       30.4658       343.550     
   35 3   0.00000       34.9728       12.9881     
   36 3   0.00000       42.6873       36.2399     
   37 3   0.00000       51.8303       54.8629     
   38 3   0.00000       61.2570       70.9860     
   39 3   0.00000       70.2090       86.0722     
   40 3   0.00000       78.0812       101.029     
   41 3   0.00000       84.3190       116.370     
   42 3   0.00000       88.4166       132.271     
   43 3   0.00000       89.9899       148.582     
   44 3   0.00000       88.8769       164.931     
   45 3   0.00000       85.1931       180.921     
   46 3   0.00000       79.2912       196.356     
   47 3   0.00000       71.6623       211.353     
   48 3   0.00000       62.8557       226.364     
   49 3   0.00000       53.4635       242.222     
   50 3   0.00000       44.2046       260.277     
   51 3   0.00000       50.0288       290.935     
   52 3   0.00000       46.0935       311.568     
   53 3   0.00000       45.0440       333.711     
   54 3   0.00000       47.1109       355.525     
   55 3   0.00000       51.8558       15.4066     
   56 3   0.00000       58.4769       32.9279     
   57 3   0.00000       66.1805       48.5335     
   58 3   0.00000       74.3169       62.9433     
   59 3   0.00000       82.3546       76.8448     
   60 3   0.00000       89.8199       90.8103     
   61 3   0.00000       96.2497       105.269     
   62 3   0.00000       101.181       120.459     
   63 3   0.00000       104.188       136.360     
   64 3   0.00000       104.969       152.668     
   65 3   0.00000       103.440       168.891     
   66 3   0.00000       99.7646       184.581     
   67 3   0.00000       94.2948       199.521     
   68 3   0.00000       87.4757       213.782     
   69 3   0.00000       79.7728       227.672     
   70 3   0.00000       71.6493       241.670     
   71 3   0.00000       63.5914       256.390     
   72 3   0.00000       56.1622       272.545     
   73 3   0.00000       64.3411       296.310     
   74 3   0.00000       60.9288       314.346     
   75 3   0.00000       60.0372       333.138     
   76 3   0.00000       61.8008       351.769     
   77 3   0.00000       65.9597       9.41020     
   78 3   0.00000       71.9869       25.7215     
   79 3   0.00000       79.2775       40.8538     
   80 3   0.00000       87.2601       55.2454     
   81 3   0.00000       95.4120       69.4445     
   82 3   0.00000       103.226       84.0220     
   83 3   0.00000       110.167       99.5037     
   84 3   0.00000       115.645       116.257     
