 ;spi/dat   25-FEB-2014 AT 11:34:02   xms2d_doc.dat
    1 3  -3.99763       82.0318       30.1212     
    2 3  2.375000E-03  -10.1964       135.465     
    3 3   2.00237       83.6271       54.8908     
    4 3  2.375000E-03   44.7815       20.2820     
    5 3  -1.99762      -24.9861       57.5910     
    6 3  -1.99762       44.7815       20.2820     
    7 3   10.0024      -26.4439       98.0326     
    8 3  -1.99762      -8.66045       51.8558     
    9 3  2.375000E-03   103.274       3.90670     
   10 3  -1.99762       64.7594       31.2230     
   11 3  -1.99762       74.3070       42.9895     
   12 3  2.375000E-03   44.7815       20.2820     
   13 3  2.375000E-03   70.2480       37.0155     
   14 3  -3.99763       64.7594       31.2230     
   15 3  -1.99762       118.432       27.8144     
   16 3  -1.99762      -87.6113       4.39699     
   17 3  -1.99762       71.5206       18.7005     
   18 3  -1.99762       82.0318       30.1212     
   19 3  2.375000E-03   47.9538       32.1567     
   20 3   6.00238       44.7815       20.2820     
   21 3  -1.99762       103.274       3.90670     
   22 3   2.00237      -19.7857       63.4354     
   23 3  -1.99762       64.7594       31.2230     
   24 3  -3.99763       61.8631       43.7476     
   25 3   2.00237       15.2253       33.2411     
   26 3   8.00237       99.7803       35.0936     
   27 3  -3.99763      -98.7099       79.5733     
   28 3   4.00238      -86.7751       70.4500     
   29 3  2.375000E-03   70.2480       37.0155     
   30 3  -1.99762       71.5206       18.7005     
    1 3  -3.99763       82.0318       30.1212     
    2 3  2.375000E-03  -10.1964       135.465     
    3 3   2.00237       83.6271       54.8908     
    4 3  2.375000E-03   44.7815       20.2820     
    5 3  -1.99762      -24.9861       57.5910     
    6 3  -1.99762       44.7815       20.2820     
    7 3   10.0024      -26.4439       98.0326     
    8 3  -1.99762      -8.66045       51.8558     
    9 3  2.375000E-03   103.274       3.90670     
   10 3  -1.99762       64.7594       31.2230     
   11 3  -1.99762       74.3070       42.9895     
   12 3  2.375000E-03   44.7815       20.2820     
   13 3  2.375000E-03   70.2480       37.0155     
   14 3  -3.99763       64.7594       31.2230     
   15 3  -1.99762       118.432       27.8144     
   16 3  -1.99762      -87.6113       4.39699     
   17 3  -1.99762       71.5206       18.7005     
   18 3  -1.99762       82.0318       30.1212     
   19 3  2.375000E-03   47.9538       32.1567     
   20 3   6.00238       44.7815       20.2820     
   21 3  -1.99762       103.274       3.90670     
   22 3   2.00237      -19.7857       63.4354     
   23 3  -1.99762       64.7594       31.2230     
   24 3  -3.99763       61.8631       43.7476     
   25 3   2.00237       15.2253       33.2411     
   26 3   8.00237       99.7803       35.0936     
   27 3  -3.99763      -98.7099       79.5733     
   28 3   4.00238      -86.7751       70.4500     
   29 3  2.375000E-03   70.2480       37.0155     
   30 3  -1.99762       71.5206       18.7005     
    1 3  -3.99763       82.0318       30.1212     
    2 3  2.375000E-03  -10.1964       135.465     
    3 3   2.00237       83.6271       54.8908     
    4 3  2.375000E-03   44.7815       20.2820     
    5 3  -1.99762      -24.9861       57.5910     
    6 3  -1.99762       44.7815       20.2820     
    7 3   10.0024      -26.4439       98.0326     
    8 3  -1.99762      -8.66045       51.8558     
    9 3  2.375000E-03   103.274       3.90670     
   10 3  -1.99762       64.7594       31.2230     
   11 3  -1.99762       74.3070       42.9895     
   12 3  2.375000E-03   44.7815       20.2820     
   13 3  2.375000E-03   70.2480       37.0155     
   14 3  -3.99763       64.7594       31.2230     
   15 3  -1.99762       118.432       27.8144     
   16 3  -1.99762      -87.6113       4.39699     
   17 3  -1.99762       71.5206       18.7005     
   18 3  -1.99762       82.0318       30.1212     
   19 3  2.375000E-03   47.9538       32.1567     
   20 3   6.00238       44.7815       20.2820     
   21 3  -1.99762       103.274       3.90670     
   22 3   2.00237      -19.7857       63.4354     
   23 3  -1.99762       64.7594       31.2230     
   24 3  -3.99763       61.8631       43.7476     
   25 3   2.00237       15.2253       33.2411     
   26 3   8.00237       99.7803       35.0936     
   27 3  -3.99763      -98.7099       79.5733     
   28 3   4.00238      -86.7751       70.4500     
   29 3  2.375000E-03   70.2480       37.0155     
   30 3  -1.99762       71.5206       18.7005     
 ; STAR COL:   12            13            14
    1 3  -3.99763       82.0318       30.1212     
    2 3  2.375000E-03  -10.1964       135.465     
    3 3   2.00237       83.6271       54.8908     
    4 3  2.375000E-03   44.7815       20.2820     
    5 3  -1.99762      -24.9861       57.5910     
    6 3  -1.99762       44.7815       20.2820     
    7 3   10.0024      -26.4439       98.0326     
    8 3  -1.99762      -8.66045       51.8558     
    9 3  2.375000E-03   103.274       3.90670     
   10 3  -1.99762       64.7594       31.2230     
   11 3  -1.99762       74.3070       42.9895     
   12 3  2.375000E-03   44.7815       20.2820     
   13 3  2.375000E-03   70.2480       37.0155     
   14 3  -3.99763       64.7594       31.2230     
   15 3  -1.99762       118.432       27.8144     
   16 3  -1.99762      -87.6113       4.39699     
   17 3  -1.99762       71.5206       18.7005     
   18 3  -1.99762       82.0318       30.1212     
   19 3  2.375000E-03   47.9538       32.1567     
   20 3   6.00238       44.7815       20.2820     
   21 3  -1.99762       103.274       3.90670     
   22 3   2.00237      -19.7857       63.4354     
   23 3  -1.99762       64.7594       31.2230     
   24 3  -3.99763       61.8631       43.7476     
   25 3   2.00237       15.2253       33.2411     
   26 3   8.00237       99.7803       35.0936     
   27 3  -3.99763      -98.7099       79.5733     
   28 3   4.00238      -86.7751       70.4500     
   29 3  2.375000E-03   70.2480       37.0155     
   30 3  -1.99762       71.5206       18.7005     
