 ;spi/dat   10-SEP-2012 AT 11:38:28   output/apsara_ra_doc_002.dat
 ;          FILE#         ANGLE      DIST/MIR         GROUP
    1 4   1.00000       122.344       180.103       1.00000     
    2 4   2.00000       272.813       209.675       1.00000     
    3 4   3.00000       61.8750       163.868       1.00000     
    4 4   4.00000       32.3438       177.072       1.00000     
    5 4   5.00000       1.40625       165.114       1.00000     
    6 4   6.00000       151.875       163.904       1.00000     
    7 4   7.00000       302.344       176.338       1.00000     
    8 4   8.00000       272.813       209.675       1.00000     
    9 4   9.00000       241.875       160.001       1.00000     
   10 4   10.0000       212.344       173.116       1.00000     
   11 4   11.0000       358.594       199.948       1.00000     
   12 4   12.0000       147.656       160.621       1.00000     
   13 4   13.0000       118.125       171.723       1.00000     
   14 4   14.0000       88.5938       160.962       1.00000     
   15 4   15.0000       57.6563       158.522       1.00000     
   16 4   16.0000       28.1250       173.622       1.00000     
   17 4   17.0000       358.594       199.947       1.00000     
   18 4   18.0000       327.656       155.465       1.00000     
   19 4   19.0000       298.125       165.396       1.00000     
   20 4   20.0000       268.594       159.010       1.00000     
   21 4   21.0000       240.469       155.633       1.00000     
   22 4   22.0000       210.938       169.614       1.00000     
   23 4   23.0000       0.00000       198.035       1.00000     
   24 4   24.0000       150.469       160.903       1.00000     
   25 4   25.0000       120.938       173.460       1.00000     
   26 4   26.0000       270.000       158.655       1.00000     
   27 4   27.0000       60.4688       160.281       1.00000     
   28 4   28.0000       30.9375       174.246       1.00000     
   29 4   29.0000       0.00000       198.035       1.00000     
   30 4   30.0000       330.469       159.732       1.00000     
   31 4   31.0000       298.125       177.680       1.00000     
   32 4   32.0000       267.188       166.569       1.00000     
   33 4   33.0000       237.656       166.930       1.00000     
   34 4   34.0000       25.3125       200.962       1.00000     
   35 4   35.0000       355.781       198.464       1.00000     
   36 4   36.0000       146.250       197.684       1.00000     
   37 4   37.0000       118.125       180.751       1.00000     
   38 4   38.0000       267.188       166.569       1.00000     
   39 4   39.0000       57.6563       166.129       1.00000     
   40 4   40.0000       25.3125       200.961       1.00000     
