 ;spi/dat   04-FEB-2013 AT 12:03:16   data/clhc_den_class_003.dat
 ; THRESHOLD LEVEL:  64.00 CLASS:   3
 ; KEY,     ID,        INDEX
    1 2   66.0000       2.46411     
    2 2   65.0000       7.12943     
    3 2   61.0000       8.22462     
    4 2   70.0000       0.00000     
    5 2   67.0000       3.85282     
    6 2   68.0000       13.6078     
    7 2   64.0000      0.788768     
    8 2   63.0000       5.46196     
    9 2   69.0000       20.2216     
   10 2   62.0000       60.4890     
   11 2   49.0000       1.76389     
   12 2   42.0000       6.24052     
   13 2   45.0000       8.70140     
   14 2   48.0000       12.5540     
   15 2   47.0000       1.85052     
   16 2   44.0000       3.04586     
   17 2   43.0000       7.29075     
   18 2   50.0000       17.5662     
   19 2   46.0000       5.38957     
   20 2   41.0000       77.5636     
