 ;spi/dat   05-FEB-2013 AT 11:05:25   data/clhc_dend_2.dat
 ; KEY,    CLASS,      HEIGHT        ID
    1 3   58.0000       4.67723       58.0000     
    2 3   54.0000       6.93588       54.0000     
    3 3   55.0000      0.160655       55.0000     
    4 3   52.0000       3.65678       52.0000     
    5 3   57.0000       9.13823       57.0000     
    6 3   59.0000       3.69314       59.0000     
    7 3   56.0000       5.88153       56.0000     
    8 3   53.0000       15.0547       53.0000     
    9 3   51.0000       19.3557       51.0000     
   10 3   60.0000       63.8454       60.0000     
   11 3   79.0000       2.61853       79.0000     
   12 3   78.0000       4.91158       78.0000     
   13 3   76.0000       15.7948       76.0000     
   14 3   77.0000       4.56116       77.0000     
   15 3   71.0000       16.4729       71.0000     
   16 3   80.0000       7.03027       80.0000     
   17 3   74.0000       12.6507       74.0000     
   18 3   73.0000       3.04871       73.0000     
   19 3   72.0000       6.13459       72.0000     
   20 3   75.0000       84.8685       75.0000     
   21 3   39.0000       1.70403       39.0000     
   22 3   36.0000       4.64570       36.0000     
   23 3   38.0000       8.15776       38.0000     
   24 3   40.0000       1.63725       40.0000     
   25 3   32.0000       11.2048       32.0000     
   26 3   35.0000       2.55833       35.0000     
   27 3   33.0000       6.60357       33.0000     
   28 3   31.0000       12.8145       31.0000     
   29 3   34.0000       20.0314       34.0000     
   30 3   37.0000       60.1209       37.0000     
   31 3   19.0000       4.14568       19.0000     
   32 3   18.0000       9.33620       18.0000     
   33 3   17.0000       1.82030       17.0000     
   34 3   14.0000       10.4129       14.0000     
   35 3   16.0000       2.34758       16.0000     
   36 3   11.0000       5.73519       11.0000     
   37 3   15.0000       15.4363       15.0000     
   38 3   20.0000       4.36668       20.0000     
   39 3   12.0000       7.93998       12.0000     
   40 3   13.0000       100.000       13.0000     
   41 3   66.0000       2.46411       66.0000     
   42 3   65.0000       7.12943       65.0000     
   43 3   61.0000       8.22462       61.0000     
   44 3   70.0000       0.00000       70.0000     
   45 3   67.0000       3.85282       67.0000     
   46 3   68.0000       13.6078       68.0000     
   47 3   64.0000      0.788768       64.0000     
   48 3   63.0000       5.46196       63.0000     
   49 3   69.0000       20.2216       69.0000     
   50 3   62.0000       60.4890       62.0000     
   51 3   49.0000       1.76389       49.0000     
   52 3   42.0000       6.24052       42.0000     
   53 3   45.0000       8.70140       45.0000     
   54 3   48.0000       12.5540       48.0000     
   55 3   47.0000       1.85052       47.0000     
   56 3   44.0000       3.04586       44.0000     
   57 3   43.0000       7.29075       43.0000     
   58 3   50.0000       17.5662       50.0000     
   59 3   46.0000       5.38957       46.0000     
   60 3   41.0000       77.5636       41.0000     
   61 3   24.0000       3.42977       24.0000     
   62 3   21.0000       6.96800       21.0000     
   63 3   30.0000       12.3224       30.0000     
   64 3   28.0000       15.4035       28.0000     
   65 3   29.0000       5.86841       29.0000     
   66 3   26.0000       10.1701       26.0000     
   67 3   27.0000       4.17400       27.0000     
   68 3   25.0000       5.41678       25.0000     
   69 3   23.0000       2.20990       23.0000     
   70 3   22.0000       46.0827       22.0000     
   71 3   10.0000       2.67491       10.0000     
   72 3   7.00000       4.50210       7.00000     
   73 3   2.00000       7.14040       2.00000     
   74 3   9.00000       1.43907       9.00000     
   75 3   4.00000       11.3908       4.00000     
   76 3   6.00000       6.12857       6.00000     
   77 3   5.00000       13.6728       5.00000     
   78 3   8.00000       3.28912       8.00000     
   79 3   1.00000       5.81882       1.00000     
   80 3   3.00000       100.000       3.00000     
