 ;spi/dat   04-FEB-2013 AT 12:44:55   data/clkm_IMC_clas_453.dat
 ; KEY, IMAGE/ELEMENT,    CLASS
    1 2   1.00000       6.00000     
    2 2   2.00000       6.00000     
    3 2   3.00000       6.00000     
    4 2   4.00000       6.00000     
    5 2   5.00000       6.00000     
    6 2   6.00000       6.00000     
    7 2   7.00000       6.00000     
    8 2   8.00000       6.00000     
    9 2   9.00000       6.00000     
   10 2   10.0000       6.00000     
   11 2   11.0000       1.00000     
   12 2   12.0000       1.00000     
   13 2   13.0000       1.00000     
   14 2   14.0000       1.00000     
   15 2   15.0000       1.00000     
   16 2   16.0000       1.00000     
   17 2   17.0000       1.00000     
   18 2   18.0000       1.00000     
   19 2   19.0000       1.00000     
   20 2   20.0000       1.00000     
   21 2   21.0000       6.00000     
   22 2   22.0000       6.00000     
   23 2   23.0000       6.00000     
   24 2   24.0000       6.00000     
   25 2   25.0000       6.00000     
   26 2   26.0000       6.00000     
   27 2   27.0000       6.00000     
   28 2   28.0000       6.00000     
   29 2   29.0000       6.00000     
   30 2   30.0000       6.00000     
   31 2   31.0000       8.00000     
   32 2   32.0000       8.00000     
   33 2   33.0000       8.00000     
   34 2   34.0000       8.00000     
   35 2   35.0000       8.00000     
   36 2   36.0000       8.00000     
   37 2   37.0000       8.00000     
   38 2   38.0000       8.00000     
   39 2   39.0000       8.00000     
   40 2   40.0000       8.00000     
   41 2   41.0000       7.00000     
   42 2   42.0000       7.00000     
   43 2   43.0000       7.00000     
   44 2   44.0000       7.00000     
   45 2   45.0000       7.00000     
   46 2   46.0000       7.00000     
   47 2   47.0000       7.00000     
   48 2   48.0000       7.00000     
   49 2   49.0000       7.00000     
   50 2   50.0000       7.00000     
   51 2   51.0000       4.00000     
   52 2   52.0000       4.00000     
   53 2   53.0000       4.00000     
   54 2   54.0000       4.00000     
   55 2   55.0000       4.00000     
   56 2   56.0000       4.00000     
   57 2   57.0000       4.00000     
   58 2   58.0000       4.00000     
   59 2   59.0000       4.00000     
   60 2   60.0000       4.00000     
   61 2   61.0000       5.00000     
   62 2   62.0000       5.00000     
   63 2   63.0000       5.00000     
   64 2   64.0000       5.00000     
   65 2   65.0000       5.00000     
   66 2   66.0000       5.00000     
   67 2   67.0000       5.00000     
   68 2   68.0000       5.00000     
   69 2   69.0000       5.00000     
   70 2   70.0000       5.00000     
   71 2   71.0000       2.00000     
   72 2   72.0000       3.00000     
   73 2   73.0000       3.00000     
   74 2   74.0000       3.00000     
   75 2   75.0000       3.00000     
   76 2   76.0000       2.00000     
   77 2   77.0000       2.00000     
   78 2   78.0000       2.00000     
   79 2   79.0000       2.00000     
   80 2   80.0000       3.00000     
