 ;spi/dat   18-JUN-2009 AT 15:50:28   data/clcla_dend.dat
 ; KEY,    CLASS,     HEIGHT       ID
    1 3   9.0000       0.0000       64.000     
    2 3   9.0000       0.0000       66.000     
    3 3   9.0000       0.0000       67.000     
    4 3   9.0000       0.0000       68.000     
    5 3   8.0000       0.0000       61.000     
    6 3   8.0000       0.0000       62.000     
    7 3   8.0000       0.0000       63.000     
    8 3   8.0000       0.0000       65.000     
    9 3   8.0000       0.0000       69.000     
   10 3   8.0000       6.1294       70.000     
   11 3   1.0000       0.0000       41.000     
   12 3   1.0000       0.0000       42.000     
   13 3   1.0000       0.0000       43.000     
   14 3   1.0000       0.0000       44.000     
   15 3   1.0000       0.0000       45.000     
   16 3   1.0000       0.0000       46.000     
   17 3   1.0000       0.0000       47.000     
   18 3   1.0000       0.0000       48.000     
   19 3   1.0000       0.0000       49.000     
   20 3   1.0000       26.511       50.000     
   21 3   10.000      2.05145E-02   76.000     
   22 3   6.0000       0.0000       71.000     
   23 3   6.0000       0.0000       72.000     
   24 3   6.0000       0.0000       73.000     
   25 3   6.0000       0.0000       74.000     
   26 3   6.0000       0.0000       75.000     
   27 3   6.0000       0.0000       77.000     
   28 3   6.0000       0.0000       78.000     
   29 3   6.0000       0.0000       79.000     
   30 3   6.0000       4.7976       80.000     
   31 3   5.0000       0.0000       51.000     
   32 3   5.0000       0.0000       52.000     
   33 3   5.0000       0.0000       53.000     
   34 3   5.0000       0.0000       54.000     
   35 3   5.0000       0.0000       55.000     
   36 3   5.0000       0.0000       56.000     
   37 3   5.0000       0.0000       57.000     
   38 3   5.0000       0.0000       58.000     
   39 3   5.0000       0.0000       59.000     
   40 3   5.0000       100.00       60.000     
   41 3   11.000      6.26386E-02   5.0000     
   42 3   7.0000       0.0000       1.0000     
   43 3   7.0000       0.0000       2.0000     
   44 3   7.0000       0.0000       3.0000     
   45 3   7.0000       0.0000       4.0000     
   46 3   7.0000       0.0000       6.0000     
   47 3   7.0000       0.0000       7.0000     
   48 3   7.0000       0.0000       8.0000     
   49 3   7.0000       0.0000       9.0000     
   50 3   7.0000       4.1039       10.000     
   51 3   3.0000       0.0000       21.000     
   52 3   3.0000       0.0000       22.000     
   53 3   3.0000       0.0000       23.000     
   54 3   3.0000       0.0000       24.000     
   55 3   3.0000       0.0000       25.000     
   56 3   3.0000       0.0000       26.000     
   57 3   3.0000       0.0000       27.000     
   58 3   3.0000       0.0000       28.000     
   59 3   3.0000       0.0000       29.000     
   60 3   3.0000       18.870       30.000     
   61 3   4.0000       0.0000       11.000     
   62 3   4.0000       0.0000       12.000     
   63 3   4.0000       0.0000       13.000     
   64 3   4.0000       0.0000       14.000     
   65 3   4.0000       0.0000       15.000     
   66 3   4.0000       0.0000       16.000     
   67 3   4.0000       0.0000       17.000     
   68 3   4.0000       0.0000       18.000     
   69 3   4.0000       0.0000       19.000     
   70 3   4.0000       3.0018       20.000     
   71 3   2.0000       0.0000       31.000     
   72 3   2.0000       0.0000       32.000     
   73 3   2.0000       0.0000       33.000     
   74 3   2.0000       0.0000       34.000     
   75 3   2.0000       0.0000       35.000     
   76 3   2.0000       0.0000       36.000     
   77 3   2.0000       0.0000       37.000     
   78 3   2.0000       0.0000       38.000     
   79 3   2.0000       0.0000       39.000     
   80 3   2.0000       100.00       40.000     
