
 ;spi/dat 30-JAN-2013 AT 15:35 clhc_dend_5.dat
 ; KEY,    CLASS,       HEIGHT,        ID
    1 3   60.0000      1.216197E-03   60.0000     
    2 3   59.0000      3.305129E-03   59.0000     
    3 3   52.0000      2.230647E-04   52.0000     
    4 3   51.0000      5.540430E-04   51.0000     
    5 3   58.0000      4.238814E-05   58.0000     
    6 3   56.0000      1.989569E-04   56.0000     
    7 3   57.0000      1.411748E-02   57.0000     
    8 3   55.0000      2.039329E-04   55.0000     
    9 3   54.0000      5.338333E-04   54.0000     
   10 3   53.0000       4.99234       53.0000     
   11 3   72.0000      1.340313E-04   72.0000     
   12 3   71.0000      2.026323E-03   71.0000     
   13 3   77.0000       0.00000       77.0000     
   14 3   74.0000      1.173013E-04   74.0000     
   15 3   73.0000      4.234424E-03   73.0000     
   16 3   80.0000      5.656059E-04   80.0000     
   17 3   76.0000      1.325504E-02   76.0000     
   18 3   78.0000      3.291344E-04   78.0000     
   19 3   75.0000      1.967500E-03   75.0000     
   20 3   79.0000       29.7752       79.0000     
   21 3   48.0000      3.143634E-04   48.0000     
   22 3   42.0000      1.871460E-03   42.0000     
   23 3   47.0000      3.194715E-06   47.0000     
   24 3   44.0000      1.337307E-05   44.0000     
   25 3   45.0000      2.980806E-04   45.0000     
   26 3   49.0000      4.473398E-03   49.0000     
   27 3   50.0000      1.672728E-03   50.0000     
   28 3   43.0000      1.824029E-02   43.0000     
   29 3   46.0000      9.220956E-04   46.0000     
   30 3   41.0000       4.63900       41.0000     
   31 3   70.0000      1.361866E-04   70.0000     
   32 3   69.0000      7.564471E-04   69.0000     
   33 3   66.0000      2.427494E-03   66.0000     
   34 3   65.0000      1.370642E-04   65.0000     
   35 3   64.0000      6.969293E-04   64.0000     
   36 3   67.0000      1.041615E-05   67.0000     
   37 3   61.0000      3.367993E-05   61.0000     
   38 3   62.0000      1.041315E-02   62.0000     
   39 3   68.0000      6.924018E-04   68.0000     
   40 3   63.0000       100.000       63.0000     
   41 3   8.00000      1.186957E-04   8.00000     
   42 3   4.00000      1.859019E-04   4.00000     
   43 3   3.00000      7.211062E-04   3.00000     
   44 3   9.00000      1.049311E-04   9.00000     
   45 3   1.00000      8.163250E-03   1.00000     
   46 3   10.0000      2.981534E-04   10.0000     
   47 3   2.00000      9.981277E-03   2.00000     
   48 3   7.00000      1.318630E-04   7.00000     
   49 3   5.00000      1.970406E-03   5.00000     
   50 3   6.00000       4.29262       6.00000     
   51 3   30.0000      9.071259E-05   30.0000     
   52 3   28.0000      5.712588E-04   28.0000     
   53 3   25.0000      2.877785E-05   25.0000     
   54 3   22.0000      2.725953E-03   22.0000     
   55 3   26.0000      1.885995E-04   26.0000     
   56 3   23.0000      4.870230E-03   23.0000     
   57 3   29.0000      6.214395E-04   29.0000     
   58 3   24.0000      9.381874E-03   24.0000     
   59 3   27.0000      1.201758E-03   27.0000     
   60 3   21.0000       23.6762       21.0000     
   61 3   38.0000      2.225611E-04   38.0000     
   62 3   35.0000      7.280944E-04   35.0000     
   63 3   40.0000      6.601961E-05   40.0000     
   64 3   37.0000      8.928685E-03   37.0000     
   65 3   39.0000      2.630182E-04   39.0000     
   66 3   32.0000      5.320383E-04   32.0000     
   67 3   34.0000      1.466271E-02   34.0000     
   68 3   33.0000      7.709122E-05   33.0000     
   69 3   31.0000      4.838287E-04   31.0000     
   70 3   36.0000       4.18385       36.0000     
   71 3   16.0000      4.563046E-04   16.0000     
   72 3   14.0000      2.912034E-03   14.0000     
   73 3   11.0000      4.652169E-03   11.0000     
   74 3   18.0000      1.670165E-04   18.0000     
   75 3   12.0000      3.095721E-04   12.0000     
   76 3   19.0000      1.085930E-02   19.0000     
   77 3   20.0000      2.177787E-04   20.0000     
   78 3   13.0000      1.406223E-03   13.0000     
   79 3   17.0000      9.079686E-05   17.0000     
   80 3   15.0000       100.000       15.0000     
