 ;spi/dat   18-JUN-2009 AT 14:46:46   data/clhc_dend_class_001.dat
 ; THRESHOLD LEVEL:  64.00 CLASS:   1
 ; KEY,     ID,        INDEX
    1 2   80.000       1.9692     
    2 2   75.000       8.5725     
    3 2   77.000       1.9473     
    4 2   72.000       10.667     
    5 2   78.000       1.9585     
    6 2   71.000       4.6665     
    7 2   79.000       6.2889     
    8 2   73.000       12.019     
    9 2   76.000       19.128     
   10 2   74.000       58.183     
   11 2   58.000      0.94737     
   12 2   51.000       1.7431     
   13 2   54.000       4.6891     
   14 2   59.000       7.5507     
   15 2   60.000       1.8938     
   16 2   55.000       10.554     
   17 2   57.000       14.757     
   18 2   52.000       18.346     
   19 2   56.000       8.9074     
   20 2   53.000       84.845     
