 ;bat/dat   27-JAN-2004 AT 12:30:08   IMC789/IMC789doc.dat
    1 2  1.0000      1.0000    
    2 2  2.0000      1.0000    
    3 2  3.0000      1.0000    
    4 2  4.0000      1.0000    
    5 2  5.0000      1.0000    
    6 2  6.0000      1.0000    
    7 2  7.0000      1.0000    
    8 2  8.0000      1.0000    
    9 2  9.0000      1.0000    
   10 2  10.000      1.0000    
   11 2  11.000      4.0000    
   12 2  12.000      4.0000    
   13 2  13.000      4.0000    
   14 2  14.000      4.0000    
   15 2  15.000      4.0000    
   16 2  16.000      4.0000    
   17 2  17.000      4.0000    
   18 2  18.000      4.0000    
   19 2  19.000      4.0000    
   20 2  20.000      4.0000    
   21 2  21.000      1.0000    
   22 2  22.000      1.0000    
   23 2  23.000      1.0000    
   24 2  24.000      1.0000    
   25 2  25.000      1.0000    
   26 2  26.000      1.0000    
   27 2  27.000      1.0000    
   28 2  28.000      1.0000    
   29 2  29.000      1.0000    
   30 2  30.000      1.0000    
   31 2  31.000      4.0000    
   32 2  32.000      4.0000    
   33 2  33.000      4.0000    
   34 2  34.000      4.0000    
   35 2  35.000      4.0000    
   36 2  36.000      4.0000    
   37 2  37.000      4.0000    
   38 2  38.000      4.0000    
   39 2  39.000      4.0000    
   40 2  40.000      4.0000    
   41 2  41.000      8.0000    
   42 2  42.000      8.0000    
   43 2  43.000      8.0000    
   44 2  44.000      8.0000    
   45 2  45.000      8.0000    
   46 2  46.000      8.0000    
   47 2  47.000      8.0000    
   48 2  48.000      8.0000    
   49 2  49.000      8.0000    
   50 2  50.000      8.0000    
   51 2  51.000      5.0000    
   52 2  52.000      5.0000    
   53 2  53.000      5.0000    
   54 2  54.000      5.0000    
   55 2  55.000      5.0000    
   56 2  56.000      5.0000    
   57 2  57.000      5.0000    
   58 2  58.000      5.0000    
   59 2  59.000      5.0000    
   60 2  60.000      5.0000    
   61 2  61.000      7.0000    
   62 2  62.000      7.0000    
   63 2  63.000      7.0000    
   64 2  64.000      7.0000    
   65 2  65.000      7.0000    
   66 2  66.000      7.0000    
   67 2  67.000      7.0000    
   68 2  68.000      7.0000    
   69 2  69.000      7.0000    
   70 2  70.000      7.0000    
   71 2  71.000      6.0000    
   72 2  72.000      3.0000    
   73 2  73.000      6.0000    
   74 2  74.000      3.0000    
   75 2  75.000      6.0000    
   76 2  76.000      6.0000    
   77 2  77.000      2.0000    
   78 2  78.000      2.0000    
   79 2  79.000      2.0000    
   80 2  80.000      3.0000    
