 ;bat/dat   27-JAN-2004 AT 12:34:23   PIX453/PIX453doc.dat
    1 2  1.0000      4.0000    
    2 2  2.0000      5.0000    
    3 2  3.0000      4.0000    
    4 2  4.0000      5.0000    
    5 2  5.0000      1.0000    
    6 2  6.0000      1.0000    
    7 2  7.0000      5.0000    
    8 2  8.0000      4.0000    
    9 2  9.0000      2.0000    
   10 2  10.000      5.0000    
   11 2  11.000      7.0000    
   12 2  12.000      2.0000    
   13 2  13.000      5.0000    
   14 2  14.000      1.0000    
   15 2  15.000      5.0000    
   16 2  16.000      4.0000    
   17 2  17.000      2.0000    
   18 2  18.000      1.0000    
   19 2  19.000      4.0000    
   20 2  20.000      1.0000    
   21 2  21.000      5.0000    
   22 2  22.000      5.0000    
   23 2  23.000      1.0000    
   24 2  24.000      2.0000    
   25 2  25.000      1.0000    
   26 2  26.000      2.0000    
   27 2  27.000      5.0000    
   28 2  28.000      3.0000    
   29 2  29.000      5.0000    
   30 2  30.000      2.0000    
   31 2  31.000      2.0000    
   32 2  32.000      4.0000    
   33 2  33.000      4.0000    
   34 2  34.000      5.0000    
   35 2  35.000      4.0000    
   36 2  36.000      2.0000    
   37 2  37.000      2.0000    
   38 2  38.000      5.0000    
   39 2  39.000      1.0000    
   40 2  40.000      4.0000    
   41 2  41.000      4.0000    
   42 2  42.000      1.0000    
   43 2  43.000      1.0000    
   44 2  44.000      1.0000    
   45 2  45.000      7.0000    
   46 2  46.000      5.0000    
   47 2  47.000      5.0000    
   48 2  48.000      5.0000    
   49 2  49.000      4.0000    
   50 2  50.000      5.0000    
   51 2  51.000      1.0000    
   52 2  52.000      5.0000    
   53 2  53.000      2.0000    
   54 2  54.000      5.0000    
   55 2  55.000      4.0000    
   56 2  56.000      1.0000    
   57 2  57.000      5.0000    
   58 2  58.000      5.0000    
   59 2  59.000      5.0000    
   60 2  60.000      2.0000    
   61 2  61.000      4.0000    
   62 2  62.000      8.0000    
   63 2  63.000      2.0000    
   64 2  64.000      2.0000    
   65 2  65.000      7.0000    
   66 2  66.000      7.0000    
   67 2  67.000      1.0000    
   68 2  68.000      1.0000    
   69 2  69.000      1.0000    
   70 2  70.000      2.0000    
   71 2  71.000      1.0000    
   72 2  72.000      1.0000    
   73 2  73.000      4.0000    
   74 2  74.000      1.0000    
   75 2  75.000      1.0000    
   76 2  76.000      2.0000    
   77 2  77.000      5.0000    
   78 2  78.000      2.0000    
   79 2  79.000      2.0000    
   80 2  80.000      1.0000    
   81 2  81.000      7.0000    
   82 2  82.000      4.0000    
   83 2  83.000      8.0000    
   84 2  84.000      2.0000    
   85 2  85.000      5.0000    
   86 2  86.000      1.0000    
   87 2  87.000      5.0000    
   88 2  88.000      1.0000    
   89 2  89.000      1.0000    
   90 2  90.000      2.0000    
   91 2  91.000      1.0000    
   92 2  92.000      4.0000    
   93 2  93.000      7.0000    
   94 2  94.000      4.0000    
   95 2  95.000      8.0000    
   96 2  96.000      5.0000    
   97 2  97.000      1.0000    
   98 2  98.000      1.0000    
   99 2  99.000      4.0000    
  100 2  100.00      1.0000    
  101 2  101.00      2.0000    
  102 2  102.00      1.0000    
  103 2  103.00      2.0000    
  104 2  104.00      2.0000    
  105 2  105.00      1.0000    
  106 2  106.00      5.0000    
  107 2  107.00      5.0000    
  108 2  108.00      2.0000    
  109 2  109.00      5.0000    
  110 2  110.00      2.0000    
  111 2  111.00      1.0000    
  112 2  112.00      1.0000    
  113 2  113.00      4.0000    
  114 2  114.00      2.0000    
  115 2  115.00      5.0000    
  116 2  116.00      4.0000    
  117 2  117.00      1.0000    
  118 2  118.00      1.0000    
  119 2  119.00      5.0000    
  120 2  120.00      2.0000    
  121 2  121.00      2.0000    
  122 2  122.00      8.0000    
  123 2  123.00      2.0000    
  124 2  124.00      4.0000    
  125 2  125.00      4.0000    
  126 2  126.00      1.0000    
  127 2  127.00      1.0000    
  128 2  128.00      2.0000    
  129 2  129.00      1.0000    
  130 2  130.00      2.0000    
  131 2  131.00      5.0000    
  132 2  132.00      5.0000    
  133 2  133.00      7.0000    
  134 2  134.00      7.0000    
  135 2  135.00      4.0000    
  136 2  136.00      5.0000    
  137 2  137.00      2.0000    
  138 2  138.00      2.0000    
  139 2  139.00      3.0000    
  140 2  140.00      6.0000    
  141 2  141.00      5.0000    
  142 2  142.00      4.0000    
  143 2  143.00      8.0000    
  144 2  144.00      5.0000    
  145 2  145.00      5.0000    
  146 2  146.00      2.0000    
  147 2  147.00      4.0000    
  148 2  148.00      5.0000    
  149 2  149.00      2.0000    
  150 2  150.00      4.0000    
  151 2  151.00      2.0000    
  152 2  152.00      1.0000    
  153 2  153.00      5.0000    
  154 2  154.00      1.0000    
  155 2  155.00      4.0000    
  156 2  156.00      5.0000    
  157 2  157.00      2.0000    
  158 2  158.00      5.0000    
  159 2  159.00      2.0000    
  160 2  160.00      3.0000    
  161 2  161.00      4.0000    
  162 2  162.00      7.0000    
  163 2  163.00      5.0000    
  164 2  164.00      4.0000    
  165 2  165.00      5.0000    
  166 2  166.00      5.0000    
  167 2  167.00      7.0000    
  168 2  168.00      7.0000    
  169 2  169.00      5.0000    
  170 2  170.00      4.0000    
  171 2  171.00      2.0000    
  172 2  172.00      4.0000    
  173 2  173.00      1.0000    
  174 2  174.00      5.0000    
  175 2  175.00      6.0000    
  176 2  176.00      5.0000    
  177 2  177.00      5.0000    
  178 2  178.00      4.0000    
