 ;spi/dat   19-JUN-2009 AT 12:38:05   data/webdendoc.dat
 ; KEY,    CLASS,     HEIGHT       ID
    1 3   10.000       0.0000       53.000     
    2 3   10.000      8.24776E-03   57.000     
    3 3   7.0000       0.0000       51.000     
    4 3   7.0000       0.0000       52.000     
    5 3   7.0000       0.0000       54.000     
    6 3   7.0000       0.0000       55.000     
    7 3   7.0000       0.0000       58.000     
    8 3   7.0000       0.0000       59.000     
    9 3   7.0000      6.81955E-02   60.000     
   10 3   13.000       5.0589       56.000     
   11 3   1.0000       0.0000       71.000     
   12 3   1.0000       0.0000       72.000     
   13 3   1.0000       0.0000       73.000     
   14 3   1.0000       0.0000       74.000     
   15 3   1.0000       0.0000       75.000     
   16 3   1.0000       0.0000       76.000     
   17 3   1.0000       0.0000       77.000     
   18 3   1.0000       0.0000       78.000     
   19 3   1.0000       0.0000       79.000     
   20 3   1.0000       25.125       80.000     
   21 3   12.000       0.0000       44.000     
   22 3   6.0000       0.0000       41.000     
   23 3   6.0000       0.0000       42.000     
   24 3   6.0000       0.0000       43.000     
   25 3   6.0000       0.0000       45.000     
   26 3   6.0000       0.0000       46.000     
   27 3   6.0000       0.0000       47.000     
   28 3   6.0000       0.0000       48.000     
   29 3   6.0000       0.0000       49.000     
   30 3   6.0000       4.6359       50.000     
   31 3   4.0000       0.0000       61.000     
   32 3   4.0000       0.0000       62.000     
   33 3   4.0000       0.0000       63.000     
   34 3   4.0000       0.0000       64.000     
   35 3   4.0000       0.0000       65.000     
   36 3   4.0000       0.0000       66.000     
   37 3   4.0000       0.0000       67.000     
   38 3   4.0000       0.0000       68.000     
   39 3   4.0000       0.0000       69.000     
   40 3   4.0000       100.00       70.000     
   41 3   14.000      1.37026E-02   14.000     
   42 3   8.0000       0.0000       12.000     
   43 3   8.0000       0.0000       13.000     
   44 3   8.0000       0.0000       15.000     
   45 3   8.0000       0.0000       17.000     
   46 3   8.0000      8.88092E-02   19.000     
   47 3   9.0000       0.0000       11.000     
   48 3   9.0000       0.0000       16.000     
   49 3   9.0000       0.0000       18.000     
   50 3   9.0000       3.7873       20.000     
   51 3   2.0000       0.0000       31.000     
   52 3   2.0000       0.0000       32.000     
   53 3   2.0000       0.0000       33.000     
   54 3   2.0000       0.0000       34.000     
   55 3   2.0000       0.0000       35.000     
   56 3   2.0000       0.0000       36.000     
   57 3   2.0000       0.0000       37.000     
   58 3   2.0000       0.0000       38.000     
   59 3   2.0000       0.0000       39.000     
   60 3   2.0000       20.889       40.000     
   61 3   11.000      6.00782E-02   5.0000     
   62 3   5.0000       0.0000       1.0000     
   63 3   5.0000       0.0000       2.0000     
   64 3   5.0000       0.0000       3.0000     
   65 3   5.0000       0.0000       4.0000     
   66 3   5.0000       0.0000       6.0000     
   67 3   5.0000       0.0000       7.0000     
   68 3   5.0000       0.0000       8.0000     
   69 3   5.0000       0.0000       9.0000     
   70 3   5.0000       3.6710       10.000     
   71 3   3.0000       0.0000       21.000     
   72 3   3.0000       0.0000       22.000     
   73 3   3.0000       0.0000       23.000     
   74 3   3.0000       0.0000       24.000     
   75 3   3.0000       0.0000       25.000     
   76 3   3.0000       0.0000       26.000     
   77 3   3.0000       0.0000       27.000     
   78 3   3.0000       0.0000       28.000     
   79 3   3.0000       0.0000       29.000     
   80 3   3.0000       100.00       30.000     
