 ;tom/dat   08-DEC-2004 AT 15:47:03   ang003.dat
    1 3   0.0000      -60.000       0.0000     
    2 3   0.0000      -58.000       0.0000     
    3 3   0.0000      -56.000       0.0000     
    4 3   0.0000      -54.000       0.0000     
    5 3   0.0000      -52.000       0.0000     
    6 3   0.0000      -50.000       0.0000     
    7 3   0.0000      -48.000       0.0000     
    8 3   0.0000      -46.000       0.0000     
    9 3   0.0000      -44.000       0.0000     
   10 3   0.0000      -42.000       0.0000     
   11 3   0.0000      -40.000       0.0000     
   12 3   0.0000      -38.000       0.0000     
   13 3   0.0000      -36.000       0.0000     
   14 3   0.0000      -34.000       0.0000     
   15 3   0.0000      -32.000       0.0000     
   16 3   0.0000      -30.000       0.0000     
   17 3   0.0000      -28.000       0.0000     
   18 3   0.0000      -26.000       0.0000     
   19 3   0.0000      -24.000       0.0000     
   20 3   0.0000      -22.000       0.0000     
   21 3   0.0000      -20.000       0.0000     
   22 3   0.0000      -18.000       0.0000     
   23 3   0.0000      -16.000       0.0000     
   24 3   0.0000      -14.000       0.0000     
   25 3   0.0000      -12.000       0.0000     
   26 3   0.0000      -10.000       0.0000     
   27 3   0.0000      -8.0000       0.0000     
   28 3   0.0000      -6.0000       0.0000     
   29 3   0.0000      -4.0000       0.0000     
   30 3   0.0000      -2.0000       0.0000     
   31 3   0.0000       0.0000       0.0000     
   32 3   0.0000       2.0000       0.0000     
   33 3   0.0000       4.0000       0.0000     
   34 3   0.0000       6.0000       0.0000     
   35 3   0.0000       8.0000       0.0000     
   36 3   0.0000       10.000       0.0000     
   37 3   0.0000       12.000       0.0000     
   38 3   0.0000       14.000       0.0000     
   39 3   0.0000       16.000       0.0000     
   40 3   0.0000       18.000       0.0000     
   41 3   0.0000       20.000       0.0000     
   42 3   0.0000       22.000       0.0000     
   43 3   0.0000       24.000       0.0000     
   44 3   0.0000       26.000       0.0000     
   45 3   0.0000       28.000       0.0000     
   46 3   0.0000       30.000       0.0000     
   47 3   0.0000       32.000       0.0000     
   48 3   0.0000       34.000       0.0000     
   49 3   0.0000       36.000       0.0000     
   50 3   0.0000       38.000       0.0000     
   51 3   0.0000       40.000       0.0000     
   52 3   0.0000       42.000       0.0000     
   53 3   0.0000       44.000       0.0000     
   54 3   0.0000       46.000       0.0000     
   55 3   0.0000       48.000       0.0000     
   56 3   0.0000       50.000       0.0000     
   57 3   0.0000       52.000       0.0000     
   58 3   0.0000       54.000       0.0000     
   59 3   0.0000       56.000       0.0000     
   60 3   0.0000       58.000       0.0000     
   61 3   0.0000       60.000       0.0000     
   62 3   0.0000      -60.000       0.0000     
   63 3   0.0000      -58.000       0.0000     
   64 3   0.0000      -56.000       0.0000     
   65 3   0.0000      -54.000       0.0000     
   66 3   0.0000      -52.000       0.0000     
   67 3   0.0000      -50.000       0.0000     
   68 3   0.0000      -48.000       0.0000     
   69 3   0.0000      -46.000       0.0000     
   70 3   0.0000      -44.000       0.0000     
   71 3   0.0000      -42.000       0.0000     
   72 3   0.0000      -40.000       0.0000     
   73 3   0.0000      -38.000       0.0000     
   74 3   0.0000      -36.000       0.0000     
   75 3   0.0000      -34.000       0.0000     
   76 3   0.0000      -32.000       0.0000     
   77 3   0.0000      -30.000       0.0000     
   78 3   0.0000      -28.000       0.0000     
   79 3   0.0000      -26.000       0.0000     
   80 3   0.0000      -24.000       0.0000     
   81 3   0.0000      -22.000       0.0000     
   82 3   0.0000      -20.000       0.0000     
   83 3   0.0000      -18.000       0.0000     
   84 3   0.0000      -16.000       0.0000     
   85 3   0.0000      -14.000       0.0000     
   86 3   0.0000      -12.000       0.0000     
   87 3   0.0000      -10.000       0.0000     
   88 3   0.0000      -8.0000       0.0000     
   89 3   0.0000      -6.0000       0.0000     
   90 3   0.0000      -4.0000       0.0000     
   91 3   0.0000      -2.0000       0.0000     
   92 3   0.0000       0.0000       0.0000     
   93 3   0.0000       2.0000       0.0000     
   94 3   0.0000       4.0000       0.0000     
   95 3   0.0000       6.0000       0.0000     
   96 3   0.0000       8.0000       0.0000     
   97 3   0.0000       10.000       0.0000     
   98 3   0.0000       12.000       0.0000     
   99 3   0.0000       14.000       0.0000     
  100 3   0.0000       16.000       0.0000     
  101 3   0.0000       18.000       0.0000     
  102 3   0.0000       20.000       0.0000     
  103 3   0.0000       22.000       0.0000     
  104 3   0.0000       24.000       0.0000     
  105 3   0.0000       26.000       0.0000     
  106 3   0.0000       28.000       0.0000     
  107 3   0.0000       30.000       0.0000     
  108 3   0.0000       32.000       0.0000     
  109 3   0.0000       34.000       0.0000     
  110 3   0.0000       36.000       0.0000     
  111 3   0.0000       38.000       0.0000     
  112 3   0.0000       40.000       0.0000     
  113 3   0.0000       42.000       0.0000     
  114 3   0.0000       44.000       0.0000     
  115 3   0.0000       46.000       0.0000     
  116 3   0.0000       48.000       0.0000     
  117 3   0.0000       50.000       0.0000     
  118 3   0.0000       52.000       0.0000     
  119 3   0.0000       54.000       0.0000     
  120 3   0.0000       56.000       0.0000     
  121 3   0.0000       58.000       0.0000     
  122 3   0.0000       60.000       0.0000     
